musical_title,rate,review_title,review_text,review_date
캣츠 내한공연 앙코르（Musical CATS）,5,너무 너~~~~~~무 좋았음,예전 한국어버전을 봤는데.. 뭔가 급 화해하는 느낌을 받았음 (홍지민ver) 노래는 좋았으나 그냥 그냥..큰 감흥 없었는데 이번 공연을 보면서 그리자벨라의 메모리를 듣는데 이해가 콱 와닿은 로라에밋버전은 그냥 사랑임.  로라에밋 버전으로 DVD가 있었으면 사고싶었는데 ㅠ 초연버전만 판매를 하더라. 왜그럴까 . ㅠ  (잘 몰라서 결국 샀지만 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ),2018.05.30
캣츠 내한공연 앙코르（Musical CATS）,5,좋아요!!,멋진 공연 이였습니다~^^,2018.05.11
캣츠 내한공연 앙코르（Musical CATS）,2,아쉬워요,좋은공연이나 개인적으로 아쉬웠습니다,2018.04.25
캣츠 내한공연 앙코르（Musical CATS）,5,이제야쓰는 후기,오리지널이라 언어장벽이있었지만 캣츠를 볼 수 있어서 너무 좋았어요^^ 언젠가 꼭 봐야지 생각만 하다가 드디어 잡은 기회에 신이나서는 입장전 사진을 그렇게나 많이 찍어댔네요!!,2018.04.22
캣츠 내한공연 앙코르（Musical CATS）,3,집중안됨,집중이 안되고 산만조용한편,2018.04.12
캣츠 내한공연 앙코르（Musical CATS）,5,역시,후회없는 공연 노래가 개 좋음,2018.04.11
캣츠 내한공연 앙코르（Musical CATS）,5,그레잇,웰메이드 뮤지컬,2018.04.08
캣츠 내한공연 앙코르（Musical CATS）,3,캣츠~~냐옹,엄청 기대했던걸까요~~,2018.03.28
캣츠 내한공연 앙코르（Musical CATS）,5,정말 재미있었어요,설날을 맞아 여자들끼리만 함께 본 뮤지컬!감동이었어요,2018.03.24
캣츠 내한공연 앙코르（Musical CATS）,4,캣츠 내한공연,내공있는 내한공연입니다캣츠의 정석느낌,2018.03.22
캣츠 내한공연 앙코르（Musical CATS）,5,화려한볼거리,좋은내용의뮤지컬입니다,2018.03.20
캣츠 내한공연 앙코르（Musical CATS）,5,완전 최고,돈이 하나도 아깝지 않은 공연! 경이롭네요,2018.03.19
캣츠 내한공연 앙코르（Musical CATS）,5,캣츠,다시 보고싶어요 ㅠㅠ,2018.03.16
캣츠 내한공연 앙코르（Musical CATS）,5,굿굿,명작이네여ㅠㅠ,2018.03.15
캣츠 내한공연 앙코르（Musical CATS）,4,좋아요,지난번 내한 공연의 역동적인 공연이 좋아서 이번에도 관람했어요~ 지난번과 다른 재미가 있네요~,2018.03.14
캣츠 내한공연 앙코르（Musical CATS）,5,재밌는관람,ㅋ겁나잼남,2018.03.13
캣츠 내한공연 앙코르（Musical CATS）,5,좋아요,늦게 예매해서 자리가 안좋았지만좋았습니다,2018.03.12
캣츠 내한공연 앙코르（Musical CATS）,5,최고의 공연,역시 최고였습니다!!,2018.03.12
캣츠 내한공연 앙코르（Musical CATS）,5,캣츠 내한공연 앙코르 관람후기,"처음 1부는 솔직히 지루하고 졸렸습니다.그러나 2부때부터는 너무나 감동적이고 모든 연기자들이 자기 실력을 갈고 닦고자 노력한 부분이 보였습니다. 중간 중간에 감동적이고 메모리 노래 부르는 부분에 있어서는 휴대폰으로 몰래 녹음 할정도로 노래가 출중했구요,연기 또한 나무랄 부분이 없이 매끄럽고 깔끔했습니다. 저분들이 무대위에서 연기하고 했을때는 얼마나 많은 노력과수고와 열정이 있었을까 다시 한번 생각을 해보게 되었구요.무대위에서 중간 중간에 관객석으로 와서 립서비스 또한 자주 해주고자 하는 부분또한 인상깊었습니다.이래서 괜히 캣츠라는 뮤지컬이 그냥 되어진게 아닌게 싶습니다.유명한 배우,유명한 연출,유명한 조명 모두 모두다 좋았습니다.나두 뮤직컬 배우가 되고 싶다는 생각까지 들정도 였으니까요.이만 평을 줄일까 합니다.어찌되었든 강추 입니다.시간내서 가족과 함께 꼭 보세요.vip석에서 관람했는데 비용이 아깝지가 않았어요.ㅎㅎ 그럼 이만~~~",2018.03.10
캣츠 내한공연 앙코르（Musical CATS）,5,역시 캣츠!,꼭 한 번 봐야할 무대.,2018.03.09
캣츠 내한공연 앙코르（Musical CATS）,5,잼낫어요,굿 굿 다들 보고 기립박수 잼낫어요,2018.03.08
캣츠 내한공연 앙코르（Musical CATS）,5,역시 캣츠!!,인생공연,2018.03.06
캣츠 내한공연 앙코르（Musical CATS）,5,너무 환상적이네요,정말 오리지널은 차원이 다르네요. 충격이었어요.몰입하지 않을 수가 없었고 각 배우들마다 본인의 캐릭터를 완벽하게 소화하시네요. 다만 너무 아쉬운 것은 2층 자리를 예매해서 보는 내내 후회 막급이었어요. 다음엔 가장 앞자리에서 제대로 즐기고 싶어요. 돈 많이 벌어야 겠어요.,2018.03.05
캣츠 내한공연 앙코르（Musical CATS）,5,최고였어요!!!!!,대표 넘버라고 할 수 있는 메모리 한글버전으로 불러주실 때 애정이 느껴지고 좋았어요!,2018.03.05
캣츠 내한공연 앙코르（Musical CATS）,4,고양이의 매력이 정말 잘 표현된 공연이었어요,3층이라 배우들의 표정이나 의상은 잘 볼 수 없어 아쉬웠지만 그래도 멋진 노래와 진짜 고양이를 보는 듯 유연한 춤이 좋았던 공연입니다!!,2018.03.03
캣츠 내한공연 앙코르（Musical CATS）,4,캣츠 내한공연 후기,스토리가 약하긴 하지만 노래실력은 수준급 오랜만에 귀호강,2018.03.03
캣츠 내한공연 앙코르（Musical CATS）,3,젤리클~~,젤리클석으로 예매했는데 고양이가 우리를 외면~ 손내밀어도 잡아주지도 않고  꼬마아이들만 좋아하는 젤리클들 흠.... 게다가 옆자리 관객 한참 늦게 들어와 계속 핸드폰을 켜대서 방해됨,2018.03.03
캣츠 내한공연 앙코르（Musical CATS）,5,부모님이 좋아하세요,음향부터 볼거리까지 너무 좋아하시네요. 다만 자리가 안 좋아서 그걸 느끼지 못하셨대요.,2018.03.01
캣츠 내한공연 앙코르（Musical CATS）,3,재밌게잘봤습니다!,조금 더 공부를 하고 갈껄이라는 아쉬움이 남는 ㅠㅜㅜ 다음에 또 보고 싶어요!,2018.03.01
캣츠 내한공연 앙코르（Musical CATS）,5,굳,젤리클석과 프리허그 좋았어요,2018.03.01
캣츠 내한공연 앙코르（Musical CATS）,4,즐거운 시간,2층 맨 앞줄이라 즐겁게 관람했어요.,2018.02.28
캣츠 내한공연 앙코르（Musical CATS）,3,관람후기,음악은 진짜 좋아요... 근데 왜 그렇게 졸립던지...내가 피곤해서 그런가 하고 생각도 해보았는데 기왕 보실꺼면 맨 앞자리에서 보시는걸 추천드립니다. 나름 a석 구매했는데 양쪽 사이드라 인물들이 자세히 안보이고 전체 무대만 보는 정도라 집중도가 떨어지는듯합니다. 스토리도 딱히 ....고양이 인물 소개가 주를 이루다보니 다양성이 떨어지는듯한 느낌도 뮤지컬 초보라 무식한 댓글입니다.^^;,2018.02.28
캣츠 내한공연 앙코르（Musical CATS）,3,캣츠,원낙에 유명해서 너무 기대했나? 암튼 1부에서 보다가 저 또한 지인도 잠시 졸았다구 ㅋ 커피한잔하구 2부때 열심히봤어요 글쎄 soso,2018.02.28
캣츠 내한공연 앙코르（Musical CATS）,5,역시캣츠,맨앞 젤리클석에서 관람했습니다...메모리는 워낙 유명해서 그러려니 했는데 오히려 다른 캣츠들이 더 재미있었어요,2018.02.28
캣츠 내한공연 앙코르（Musical CATS）,5,역시 캐츠~~,기대처럼 멋진 공연이었어요. 브로드웨이 공연을 한국에서 볼수있어 좋아요~,2018.02.27
캣츠 내한공연 앙코르（Musical CATS）,2,기대보다 별로..,"비싸더라도 젤리클석을 힘들여 구해 관람했습니디. 1.젤리클석이라 고양이와 손이라도 한번 닿아보는 건 좋았지만..대체로  너무 짧고 그다지 공감할만한 기회는없었답니다. 2.내용에 대한 전반적인 이야기 구성보다는 고양이 몇마리의 생을 훑어가는 형식이라 좀 지루한 느낌이들었어요. 임팩트가 부족한 느낌이 많이들었어요. 3.대체적으로 무대의 오른쪽에 치중 된 배치 구성이다보니 왼쪽 관객의 입장에선 사전 정보도 없이 시야가 가려지더군요.차라리 높게 넓은 시야가 나을뻔요.. 4.전체적으로  개성보다는 곱고 품격있는 목소리들이 많게 들렸습니다. 5.전달면에서 감정공감이 잘 안돼더군요.언어때문인지,사전 뮤지컬에 대한 이해때문인지, 아니면 구성적인 측면인지... **그래도 다들 애써주시고 노력해주신 건 안답니다.좀 더 여러번 돌아 관록이 쌓인다면.. 좀 더 멋져지지않을까싶었답니다. 뭐랄까..깊은 내공이 아쉬웠다할까요..이상 개인적인 후기입니다.^^",2018.02.26
캣츠 내한공연 앙코르（Musical CATS）,5,감동입니다,캣츠내한공연을 처음으로 관람했는데 정말 감동이네요 넘버도 그렇고 무대연출 모두 감동적이었습니다,2018.02.26
캣츠 내한공연 앙코르（Musical CATS）,5,언니에게 선물로.,언니 결혼 기념일 선물로 보여줬네요.  만족하는 캣츠였어요. ^^,2018.02.25
캣츠 내한공연 앙코르（Musical CATS）,5,역시 명불허전캣츠♡,"아이둘육아하느라 잊었던 문화생활, 생일기념으로 내자신에게 주는선물이라며 예매했는데 너무 행복한 선물이되었네요. 매순간 고양이의 몸짓을 이어가던 배우들,생동감있던 표정들, 무대매너도 최고였어요",2018.02.25
