year,title,place,duration,playtime,playage,gender_ratio,age_ratio
2018,태양의서커스〈쿠자〉,잠실종합운동장 내 빅탑,2018.11.03 ~2019.01.06,150분(인터미션 30분 포함),전체관람가,"[39.9, 60.1]","[1.0, 22.6, 37.7, 28.2, 8.5]"
2018,뮤지컬 〈엘리자벳〉,블루스퀘어 인터파크홀,2018.11.17 ~2019.02.10,170분(인터미션 20분 포함),8세이상 관람가능,"[16.1, 83.9]","[4.8, 42.0, 30.7, 16.0, 5.3]"
2018,뮤지컬［프랑켄슈타인］,블루스퀘어 인터파크홀,2018.06.20 ~2018.08.26,175분(인터미션 20분 포함),중학생이상 관람가,"[12.9, 87.1]","[8.1, 42.2, 30.3, 14.9, 3.7]"
2018,〈웃는 남자〉 예술의전당,예술의전당 오페라극장,2018.07.08 ~2018.08.26,180분(인터미션 20분 포함),8세이상 관람가능,"[14.1, 85.9]","[9.2, 44.9, 27.9, 13.9, 3.4]"
2018,뮤지컬 〈웃는 남자〉,블루스퀘어 인터파크홀,2018.09.05 ~2018.11.04,180분(인터미션 20분 포함),8세이상 관람가능,"[15.5, 84.5]","[7.2, 44.6, 29.8, 14.0, 3.7]"
2018,뮤지컬 〈빌리 엘리어트〉,디큐브아트센터,2017.11.28 ~2018.05.07,175분(인터미션 20분 포함),미취학아동입장불가,"[18.9, 81.1]","[2.0, 24.5, 39.0, 28.2, 5.1]"
2018,뮤지컬 노트르담 드 파리 - 한국어버전 10주년,세종문화회관 대극장,2018.06.08 ~2018.08.05,150분(인터미션 20분 포함),만 7세이상,"[22.9, 77.1]","[2.5, 29.6, 34.7, 24.2, 7.6]"
2018,뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),예술의전당 오페라극장,2019.01.09 ~2019.03.28,150분,8세이상 관람가능,"[29.3, 70.7]","[1.3, 36.5, 39.0, 17.0, 5.2]"
2018,뮤지컬 〈시카고〉,디큐브아트센터,2018.05.22 ~2018.08.05,150분(인터미션 20분 포함),중학생이상 관람가,"[27.3, 72.7]","[2.7, 33.0, 31.7, 22.0, 9.2]"
2018,뮤지컬 〈지킬앤하이드〉,샤롯데씨어터,2018.11.13 ~2019.05.19,170분(인터미션 20분 포함),만 7세이상,"[19.1, 80.9]","[6.4, 39.1, 33.2, 16.4, 4.2]"
2018,뮤지컬 〈마틸다〉,LG아트센터,2018.09.08 ~2019.02.10,160분(인터미션 15분 포함),8세이상 관람가능,"[18.5, 81.5]","[4.2, 29.0, 30.0, 31.8, 4.2]"
2018,뮤지컬 〈킹키부츠〉,블루스퀘어 인터파크홀,2018.01.31 ~2018.04.01,150분(인터미션 20분 포함),만 7세이상,"[22.5, 77.5]","[2.1, 36.2, 37.8, 18.0, 5.2]"
2018,뮤지컬 〈젠틀맨스 가이드 : 사랑과 살인편〉,홍익대 대학로 아트센터 대극장,2018.11.09 ~2019.01.27,150분(인터미션 15분 포함),8세이상 관람가능,"[9.8, 90.2]","[4.4, 34.0, 38.9, 17.4, 4.4]"
2018,뮤지컬 〈팬텀〉,충무아트센터 대극장,2018.11.30 ~2019.02.17,185분(인터미션 20분 포함),8세이상 관람가능,"[27.6, 72.4]","[3.3, 28.6, 32.5, 24.7, 9.3]"
2018,뮤지컬 〈광화문 연가〉,디큐브아트센터,2018.11.02 ~2019.01.20,150분(인터미션 20분 포함),8세이상 관람가능,"[28.8, 71.2]","[1.8, 23.7, 31.7, 26.3, 14.2]"
2018,뮤지컬〈매디슨 카운티의 다리〉,샤롯데씨어터,2018.08.11 ~2018.10.28,170분(인터미션 20분 포함),만 13세이상,"[17.4, 82.6]","[4.4, 28.3, 44.0, 15.5, 6.4]"
