musical_title,rate,review_title,review_text,review_date
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,진짜 공연계혁명,주 재료는 무용인듯한데 매순간 창의적인 구성으로 대중의 오감을 타겟팅한다.대중이 타겟이라고해서 절대 작품성이 떨어지지않는다무용계새로운 지표,2019.10.25
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,4,색다른공연,신기방기ㅎㅎㅎㅎㅎ,2019.09.09
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,인생공연,늦게 봐서 너무 한탄스러워요 진심 놀람의 연속 미친공연임 내년에도 후년에도 내한공연 올때마다 매번 볼꺼예요 돈 아깝지 않은 인생공연이네요,2019.09.06
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,인생공연,보는 재미 참여하는 재마가 쏠쏠합니다 내년에도 고고,2019.09.01
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,환상적임,"대부분의 공연은 사진 촬영을 금하지만 이 공연은 사진촬영을 허용했다. 영상만으로는 실제 현장에서 느끼는 열정과 감동을 다 담을 수 없으니, 영상을 보는 사람을 공연장으로 오게 만드는 마력 때문이 아닐까?",2019.08.29
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,쵝,오!!!,2019.08.27
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,색다른 공연!,기존 공연들과는 색다르게 진짜 신나는 공연을 본 것 같아요!!,2019.08.26
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,와우!,"주위에서 하두 푸에르자 푸에르자 하기에 보러갔는데 입이떡,,!장면하나하나 소름돋았고 같이 참여할 수 있는 공연이라 더욱 재미났습니다! 90분이라는 시간이 너무 짧더군요 ㅠㅠㅠㅠㅠㅠ 다음에 다시 공연하게 된다면 다시 보고 싶어요!",2019.08.22
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,푸에르자부르타 웨이라 인 서울,내년에 다른친구도 데리고 또 보러갈게요!! 너무 흥겨운 공연이었습니다,2019.08.19
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,멋진공연이었습니다.,쉴세  없이  관객과 호흡하는 크루들에게 찬사를 보냅니다. 재밌고 즐거운 공연이었고  다시보고 싶은 공연이었습니다.공연은 함께한다는 생각이 들때  더 빠져드는것 같습니다.그런공연 이었어요. ^^,2019.08.18
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,4,푸에르자부르타 짱잼,진짜 볼 것 도 많고 신나게 관람했습니다 ㅎㅎ 신기하고 역동적인 뮤지컬 처음 경험해봐서 정말 신선했어요! 같이 나왔던 게스트 분들도 열정적으로 무대 꾸며주셔서 더 신나게 놀 수 있었어요! 제공해 주신 맥주 덕분에 더 쿨하게 잘길 수 있었습니다 ㅎㅎ 너무 더운 날씨 탓에 땀을 뻘뻘 흘렸지만 안은 시원했어요! 다음에 또 내한 공연 하게되면 일찍 가서 이리저리 뛰어다니면서 보고싶어요ㅠ 인기가 너무 많아서 사람이 몰리는 바람에 거의 낑겨서 봤어여..ㅠㅠ 하지만 정말 재미있고 특별한 경험이 되엇어요 ㅎ,2019.08.17
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,최고였어요.,"마치 영화를 보는듯한 느낌이었습니다. 곡도 너무 좋고, 가만히 앉아서 보기만 하는 공연이 아니라 함께 즐길 수 있는 무대여서 좋았어요. 티켓값이 아깝지 않았네요.",2019.08.16
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,왜 이제서야 보았을까요!,너무너무 신나고 볼 거리가 많아서 시간 가는줄도 몰랐어요~,2019.08.16
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,드디어,보고 싶었던 공연이라 시간내서 다녀왔어요공연시간이 짧은 느낌이라 아쉬웠지만 정말 흥에 넘쳐 신나게 놀다왔네요 관객과 배우들이 함께 즐기고 노는 색다른 공연이라 너무 마음에 들었구요 혼자봤지만 너무 신나서 외로운거 하나도 없었고 안봤으면 후회했을 정도로 재밌게 놀았네요,2019.08.16
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,4,또다른경험,공연내용 넘좋았어요시간이 좀더 길었음 하는 아쉼~~~^^또 보고 싶은 공연,2019.08.15
2019 푸에르자부르타 웨이라 인 서울［2019 FUERZA BRUTA WAYRA in SEOUL］,5,35도의 날씨였지만 공연 열기가 더 뜨거웠음,다같이 뛰고 옷이 물에 젖는것 신경 안쓰고 맘껏 놀다왔어요,2019.08.15
