musical_title,rate,review_title,review_text,review_date
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),3,잼있었어요ㅋㅋㅋ,신박하고 즐겁그ㅋㅋMD가 비싸고 허접한거빼믄ㅜ,2020.01.30
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),5,겨울왕국을 진짜 시원하게봤습니다 !!♡,아이스링크 답게 딱 표현한거같아요 너무 보기 좋았어용 음악들으며 시원하게 하는 스케이팅! 빙질이 안좋아서 보는내내 걱정이었어요ㅠㅠ  근데도 최고최고!!,2019.12.22
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),4,뜨거운여름 정말 시원했던!,정말 더웠던 여름 시원한 아이스링크장에 갔다는 자체가 너무 시원하고 겨울왕국 타이틀까지 어울렸던 귀여운 뮤지컬ㅋㅋ 내한공연이라 기대가득갔는데 우린 더빙공연을 보았던 어른이들입니다 와..피겨스케이팅은 잊을수가 없네요ㅠ,2019.10.09
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),2,기대를 너무 한거죠..ㅜㅜ,무슨 그 더위에 아이스링크장에서땀을 비오듯흘리면서 아이스 공연을 보게 될 줄이야..8월 실외 온도와 실내 온도가 똑같다는게 너무 놀라서그 비싼 돈주고..ㅜㅜ 멀리서 택시까지 타고 간 보람이..아니..보람이라 하지 못할 이 고생을 했는지..ㅜㅜ,2019.10.05
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),4,겨울왕국 엘사 만난날,생애 첫 디즈니 아이스쇼였는데 오프닝 무대부터 엘사와 안나가 나오는 메인무대까지 너무 멋있었어요!! 3대가 다 같이 모여서 보러갔었는데 다들 너무 즐거운 시간보냈고 특히 조카들이 가장 좋아했습니다. 앞으로도 내한공연 자주하셔서 공연 관람할 수 있는 좋은 기회를 많이 만들어주시면 감사하겠습니다.,2019.10.01
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),1,끔찍.최악.,대부분 점프들 전부 실패. 링크가 더워서 얼음 다 녹음. 그렇게 비싸게 티켓 팔고 굿즈 팔면서 공연장 수준 관리가 왜 그모양인지. 연기자들 몸도 무겁고 구성도 난이도 없이 왔다갔다만 하고. 자리는 왜그리 좁은지 양쪽에 덩치큰 아빠들 앉으니 가운데 끼어 답답해 죽는줄. 십몇만원씩 가치 전혀 없음. 이따위로 할거면 앞으로 오지 마세요. 목동아이스링크장도 참 수준 형편없더군요. 처음 가봤는데 한국의 문화수준이 고작 이정돈가 싶을 정도로 시설도 후지고 관리도 엉망이고 규모도 작고. 얼음녹아 질퍽거리는데 연기자들 계속 넘어지니 보는 내가 민망. 다시는 볼생각 없은 디즈니온아이스.,2019.08.31
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),2,실망했어요,무대는 생각보다 너무 작고 안보이는 구간도 많았고위에서 뿌리는 스노우때문에 너무 힘든 공연이었습니다,2019.08.31
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),3,디즈니온아이스,조금더저렴해도되겠어요!그치만 재미있게보았습니다,2019.08.28
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),5,좋았어요,공연에 있어서는 너무 좋앟는데 아이스링크장인데도 너무 더웠어요,2019.08.24
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),5,후기,즐거웠어요~아이와 좋은 추억 만들었습니다,2019.08.23
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),3,아이와 함께 관람했어요,"스케이트가 타고 싶어진 5살 딸과 관람하게 되었어요. 얼리버드를 놓쳐서 비싼 가격 주고 예매해서 다녀왔습니다. vip석 3번째줄 중앙에 앉았는데, sp석 좌석과 단차이가 아주 많이 나질 않아서 키 큰 남자분이 제일 앞자리에 보시니 계속 시야에 걸리더라구요. 제 딸의 경우 또래보다 작은데 방석도 무조건 한개만 가능하다고 해서.. 무릎에 앉혔다 내렸다 반복했네요.  배우들이 보여주는 쇼는 아이가 홀딱 빠져들었을 만큼 괜찮았는데, 비싼 돈 주고 앉은 좌석이 그리 만족스럽지 않았네요. 내한공연이라 언제 또 볼까 싶어 아이 보여주고 싶은 마음에 봤지만 아이가 또 보고 싶단 말에 재관람은 ㄴㄴ 했어요.",2019.08.21
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),4,영화 보다 더 감동,영화 보다 더 감동적이었다.,2019.08.18
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),4,재미있었어요,배우들의 공연수준은 좋았으나 공연장 상태가 별로,2019.08.18
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),3,동심으로 돌아간 기분,첨에 애기들이 많아서 당황했는데 동심으로 돌아간 기분이라 봏았어요.맨 앞줄이 아니면 집중도는 떨어질 수 있어요,2019.08.17
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),1,뭔가어설프고 돈이아까웠던공연.,나름큰맘먹고 온건데 소극장공연보다 떨어짐,2019.08.17
겨울왕국 : 디즈니 온 아이스 (Disney On Ice presents Frozen),5,어른도 아이도 모두 만족했던 공연,너무 재밌었어요~~퀄리티가 너무 좋아서 비싼가격만큼 제값한 공연이였어요~~,2019.08.17
