musical_title,rate,review_title,review_text,review_date
뮤지컬 〈경종수정실록〉,4,경종,잘 봤습니다 좋았어요,2020.04.27
뮤지컬 〈경종수정실록〉,5,정말 좋은 공연!,다음에도 극이 돌아왔음  좋겠네요!,2020.03.14
뮤지컬 〈경종수정실록〉,5,너무좋아요,3인극의 쫀쫀함 ㅠ,2020.02.21
뮤지컬 〈경종수정실록〉,4,재밌어요,넘버도 참 좋고 배우들 연기도 좋아서 몰입도가 높은 뮤지컬이었습니다!,2020.02.15
뮤지컬 〈경종수정실록〉,4,새로웠어요,사실 관심에 잘 두지 않았더 ㄴ내용이라 너무 재밌었네요,2020.02.03
뮤지컬 〈경종수정실록〉,4,역사공부,전혀 관심 갖지 않았던 경종에 대해 알게 되어서 좋았어요,2020.02.01
뮤지컬 〈경종수정실록〉,3,경종수정실록,재밌지만 조금 느린 전개와 계속 흔들리는 모습들만 나와 지루했던 장면들이 많았다 하지만 배우님들의 티오엠천장을 뚫고 넘버 부르는 거에 너무 치여버렸어요 재연이 올때는 의상만 수정해서 오면 좋을거같습니다,2020.01.29
뮤지컬 〈경종수정실록〉,4,재밋ㅇ어요,재밌어요,2020.01.29
뮤지컬 〈경종수정실록〉,5,경종수정실록... 생각이 많아지는 작품,"잘 모르던 역사를 다룬 작품이라 관람 후 개인적으로 공부하고 있습니다 연기와 연출이 참 좋았고, 우애와 우정이 눈물겨운 작품입니다. 재연!와주세요",2020.01.27
뮤지컬 〈경종수정실록〉,5,잘 보았습니다.,막공햇지만 곧 재연이 올꺼라 강력하게 믿습니다. 피아노 원캐로 쳐주신 솜피님 피아노 길만 걸으세요 사랑합니다.,2020.01.27
뮤지컬 〈경종수정실록〉,4,오늘이면 끝인 경종수정실록,첫공이 엊그제 같은데 벌써 끝인 경종수정실록.,2020.01.27
뮤지컬 〈경종수정실록〉,5,경종,최고의 공연이였습니다,2020.01.27
뮤지컬 〈경종수정실록〉,5,꼭 다시 돌아왔으면..,좋은 시간이었습니다,2020.01.27
뮤지컬 〈경종수정실록〉,4,이제 끝나가서 아쉬워요,다시 돌아오길,2020.01.27
뮤지컬 〈경종수정실록〉,5,경종,재연올려주세요,2020.01.27
뮤지컬 〈경종수정실록〉,5,총막,"마지막까지 너무 재밌게 잘봤고, 마지막 무대인사 배우분들 뿐 아니라 창작초연을 처음 만들어가신 분들의 이야기도 다 들을수 있어서 너무 좋았습니다. 재연이 빨리 오길 바라고, 그렇지만 의상은 제발 신경써서 다시 만들어서 왔으면 하는 바람을 남겨봅니다 :D",2020.01.27
뮤지컬 〈경종수정실록〉,5,재연 빨리 주세요,재연 빨리주세요 그때는 연우희빈 실제 원캐스트로 출연하시는걸루..,2020.01.27
뮤지컬 〈경종수정실록〉,4,왜 벌써 가버렸지,빨리돌아오세요....,2020.01.27
뮤지컬 〈경종수정실록〉,5,ㅜㅜ,다음에 꼭...올려주세요,2020.01.27
뮤지컬 〈경종수정실록〉,5,끝났다는게 넘 아쉽네요,"정말 재미있게 잘 본 극이었는데 끝나서 아쉬워요.배우님들 연기도, 중독성 강한 넘버도 잊지 못할 것 같아요.",2020.01.27
뮤지컬 〈경종수정실록〉,4,끝나서 너무 아쉬워요,재연 오길 기다립니다.,2020.01.27
뮤지컬 〈경종수정실록〉,5,돌아와주세요.,부탁하는거예요.너무 좋았으니까 꼭 재연 와주세요. 배우분들 다 데리고 돌아와요.정동화 에녹 성두섭신성민 박정원 홍승안김종구 주민진 정민다 너무 사랑했어요.,2020.01.27
뮤지컬 〈경종수정실록〉,5,재미있어요,잊지 못할 뮤지컬 재연에도 기존배우들 그대로 왔으면 좋겠어요!,2020.01.27
뮤지컬 〈경종수정실록〉,5,재연 기다려요,재연을 기다리며 초연을 보냅니다,2020.01.27
뮤지컬 〈경종수정실록〉,5,다음에도 와주실거죠?,"멋진 넘버와 연주, 덧댐이 적은 이야기, 멋진 연기 담에도 기다립니다",2020.01.27
뮤지컬 〈경종수정실록〉,5,수고하셨습니다,모든 분들 정말 수고하셨어요,2020.01.27
뮤지컬 〈경종수정실록〉,5,곧 다시 만날 수 있기를,"좋았습니다. 배우님들 모두 다른느낌으로 매력있고 노래,연기 다 멋졌습니다. 의상의 디테일한 부분들 만 조금 더 개선되어 온다면 더 만족스러운 관람이 될것 같네요.",2020.01.27
뮤지컬 〈경종수정실록〉,5,진짜 좋아했다 경종 ㅠㅠ,재연으로 다시 만나 ㅠㅠ,2020.01.27
뮤지컬 〈경종수정실록〉,5,은근 고증이 잘 되어있는,극이 끝나고 경종-영조 관련해서 찾아봤는데 정말로 뮤지컬 속에 나왔던 사건들이 실제 역사에서도 많이 일어나서 찾아보면서 신기했어요!!! 마지막 독대씬은 좀 억지?스러웠지만 그 전까지는 진짜 재밌었어요ㅋㅋㅋㅋ,2020.01.27
뮤지컬 〈경종수정실록〉,5,경종,수찬아 ㅠㅠㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2020.01.26
뮤지컬 〈경종수정실록〉,4,경종 못사일순 없다,한번쯤은 믿고 보셔야해요,2020.01.25
뮤지컬 〈경종수정실록〉,5,어린날,어린날 인형놀이 너무너무 귀엽다♥,2020.01.25
뮤지컬 〈경종수정실록〉,5,ㅠㅠㅠ,가사 한소절 날린건 아쉬웠지만 그래도 너무너무 좋았습니다,2020.01.25
뮤지컬 〈경종수정실록〉,4,뮤지컬 〈경종수정실록〉,쯘잼!,2020.01.24
뮤지컬 〈경종수정실록〉,4,조금 졸았어요,그래도 생각나는장면이 꽤잇어요,2020.01.23
뮤지컬 〈경종수정실록〉,4,명품사극,노래도 너무 좋고 배우들의 연기도 좋습니다  다음에도 또 다시 돌아오길.,2020.01.23
뮤지컬 〈경종수정실록〉,5,재밌어요,오슷 내줬으면....,2020.01.22
뮤지컬 〈경종수정실록〉,5,다시 돌아와요!!!,"자막을 한 날이었는데~ 녹경종, 정원잉군, 그리고 민진수찬... 너무너무 좋았어요 ㅠㅠ 경종 꼭 다시 돌아오길 바래요!!!",2020.01.22
뮤지컬 〈경종수정실록〉,5,보고싶어요,다시 돌아오면 좋겠어요 ㅠ,2020.01.21
뮤지컬 〈경종수정실록〉,5,경종가지마,수찬아,2020.01.21
뮤지컬 〈경종수정실록〉,5,이제 없는 조합..,"이제는 없는 이조합.. 첫공때 부터 봤는데, 제일 담백하면서도 너무 좋았던 페어막이였다.",2020.01.21
뮤지컬 〈경종수정실록〉,5,정민 정동화 짱,연기 대박,2020.01.21
뮤지컬 〈경종수정실록〉,5,잘 봤어요,잘 봤습니다. 추천합니다,2020.01.21
뮤지컬 〈경종수정실록〉,5,자막!,"홍잉군 자첫이었는데 너무 좋았습니다. 아쉬운 점도 있었던 공연이지만, 살짝 고쳐서 재연이 돌아와줬으면 좋겠네요. 꽃종 짱!",2020.01.21
뮤지컬 〈경종수정실록〉,5,좋았습니다.,재밌네요...ㅎ...,2020.01.21
뮤지컬 〈경종수정실록〉,5,벌서 마지막이라니... ㅠㅠㅠ,아직 여운이 이렇게 남아있는 공연인데..  마지막이라니요...  다시 빨리 돌아왔으면 좋겠다~ 아쉬워요,2020.01.21
뮤지컬 〈경종수정실록〉,5,볼수록 놀라운 경종수정실록,페어별로 느껴지는 감성이나 캐릭 소화들이 볼수록 놀랍다 계속 더 보고 싶다~,2020.01.21
뮤지컬 〈경종수정실록〉,5,asdgadsfadsf,asdfadsfadsgasfadfadsfadf,2020.01.21
뮤지컬 〈경종수정실록〉,5,asgdsfasddgadsf,asdgadsfadsfadfadf,2020.01.21
뮤지컬 〈경종수정실록〉,5,sfasdgadsfadsf,asgdadsfadfadsfadf,2020.01.21
뮤지컬 〈경종수정실록〉,4,경종,서사 완벽해서 너무 재밌다,2020.01.21
뮤지컬 〈경종수정실록〉,5,경종수정실록,막판 부자인삼차에서 형이 아닌 임금으로서 하는 선택이다연잉군 오열하게하는 녹경종연잉군이 먼저 손을 뻗었다,2020.01.21
뮤지컬 〈경종수정실록〉,5,다시 보고싶은 경종,점잖은 섭경종 배우들마다 이렇게 다 다르니 페어별로 아니 볼수가 없다,2020.01.21
뮤지컬 〈경종수정실록〉,5,세자세자,돌아와주세요 세자,2020.01.21
뮤지컬 〈경종수정실록〉,5,재연으로 돌아와주세요,내게 나라는 너였더구나,2020.01.21
뮤지컬 〈경종수정실록〉,5,아쉬웠던 막공,이날이 결국와버려서.. 아쉽니다... 다음에 다시오면 좋겠어요,2020.01.21
뮤지컬 〈경종수정실록〉,5,좋았습니다,배우님들의 빛나는 연기와 음악 노래 좋았습니다. 빨리 다시 볼 수있으면 좋겠어요,2020.01.20
뮤지컬 〈경종수정실록〉,5,경종 추천,너무 재밌네요 ㅋㅋㅋ 대박. 다들 보셨으면! 강추~~~ 정동화 너무 잘생긴=ㅁ,2020.01.20
뮤지컬 〈경종수정실록〉,5,경종 꿀잼,너무 재밌네요 ㅋㅋㅋ 대박. 다들 보셨으면! 강추~~~ 정동화짱,2020.01.20
뮤지컬 〈경종수정실록〉,5,경종 짱,너무 재밌네요 ㅋㅋㅋ 대박. 다들 보셨으면! 강추~~~ 정동화 잘생ㄱ김,2020.01.20
뮤지컬 〈경종수정실록〉,5,이대로 보내기에는 아쉬운 공연,왜 조금 더 일찍 보지 않았나 아쉬움이 가득합니다. 배우님들의 멋진 열연으로 극장이 가득차던 그 순간이 아직도 생각납니다. 정말 좋은 공연이었어요.,2020.01.20
뮤지컬 〈경종수정실록〉,5,경종수정실록,짱쨩짱!,2020.01.20
뮤지컬 〈경종수정실록〉,5,재밌었어요 :),재밌었습니다.,2020.01.20
뮤지컬 〈경종수정실록〉,5,금이랑 윤이랑,"두형제 그냥 두면 되지않아요,,,,  넘나 귀여움",2020.01.20
뮤지컬 〈경종수정실록〉,5,나를 꿈꾸게 하라,마지막 엔딩 넘버 너무 좋았어요ㅠㅠ  동생을 위한 선택을 하는 형이자 왕  마지막은 슬픔이 가득했어여,2020.01.20
뮤지컬 〈경종수정실록〉,5,두 형제와 친구ㅠㅠ,너무 슬픈이야기였어요  기록 되지 않은 이야기  기록되지 않은 슬픔,2020.01.20
뮤지컬 〈경종수정실록〉,5,막공..,막공을 해서 더 못본다니 믿을 수 없어요 더 많이 봤어야되는데 숙종을 보낼 수 없어!! 숙종을 사랑하고 있더이다 이게..퓨ㅠㅠㅠ경종 재연 오면 회전 열심히 돌게요,2020.01.20
뮤지컬 〈경종수정실록〉,5,정말 좋았습니다!,정말 좋았습니다!,2020.01.20
뮤지컬 〈경종수정실록〉,5,나를 꿈꾸게 하라,나를 꿈꾸하게 하라!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,2020.01.20
뮤지컬 〈경종수정실록〉,5,경종수정실록,끝났는게 믿기지가 않아요 ㅠㅠ 재연 소취 합니다...,2020.01.20
뮤지컬 〈경종수정실록〉,5,좋았습니다,재연을 기대합니다,2020.01.20
뮤지컬 〈경종수정실록〉,5,재미있는 공연이었습니다.,good,2020.01.20
