musical_title,rate,review_title,review_text,review_date
뮤지컬 〈귀환〉,5,귀환 너무 감동적이에요ㅠ,"귀환 보는데 너무 슬펐어요ㅠㅠ 그 중에 해일이가 유언장 읽는 넘버랑 현재 승호의 내가 술래가 되면,,, 배우님들의 목소리와 넘버의 가사가 잘 어울러져서 더욱 슬펐던 것 같아요ㅠㅠ",2021.05.31
뮤지컬 〈귀환〉,5,너무너무멋진공연!오프라인으로 다시보고파요,막공 너무재밌고 감동적으로 봤어요온라인도 멋있었지만오프라인 공연 꼭 보고시퍼요~~출연진짱이예요♡♡♡,2020.09.26
뮤지컬 〈귀환〉,5,윤지성 배우의 최우주,너무 좋았습니다 행복했어요,2020.03.23
뮤지컬 〈귀환〉,5,귀환의 윤우주,덕분에 좋은 뮤지컬 잘 봤습니다,2020.02.18
뮤지컬 〈귀환〉,5,감동적인 극이였습니다.,넘버도 다 너무 좋네요앵콜공연 기다리겠습니다.,2020.02.10
뮤지컬 〈귀환〉,5,시우민 배우 역시 완벽합니다,볼때마다 늘어나는 연기와 노래눈물나는 스토리정말 완벽한 뮤지컬입니다,2020.02.06
뮤지컬 〈귀환〉,5,오랜시간 마음에 남는 극,시간이 지날수록 더 깊게 마음에 와 닿는 극이네요나중에 재연하게 된다면 또 보고싶네요,2020.01.26
뮤지컬 〈귀환〉,5,시우민의 재발견,시우민의 가능성을 발견한 공연이었어요! 최고입니다!,2020.01.23
뮤지컬 〈귀환〉,5,귀환 너무 좋아요,짜임새 있고 배우분들의 열연  정말 좋았어요,2020.01.20
뮤지컬 〈귀환〉,5,너무재밌어요,ㅜㅜㅜㅜㅜ,2020.01.13
뮤지컬 〈귀환〉,5,！,이진기 최고!!!! 두번을 봤는데 진기배우님의 연기는 정말 장난아니에요 줄거리 재미있고 모든 배우분들다 멋있고 연기 잘해요!!!!!!,2020.01.11
뮤지컬 〈귀환〉,5,말이 필요없음,최고의 배우 최고의 넘버,2020.01.06
뮤지컬 〈귀환〉,5,무슨말이필요하겠어,몇번을 보아도 내용을 알아도 눈물버튼은 눌리고마는데ㅠㅠ넘버면 연기며 모든것이 완벽했다!,2020.01.02
뮤지컬 〈귀환〉,5,와 이진기 배우 연기가 미쳤네요,이렇게 연기를 잘할수가요점점 더 잘하는거 같은 건 뭐죠노래도 넘 잘하고 목소리도 넘 좋고소년역도 잘 어울리는데 나중에 일등중사로의 변화도 장난아니구ㅠㅠㅠ넘 빠져서 보게 되요 귀환 진짜 최고입니다,2019.12.31
뮤지컬 〈귀환〉,5,코알라즈 졸귀탱ㅠㅠ,"국방엔터에서 연기하고 노래하는 성규, 성열이 보여줘서 고마울 따름ㅠㅠ 어서 제대하자 아이돌로 돌아와돌아와~~~",2019.12.28
뮤지컬 〈귀환〉,5,잘 만든 뮤지컬,앵콜공연도 보고싶어요,2019.12.28
뮤지컬 〈귀환〉,5,단풍나무앞,이제 집에가야지 해 떨어지는데,2019.12.27
뮤지컬 〈귀환〉,5,이정열 이재균 고은성 이진기 페어 좀 주세요,레전인데 일부러 안붙이나 싶을 정도로 없네요,2019.12.23
뮤지컬 〈귀환〉,5,꿈을 꾼듯한 시간,50년 전과 2000년대 초반을 넘나들며 승호가 되고 해일해성진구가 된 기분이었습니다 이진기 이정열 배우님 연기 좋았습니다,2019.12.23
뮤지컬 〈귀환〉,5,많은 걸 생각하게 해주는 뮤지컬,보고 아직도 가족의 품에 돌아가시지 못한 6.25 참전 용사가 많다는 걸 알았습니다. 절대 잊지 않겠습니다,2019.12.19
뮤지컬 〈귀환〉,5,단풍나무 돌탑 뒤에.,이 구절만 나오면 눈물이 난다. 아직도 전우를 기다리는 많은 군인들이 우리의 산천에 눈을 감지 못하고 가족의 곁으로 돌아가기를 바라지 않을까..,2019.12.18
뮤지컬 〈귀환〉,5,모든 배우들의 조화,일반적인 공연에서는 앙상블들이 숫자를 줄여나가면서 아쉬울때가 많았는데 우선 군배우들과 일반 연기자들의 조화가 좋고 인원이 많아 무대연출이 꽉차보여 좋았다. 이 공연을 보고나서 유해발굴에 관한 기사를 더 유심히 보는것 같다. 모든 사람들이 돌아올때까지...,2019.12.18
뮤지컬 〈귀환〉,5,귀환은 한번쯤 봐도 좋을 공연,전쟁이란것에 대해 생각해볼수있는 기회인듯하다.우리가 왜 평화를 위해 노력해야하는지 이 공연에 그 답이 있다.,2019.12.18
뮤지컬 〈귀환〉,5,역시 이정열배우님..ㅜㅜ,배우님 연기 잘하시고 노래 잘하시는 건 알고있지만 벌때마다 너무 좋습니다...ㅜㅜ,2019.12.18
뮤지컬 〈귀환〉,5,배우들의 디테일한 열연!,배우들의 열연과 화려한 군무로 실감나게 표현한 전쟁씬.너무 슬퍼서 울다가 중간 중간 웃게 만드는 웃음코드ㅎ노래의 구성과 가사도 너무 좋아서 계속 귀에 맴돌아요안경 쓴 윤우주의 귀여운 연기와 인디애나 존스도 잊지 못할거에요.,2019.12.18
뮤지컬 〈귀환〉,5,볼때마다 색다르고 감동,배우들과 앙상블 모두의 디테일한 연기와 노래가 돋보이는 뮤지컬멋진 군무와 현실감있게 재현한 전쟁씬의 웅장함과 비통함슬픈 역사를 현대와 빗대어 표현한 극의 구조가 더 공감할 수 있게 해줬습니다,2019.12.18
뮤지컬 〈귀환〉,5,너무 감동적인 시간이었습니다.,너무 감동적인 시간이었습니다. 군인에 대해 생각안해봤지만 유익하고 다른분들도 많이 관람했으면 하는 생각이 들었습니다. 나라를 위해 고생하시는 군인아저씨들 감사합니다.,2019.12.17
뮤지컬 〈귀환〉,5,귀환 최고,슈승호 응원합니다!!!^-^,2019.12.16
뮤지컬 〈귀환〉,4,역시 뮤지컬은 자리빨,"11.1 첫공에서는 맨 뒷자리였는데, 11.28 무려 두번째 줄. ''존버는 승리한다.''는 진리였다- 2층에서는 쌍안경으로 봐도 콩알이가 콩알만 하게 보였는데, 내 눈 앞의 이 늠름한 군인이 김민석이라니~ 민석이가 들고 있는 데미안 책의 제목이 일본어 가타카나로 써 있다는 것도, 민석이가 직접 이름표를 만들어 주는 찬합통에 쉽게 뗄 수 있게 모양이 나 있다는 것도, 민석이가 해일 역의 배우 분과 다툴 때 진짜로 눈이 촉촉해 진다는 것도, 민석이가 무대 암전될 때 어둠 속에서 사부작 사부작거리 이동하는 것도 다 알 수 있을 정도로 정말 가까워서 행복했다! 게다가 손성애자인 나에게 민석이 손바닥에 있는 손금과 손등의 핏줄까지 볼 수 있는 행운이.^^ 그리고 인터미션 끝날 즈음 사람들이 자꾸 뒤를 돌아보며 웅성웅성하는 게 분위기가 이상했다; 그런데 바로 우리의 또다른 군화 경수가 형아 뮤지컬 관람하러 왔다는 것... 이렇게 좋은 날에, 이렇게 좋은 자리 예매대기로 관람할 기회를 주신 인터파크 선샌님들 감사합니다.ㅠㅠㅠ",2019.12.13
뮤지컬 〈귀환〉,5,시우민 연기 너무 좋았습니다,보면서 오열하고... 연기 너무 잘하고.. 노래도 잘하고..... 애드립도 날마다 다르게 하던데 시우민씨 정말 사랑해요.,2019.12.13
뮤지컬 〈귀환〉,5,추천추천,가슴 뭉클하고 전쟁에 대한 생각도 다시 해 볼 수 있었습니다.  추천합니다,2019.12.13
뮤지컬 〈귀환〉,5,시우민 잘한다,잘해 우리 시우만,2019.12.12
뮤지컬 〈귀환〉,5,강력추천,우리세대에는 막연히만 아는 전쟁의 아픔을 극을 통해 잘 느낄 수 있어 먹먹했던 시간이었습니다.,2019.12.12
뮤지컬 〈귀환〉,5,좋았어요,군뮤를 통해 전쟁에 대한 많은 생각을 할 수 있었던 시간이었습니다.,2019.12.12
뮤지컬 〈귀환〉,5,봄이다 바람이 분다~~,봄이다 바람이 분다~~,2019.12.12
뮤지컬 〈귀환〉,5,시우민 배우님 ㅠㅠㅠ,극 자체도 좋은데 시우민 배우님 덕에 훨씬 몰입해서 봤습니다!,2019.12.11
뮤지컬 〈귀환〉,5,너무 잘봤어요,5번째보는 공연인데 볼때마다  너무 좋았어요!!,2019.12.11
뮤지컬 〈귀환〉,5,귀환ㅜㅜㅜ,감동 그자체배우님들 연기도 다들 너무 잘하시고ㅜㅜ지방공연도 더 보러가려구요ㅜㅜ최고입니다,2019.12.11
뮤지컬 〈귀환〉,5,재연 올라왔으면 좋겠어요,고쳐야 할 부분도 많지만 매력적인 공연이었습니다 재연 올라오면 꼭 보러갈게요,2019.12.10
뮤지컬 〈귀환〉,5,주제가 확실한 뮤지컬,군에서 만든거라 말하고자 하는 주제가 정말 확실해서 새로웠습니다,2019.12.10
뮤지컬 〈귀환〉,5,이정열 배우님 짱짱,이정열은 신이다 배우님 연기 진짜 최고에요,2019.12.10
뮤지컬 〈귀환〉,5,추천합니다,서울공연은 끝났지만 지방공연 되시는분들 꼭 봐주세요 공연 너무 좋아요,2019.12.10
뮤지컬 〈귀환〉,5,계속 보고싶은데,감동의 역사 진짜 보는 내내. 감동과 눈물 배우님들의 멋지고 또 귀여운 연기 덕분에 즐겁고 행복하고 감동이었습니다,2019.12.10
뮤지컬 〈귀환〉,5,너무너무 좋았습니다,국군 장병이 된 연예인들의 모습을 보는것도 신기하고 좋았네요,2019.12.09
뮤지컬 〈귀환〉,5,너무 재미있었어요,재밌었어요,2019.12.09
뮤지컬 〈귀환〉,5,정말 감동적인 뮤지컬!,정말 감동적이에요! 눈물이 납니다,2019.12.09
뮤지컬 〈귀환〉,5,처음부터 끝까지 승호였던 이진기,처음부터 끝까지 승호였던 이진기 배우 손도 많이 다치고 다리도 자주 다쳐가면서 정말 온몸으로 승호역을 연기해줘서  감동이였습니다.  다른 전 배우들도 그시절을 사느라 고생 진짜 많이 했습니다. 인사이트는 모든 배우님들에게 한우 많이많이 사줘야 한다고 봅니다.  앞으로 지방공연이 있다는 것이 승호를 다시 만날 수 있다는 것이 즐거워요. 제작발표회 영상 다시 봤는데 정말 이미 승호를 장착하고 나왔더라구요.,2019.12.09
뮤지컬 〈귀환〉,5,재밌어요!,잘 봤습니다,2019.12.09
뮤지컬 〈귀환〉,5,배우들의 연기가 너무 좋은 공연,배우들의 감정연기와 분위기가 너무 좋았던 공연!,2019.12.09
뮤지컬 〈귀환〉,5,다시보고싶은공연,인생작품입니다,2019.12.09
뮤지컬 〈귀환〉,5,좋았습니다,배우분들 연기도 노래도 좋고 이야기에 집중해서 볼수 있었습니다. 좋았습니다,2019.12.09
뮤지컬 〈귀환〉,5,희작의 가사란....,증오를 주입하지 않으면서 6.25 소재를 다룰 수 있다는게 신선했습니다. 유해발굴사업의 존속 이유를 극으로 충분히 설명해주는 것이 정말 좋았습니다.,2019.12.09
뮤지컬 〈귀환〉,5,이재균 서문 뮤직비디오라도 부탁드려요,제발요 천재 이재균 박제해줘요,2019.12.09
뮤지컬 〈귀환〉,5,좋은 공연,좋은 배우들과 따뜻하고 역사가 있는 공연이였습니다.짧은 기간이였지만 재밌게 봤습니다.,2019.12.09
뮤지컬 〈귀환〉,5,너무 좋았다,넘버도 캐스팅도 모르고 갔지만 다들 너무 좋았다. 뜻깊은 공연이었던 것 같다.,2019.12.09
뮤지컬 〈귀환〉,5,귀환,여러 번 관람할 정도로 너무 좋았어요 ㅠㅡㅠ 지방에 갈 정도로... 재연해주세요ㅠ,2019.12.08
뮤지컬 〈귀환〉,5,듣고 듣고 또 듣고싶어지는 넘버,넘버들이 너무 좋아요 정말 귀에 쏙 들어오는 중독되눈 넘버들,2019.12.08
뮤지컬 〈귀환〉,5,감동적인 공연,좋은 공연 감사합니다,2019.12.08
뮤지컬 〈귀환〉,5,캐스팅마다 느낌이 다른,첫공보다 더 재밌게 봤어요~,2019.12.08
뮤지컬 〈귀환〉,5,이재균배우♡♡,군대가시고신흥무관학교이후에 오랜만에보는건데 여전히넘멋져요,2019.12.08
뮤지컬 〈귀환〉,5,좋았어요,초반에 한번 보구 이번에 보게 되었는데 확실히 초반보다 배우들 합도 잘 맞고 실력도 더 늘어서 재밌게 감상하고 왔습니다,2019.12.07
