musical_title,rate,review_title,review_text,review_date
뮤지컬 〈니진스키〉,4,글쎄요,내용이 어려운건지 제가 잘 이해를 못하는건지... 어려웠어요 ㅠㅠ,2019.11.04
뮤지컬 〈니진스키〉,5,니진스키,정말 여러번 보게 만드는 매력적인 작품,2019.09.23
뮤지컬 〈니진스키〉,5,나는~~어디에나 있다,정말 재밌게 봤어요~^^,2019.09.23
뮤지컬 〈니진스키〉,5,또 보고싶어요,재연 와주세요..,2019.09.16
뮤지컬 〈니진스키〉,5,무용과 넘버들이 계속 생각나는 극,니진스키의 분신들과의 그 무용과 배우들이 춤선 디테일들을 찾아보게 되는 극 특히 넘버들이 자꾸 생각난다,2019.09.10
뮤지컬 〈니진스키〉,5,니진스키 도라와ㅠ,위치는 정중앙이라 완전 잘보였음!! 찬니진 갓디에나 백덤블링 봤음 누웠다 일어날때 일어서면서 함 엉디아 처엉초~!! 오늘 봄의제전 허락할때 뒤돌아서 웃더라 찬니진 오늘은 19살에서 25살 사이쯤? 많이 성숙해졌네 키스신에도 안놀라고 단장님~ 이라고 부르는것도 들었고 춤출수있...는데 기억이 안나요ㅠ 이거 우리가 이야기하던 발레무보잖아요~ 아직 완성을 못했어요ㅠ 선택송때 얼굴 쓰다듬는 엉디아 왤케 슬퍼보이냐ㅠ 흑화송때 웃는것도 너무 좋아!!! 흑화송에서 엉디아 백스텝 밟을 때 니진 어깨를 내리누르듯이 꽉 잡은 상태로 백스텝 밟는 거 좋다 발레슈즈때도 혼자남아서 노래부르는데 눈이 슬퍼보여ㅠ 엉디아 이런사람아니였는데 어쩌다 이렇게 된겨ㅠ 발레슈즈맆때 엉디아 우는소리에 나도 슬프고ㅠ 그거듣고 기억돌아와서 같이 슬픈 찬니진ㅠ 고마워요.. 맨날 똑같은거만 하고 또하고 하고 또하고.. 게임을 즐겨에서 동전으로 땅땅 땅땅땅하니까 뭐하는거예요?ㅋㅋ 승안라빈 야바위 섞는거보고 춤 느려지고ㅋㅋ 잘보고있다가 한번 동전 보여서 맘놓고 편히 춤 췄는데 좌측컵에 걸었는데 찬니진이 아니라고 비웃고ㅋㅋ 자신만만했는데 열어보니까 진짜 없음ㅋㅋㅋ 엉디아가 승안라빈 어깨 계속 치면서 밀고ㅋㅋ  엉디아 뭔가 좀 풀어진거같아 엉디아볼때마다 감정이 너무 없어서 사랑 잘 모르겠다 했는데 오늘 발슈때 혼자부터 눈빛이 처연?해지기 시작하면서 기억때 객석보고 노래하는데 눈빛이 와우네...선택때 얼굴쓰다듬을때도 그렇고 계속 그 눈빛을 보여줬어 슬폭 처연해보이는 눈빛!! 나 첨으로 엉디아 오열소리에 눈물 핑 돌았다ㅠ  컷콜끝나고 마지막 자세하고 찬니진이 돌아서서 손 흔들어줌,2019.09.05
뮤지컬 〈니진스키〉,4,애매혀요,배우들은 넘 잘하는데 뭔가 극 자체가 좀 애매해요.......... 재밌는것도 같기도 하고 아닌것 같기도하고,2019.09.04
뮤지컬 〈니진스키〉,5,난 어디에나 있다,영원히 빛나는 별처럼난 어디에나 있다죽음을 모르는 춤처럼,2019.09.02
뮤지컬 〈니진스키〉,4,잘봤어요,넘버가 기억에 바로 남지는 않았어요,2019.09.02
뮤지컬 〈니진스키〉,5,넘버가 너무 좋았어요,독특한 음악을 넘버로 잘 살린 것 같아요,2019.09.02
뮤지컬 〈니진스키〉,5,재밌어요,재밌어요,2019.09.02
뮤지컬 〈니진스키〉,5,니진스키,쵝오입니다.,2019.08.31
뮤지컬 〈니진스키〉,5,진짜 너무 늦게본게 아쉬웠던,재연 ㅃㄹ올려주세요 현기증나요,2019.08.31
뮤지컬 〈니진스키〉,4,니진스키,정말 최고네요,2019.08.29
뮤지컬 〈니진스키〉,5,승안스트라빈스키 안녕ㅜ,이동안 잘봤어요 너무 좋아요ㅜ 다시 볼 수 없으니 너무 슬퍼요 흑흑 재연 꼭 다시 와주세요!!!!!,2019.08.28
뮤지컬 〈니진스키〉,4,니진스키?,보고싶네요 겨울에 앵콜있을거라고 믿고있습니다. 배우님들 그대로 와야해요 알죠,2019.08.28
뮤지컬 〈니진스키〉,4,아트원에는 뭐가있죠?,니진스키가 있지... 음악은? 완벽한 음향팀과 아름다운 니진스키의 넘버가 있어...,2019.08.28
뮤지컬 〈니진스키〉,5,니진스키,ㅜㅜㅜㅜㅜㅜㅜㅜㅜ니진스키,2019.08.28
뮤지컬 〈니진스키〉,5,콘...서트..,해주세여ㅠ,2019.08.27
뮤지컬 〈니진스키〉,5,재연...,재연 와주세여..,2019.08.27
뮤지컬 〈니진스키〉,5,니진스키,좋아요,2019.08.27
뮤지컬 〈니진스키〉,5,좋아요,빨리 재연왔으면좋겠어요,2019.08.27
뮤지컬 〈니진스키〉,5,정말 좋았습니다!,정말 좋았습니다!,2019.08.27
