musical_title,rate,review_title,review_text,review_date
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,다시보고싶은 뮤지컬,정말 재밌고 웅장하다 다시보고싶어ㅠㅠ,2019.11.28
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,늦은 관람 후기:-),처음 배우분들 무대 뒤쪽에서 일부 등장하고 오프닝공연할때 소름이 돋았습니다. 아는 스토리라 지루할줄 알았는데 전혀 지루함없이 어릴때로 돌아간 기분이였어요ㅎㅎ좋은공연 너무 감사합니다,2019.10.16
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,라이온킹 부산! 최고였습니다,사람마다 공연진이 달라서 평도 달랐는데 저는 너무 재밌엇어요!스컬도 너무 멋잇구요!,2019.08.26
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고,아주그냥 죽여줘여 굿,2019.08.03
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,쵝오!,정말 최고 멋진 공연이었습니다!강추강추 +ㅁ + (짝짝짝짝짝),2019.08.01
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고!,"제가 예매할때 앞자리는 모두 매진이여서, 그냥 제일 저렴한 3층 자리로 예매해서 봤어요. 자리가 조금 걱정되었지만, 뮤지컬이다보니 자리는 크게 중요하지 않았습니다. 또 오페라 안경을 대여할 수 있어서, 배우분들의 움직임이나 얼굴 표현들도 잘 볼수 있었어요. 공연 정말 잘보고 잘듣고 왔습니다.",2019.07.17
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,가족모두 대만족,가족모두 대만족,2019.07.08
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,환호성,환호성,2019.07.08
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,킹 of 킹,아직도 설레임을 가질수 있다는 희망이 있어 가슴이 따뜻했던 소중한 시간이였다,2019.07.05
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고,티켓비용이 아깝지 않은  공연딸아이도 너무 좋아했어요^^,2019.07.03
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,♡,"최고입니다.연령대, 성별 상관없이 누구든 즐길 수 있는최고의 공연입니다.",2019.06.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,닐라 심바 다 좋았어요,ㅇㅇ인정,2019.06.26
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,정말최고,말이 필요없어요!!,2019.06.23
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,공연최고!!,공연 너무 최고였어욤,2019.06.21
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,역시 스케일,굿굿 보길잘했더,2019.06.17
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,goooood,goooooooooooood,2019.06.17
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,gooooooood,goooooooooood,2019.06.17
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,무슨 말,무슨 말이 더 필요할까요,2019.06.16
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 공연,감동적이었어요,2019.06.14
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 공연,감동적이었어요,2019.06.14
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 공연!,인터파크 티켓 감사했습니다!!!,2019.06.13
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,멋진 공연이였어요,무대장치  연기  노래  모두  멋진  무대였어요,2019.06.12
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,"뮤지컬 라이온 킹 인터내셔널 투어, 정말 최고였어요^^","왼쪽 앞열이였는데 오프닝부터 가젤이 눈앞에서 노래부르고 복도 사이사이로 동물들이 등장하고 분장의 디테일과 동물묘사에 감동 그 자체!!! 안봤으면 진짜 후회 할 뻔 했어요 ㅠㅠㅠㅠ  중간중간 배우들의 아이컨텍과 무대매너에도 심쿵,! 최고의 뮤지컬이였어요^^",2019.06.11
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 공연,너무 훌륭한 공연이었어요 !!,2019.06.11
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,멋진 공연,아들과 재밌게 봤어요.왜  라이온킹 하는지 알겠더라구요.행복한 시간이었어요.,2019.06.08
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,사바나에 있다왔어요~,정말 실감나고 감동적이였습니다!!!,2019.06.05
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,멋진 공연이었어요 :-),전체적으로 굉장히 조화로운 공연 이었습니다. 재밌게 잘 봤어요 :-),2019.06.05
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,진귀한 동물의 세계!,상상력의 한계란 없다! 창의성에 놀라고 갑니다.  아프리카를 통째로 옮겨놓은 듯 한 공연은 꼭 한번은 봐야해요,2019.06.04
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,멋진 공연 잘 봤어여~^^,옆자리 어린이 동반으로 많이 시끄러웠던 점이 조금 아쉽지만 오랜만에 좋은 공연보고 힐링 시간 가질 수 있음에 감사한 시간이었네요~ 담에 또 기회가 된다면 가족들과 함께 보고 싶어요~^^,2019.06.03
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,명성 그대로...,역시 라이언킹~왜 사람들이 라이언킹 라이언킹 하는지를 알게된 공연.. 오프닝에서 이미 모든게 끝나버렸다. 원픽 뮤지컬을 바꾸게 만든 공연이었음...,2019.06.03
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,멋진공연이었습니다,3층이여서 걱정많이했는데 안봤으면 후회할뻔했네요!,2019.06.01
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 선물,아이에게 어떤말로 위로해야할지 몰랐는데 이 뮤지컬로 하고싶은 이야기를 대신 다들려준듯 하네요~^^정말 감동의 무대였습니다^^,2019.06.01
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,너무 감동깊은 무대,아이도 저도 너무나 만족한 무대였어요. 다시 가서 보고싶을 만큼 최고였어요,2019.05.31
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,재관람! 최고!,"드림씨어터 개관날 첫 공연은 2층에서,오늘은 1층에서 보았습니다.가까이서 보니 배우들 표정과 동물인형들이 더 잘보여서 최고였어요!",2019.05.31
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,쵝오였습니다,너무너무 잘봤습니다 ~????????????????,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고의 공연,"오리지널 공연팀의 공연!  노래도 최고 연주도 너무 좋았어요. 배우들의 연기, 춤 모두 좋았어요.",2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,4,라이온킹!,2층 6열에서 봤는데도 배우들의 표정이나 몸짓이 잘 보였습니다. 역시 음악이 최고 있습니다. 동물 연기를 자연스럽게 하는 연기도 최고였습니다.,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고였어요^^,생동감 넘치고 최고였어요^^,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,최고였어요,정말 최고였어요,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,정말 멋진 뮤지컬,멋지다 못해 감동받고 왔습니다.,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,재밌어요,엄마랑 같이 봤는데 너무 재밌게 봤습니다.,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,감동 뮤지컬,넘 좋았네요미국 브로드웨이에서 본 것처럼다시 보니 감동이 올라오네요,2019.05.30
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,재밌네요,"공연은 재미있었는데, 1층 vip좌석인데도 앞사람 머리로 인해 무대가 잘 안보이는 뮤지컬극장좌석 구조는 정말 실망스러웠음.",2019.05.29
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,재밌네요,"공연은 재미있었는데, 1층 vip좌석인데도 앞사람 머리로 인해 무대가 잘 안보이는 뮤지컬극장좌석 구조는 정말 실망스러웠음.",2019.05.29
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,4,너무 좋았어요 ㅎㅎㅎ,무대가 생각보다 작았어서 별 하나 뺍니다 ㅠㅠ 하지만 뮤지컬 자체는 너무 만족스러웠어요~~ 또 보고싶어요ㅠㅠ,2019.05.29
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,????????????????,자리도 좋고 공연도 좋고 즐거운 시간이였습니다~,2019.05.29
뮤지컬 라이온 킹 인터내셔널 투어-부산（Musical The Lion King）,5,미리 알았더라면 더 좋은 자리에서 보고 싶었던 공연이네요,소품부터 의상 각동물 역할의 섬세한 제스쳐까지 공연팀의 내공이 엄청나다는것을 느낄 수 있었네요 오랜만에 듣는 노래들도 너무 반가웠고 좀 더 아래층 앞쪽 좌석에서 볼 수 있었으면 훨씬 좋았을 것 같아요 다음에 또 내한한다면 미리 티켓팅해서 좋은 좌석에서 보고 싶네요!,2019.05.29
