musical_title,rate,review_title,review_text,review_date
뮤지컬 〈랭보〉,5,다시 꼭 돌아왔으면 하는 극,내용도 넘버도 배우님들의 열연이 빛나는 극!,2020.03.14
뮤지컬 〈랭보〉,5,뮤지컬랭보,저는 뮤지컬배우가 꿈인 한 중학생입니다. 제가 랭보를 보고 뮤지컬배우가 되기로 결심했습니다. 그만큼 재밌고 넘버도 좋고 시도 아름다웠습니다. 제가 봤던 작품중에 제일 최고입니다. 전 2019년 11월 29일날 회차를 봤는데 2일후에 막공이니 아쉬웠습니다. 배우님들은 하나같이 노래도 잘부르고 연기도 너무 잘하시더군요. 뮤지컬 랭보가 2021년이 아니라 2020년 올해안에 다시 했으면 좋겠습니다. 전 내년까지 못기다리겠고 벌써부터 기대대고 또 보고 싶습니다. 심지어 랭보 넘버와 노래만 50번정도 더 본것같습니다. 노래도 거의다 외우고 암기했습니다. 마지막으로 제가 하고 싶은말은 저도 나중에 뮤지컬배우가되면 더블케이필름엔시어터에 들어가서 뮤지컬랭보를 하고 싶습니다. 그때까지 열심히 연습할게요. 꼭 이번년도에 랭보가 돌아오길 바라겠습니다.,2020.01.28
뮤지컬 〈랭보〉,5,아름다운 시,너무 좋았습니다 가사와 곡 모두 아름답고 배우들 너무 좋았어요~,2020.01.04
뮤지컬 〈랭보〉,5,랭보랭보,정말 재미있게 잘 봤습니다. 삼연 기다릴게요!!!,2019.12.24
뮤지컬 〈랭보〉,5,멋진,감동적이고 의미있는 공연이었습니다.,2019.12.23
뮤지컬 〈랭보〉,5,추천합니다,추천합니다,2019.12.23
뮤지컬 〈랭보〉,5,윤소호 배우님....,너무 보고싶어요 ㅠㅠㅠ,2019.12.20
뮤지컬 〈랭보〉,4,돌아와..,지금도 여운이 남아있어요. 꼭 삼연으로 돌아와주길,2019.12.17
뮤지컬 〈랭보〉,5,랭보,랭보 안녕 ㅜㅜㅜ,2019.12.16
뮤지컬 〈랭보〉,5,asdfasdfasdfa,dsagadsfasdfasfdsafadsfasfdas,2019.12.16
뮤지컬 〈랭보〉,5,랭보,항상 보고 나면 두 사람의 슬픔에 저도 같이 찡해지다 나와요 보내주기 힘들지만 다음 시즌에서 만나!,2019.12.16
뮤지컬 〈랭보〉,5,가지마 랭보,ㅠㅠㅜ,2019.12.16
뮤지컬 〈랭보〉,5,랭보,인생은 불행이다 끊임없는 불행의 연속이다 그런데 우리는 왜 이 곳에 존재하는 것인가,2019.12.16
뮤지컬 〈랭보〉,5,어느새 막공 ㅠㅠ,처음 티켓팅한게 가을쯤 이었던 거 같은데 벌써 막공이라니.. 근데 진짜 2년뒤에 돌아오실 건가요? 내년에도 올려주세요.,2019.12.16
뮤지컬 〈랭보〉,5,"랭보, 꼭 다시 돌아와야 해!","랭보, 꼭 다시 돌아와야 해!기다릴게!",2019.12.16
뮤지컬 〈랭보〉,5,"최고의 공연, 시간이었습니다!","최고의 공연, 시간이었습니다!",2019.12.16
뮤지컬 〈랭보〉,5,랭보진짜사랑했습니다,극 올려주셔서 정말 감사했습니다 너무 행복한시간이었어요,2019.12.16
뮤지컬 〈랭보〉,5,ㅜㅜㅜ아아 랭보,ㅜㅠㅠㅠㅠ20년에도 또 올려주세요ㅜㅜㅜ,2019.12.16
뮤지컬 〈랭보〉,4,잘봤어요.,랭보는 특별한 아이였어요.,2019.12.16
뮤지컬 〈랭보〉,4,잘봤어요.,다음에 봐요 랭ㄹ보!,2019.12.16
뮤지컬 〈랭보〉,5,랭보 막공 아쉬워요,가지마요!!,2019.12.14
뮤지컬 〈랭보〉,5,마지막,마지막을 즐겁게 보내주었습니다. 다음에 다시 만날 때까지 여운을 유지할게요.,2019.12.14
뮤지컬 〈랭보〉,5,삶의 의미,"''인생은 불행이다'' 이 작품은 이 한마디로 시작하고 마침내 랭보가 남긴 ''진정한 시''를 찾으며 막을 내린다. 물론 실제 현실과는 다르겠지만... 이 작품에서 보여주고 있는 랭보와 베를렌느, 들라에는 각자 고통의 인생 속에서도 그럼에도 계속 살아간다는 것, 아홉번의 불행에도 한번의 행복을 바라며 살아가는 우리 모두의 인생을 느끼게 해주었다. 하루빨리 만나기를 바라며.",2019.12.13
뮤지컬 〈랭보〉,5,최고의 페어,에녹 정동화 이용규 삼연 때 꼬옥꼬옥 같이 오세요!,2019.12.13
뮤지컬 〈랭보〉,5,좋았습니다,좋았어요,2019.12.12
뮤지컬 〈랭보〉,5,눈물나게 예쁘게 잘된 시 번역과 최고의 넘버,넘버 계속 곱씹게되는 작품,2019.12.12
뮤지컬 〈랭보〉,4,열정 순수,자신을 사랑한 랭보 그런 랭보를 사랑한 베를렌느 또 그런 베를렌느를 사랑한 랭보,2019.12.12
뮤지컬 〈랭보〉,5,싀익싀익,녹베를 나쁜 놈아우리 랭보가 뭘 잘못했냐잘생기면 다야???,2019.12.11
