musical_title,rate,review_title,review_text,review_date
뮤지컬 〈록키호러쇼〉,5,재공연 꼭 해주세요,너무보고싶습니다ㅠㅜㅠㅜ,2020.11.26
뮤지컬 〈록키호러쇼〉,3,대체적으로 재밌게 봤습니다,내용자체는 호불호가 확실히 갈릴것 같네요,2020.02.06
뮤지컬 〈록키호러쇼〉,5,최고의 공연!!,너무 재밌었어요 배우님들의 열정에 신나게 즐기고 왔습니다 감사합니다!!,2019.10.13
뮤지컬 〈록키호러쇼〉,2,눈이 즐겁고 싶다면 보세요,"일단 화려하고, 볼거리가 아주 많고 즐길 거리도 많다.그게 다다.스토리가 탄탄하지 않고 마무리가 깔끔하지 않으며 개연성도 그닥.",2019.09.22
뮤지컬 〈록키호러쇼〉,5,존잼턍입니다,넘 신나유 켜ㅑㅋ,2019.08.27
뮤지컬 〈록키호러쇼〉,4,재밌었어용!!,늦었지만 후기를 남겨보면 재밌었어요!다만 애인이 아닌 그냥 이성 친구와 보기에는살짝 민망할 수도... 제가 그랬...동성친구 강추합니다. 함께 춤도 추고팬턴님들의 공연 전 사진촬영 센스도 굿굿그리고 찬랑큰...사랑해요 쏘 섹시!,2019.08.23
뮤지컬 〈록키호러쇼〉,5,스트레스 날릴땐 록키호러쇼!!!,입장할때만해도 되게 피곤한 상태였는데 배우분들의 열정적인 공연덕분에 끝날때는 신나게 놀아서 지친상태지만 기분좋게 나왔어요ㅋㅋㅋㅋㅋ매 씬이 충격의 연속인데 그게 그렇게 계속 생각이 납니다ㅋㅋㅋ다음 공연때도 보려구요:)),2019.08.22
뮤지컬 〈록키호러쇼〉,5,신나는 공연!!!,역시 록키호러쇼는 신나고 즐겁고 스트레스가 쫙 풀립니다.깊게 고민하며 생각해야하는 내용도 아닌 그냥 있는 그대로 즐기기에 아주 딱 좋습니다.,2019.08.22
뮤지컬 〈록키호러쇼〉,5,렛츠 투 타임워프 댄스,타임워프 춤을 함께 추며 시원한 여름을 보냈습니다!,2019.08.19
뮤지컬 〈록키호러쇼〉,5,아직도 더운데,아직도 록호쇼가 있을것만같은 그런 기분이네요,2019.08.12
뮤지컬 〈록키호러쇼〉,5,와 정말 최고,잊지못할 추억이 되었네요 재밌고 신선했어요,2019.08.09
뮤지컬 〈록키호러쇼〉,5,특이하고 재미있던 뮤지컬!,처음부터 끝까지 이게 뭐지라는 생각으로 가득이지만 재미있어서 계속 생각나고 또 보고 싶은 뮤지컬이에요! 특히 타임워프 넘버 때 다같이 춤 추는 거 너무 즐거워서 더 신났던 거 같아요 ㅎㅎㅎ 이번 시즌은 벌써 막이 내려서 아쉽지만 다음 시즌 돌아올 때 op석에서 제대로 즐겨보고 싶네요 :),2019.08.09
뮤지컬 〈록키호러쇼〉,5,짱짱짱입니다,최고였어요 ㅜㅜㅜ후회안합니다 ㅜㅜㅜ다음 공연은 삼랑큰 꼭 갈꺼에요 ㅠㅠㅠㅠ,2019.08.08
뮤지컬 〈록키호러쇼〉,5,타임웦!!,정말 순식간에 끝나서 너무 아쉬워요ㅠㅠㅠㅠㅠ 내년에 꼭 다시 와줘요,2019.08.08
뮤지컬 〈록키호러쇼〉,5,짱이였음,신나게 줄기고 왔습니다,2019.08.08
뮤지컬 〈록키호러쇼〉,5,드디어 보았다!!,소문으로만 듣던 럭키호러쇼 너무 재미났고 물 맞고 춤추고 또 보고 싶어요!!,2019.08.08
뮤지컬 〈록키호러쇼〉,5,완전 최고최고최고최고,흥나고! 신나고!,2019.08.06
뮤지컬 〈록키호러쇼〉,4,여름에 보면 더 좋은 뮤지컬!,조금 이상하고 조금 요란스러워도 볼수록 사랑스러운 캐릭터들 음악 그리고 소재까지관객들도 즐기면서 볼 수 있어서 더 푹 빠질 수 있었습니다!,2019.08.06
