musical_title,rate,review_title,review_text,review_date
뮤지컬 〈마리 앙투아네트〉,5,기대만큼 너무 좋았던 공연,낮공연임에도 자리를 가득 메운 객석에 마리앙투아네트의 인기를 실감했던 공연,2020.03.20
뮤지컬 〈마리 앙투아네트〉,4,너무 좋았습니다,다시 보고시습니다,2020.01.29
뮤지컬 〈마리 앙투아네트〉,5,다시 보고싶어요ㅠㅠ,그리워요 황페르젠ㅠㅠ 김소현 배우님도 너무 멋있었어요!,2020.01.24
뮤지컬 〈마리 앙투아네트〉,4,잘봤습니다,저개인적으로 재미있긴했지만 재관람까지는 하고싶지 않네요.그러나 한번쯤은 봐도 좋은 공연입니다.,2020.01.07
뮤지컬 〈마리 앙투아네트〉,5,최고!,황민현보러갔는데감동도받은스토리였어요 굉장히 재밌었어요,2020.01.07
뮤지컬 〈마리 앙투아네트〉,5,황민현 페르젠 너무잘생겼어요ㅠㅠ 노래도 너무 잘하고 완전 왕자님,ㅠㅠ 페르젠 황민현 다시 보고 싶네요,2020.01.06
뮤지컬 〈마리 앙투아네트〉,5,와,진짜 감동,2019.12.27
뮤지컬 〈마리 앙투아네트〉,4,잘봤습니다,여운이 남는 뮤지컬이였던거같아요 잘봤습니다! 배우분들 수고많으셨습니다.,2019.12.23
뮤지컬 〈마리 앙투아네트〉,4,콘서트를 본 느낌,뮤지컬이라기 보다는 콘서트를 본 느낌이예요해나씨 가창력은 너무  좋았습니다,2019.12.18
뮤지컬 〈마리 앙투아네트〉,5,두번째본 공연,전에 보고 너무좋아서 또 예매해서 봤네요역시나 감동이엿습니다,2019.12.18
뮤지컬 〈마리 앙투아네트〉,5,최고였어요,김소현 손준호 김연지  배우님 꺼를 봤습니다.정말 연기력에 감동에 눈물이...너무나 훌륭한 공연에 감사합니다.,2019.12.16
뮤지컬 〈마리 앙투아네트〉,5,마리앙,초연을 보고서 다시 본 작품입니다.뮤지컬은 역시.배우가 다르면 전혀 다른 극이 되는것 같아요. 김소현 배우의 2막이 참 기억이 남는것 같습니다,2019.12.16
뮤지컬 〈마리 앙투아네트〉,5,와... 정말 대박 ㅠ,울 9살 딸이랑 같이갔는데딸도 울고 저도 울고배우들 열연 함께울고매 공연마다 그렇게 하시면 정말 몸이 남아나지 않을 것 같은ㅠㅜ 정말 대단한 공연이였습니다,2019.12.11
뮤지컬 〈마리 앙투아네트〉,5,대만족 공연,"군말 할 필요 없는 공연. 화려한 무대며 배우들의 열연, 훌륭한 넘버까지~ 친구와 재밌게 보고 부모님도 보여드렸어요. 부모님도 대만족! 웬만한 뮤지컬 한두번씩 거의 다 관람했는데 무대의 화려함은 이게 최고인 듯.",2019.12.08
뮤지컬 〈마리 앙투아네트〉,5,너무젛아요,진짜 감명깊게봤습니다 ㅠ.ㅠ,2019.12.03
뮤지컬 〈마리 앙투아네트〉,5,배우님들 정말 수고 많으셨어요~,이번 마리앙 두번 봤는데 두 여배우님 모두 최고였습니다~깡르젠 너무 멋있었어요~,2019.12.02
뮤지컬 〈마리 앙투아네트〉,4,^^,재미있게 잘봤습니다.,2019.12.02
뮤지컬 〈마리 앙투아네트〉,5,아들과의 데이트,즐거운 시간,2019.12.01
뮤지컬 〈마리 앙투아네트〉,5,최고의 마리 앙투아네트!!,"자꾸 흥얼거리게 되는 중독성 있는 넘버들이었습니다. 김소현 배우님, 박강현 배우님 회차였는데 최고였습니다. 모든 배우님들 최고였습니다.",2019.11.28
뮤지컬 〈마리 앙투아네트〉,5,마리앙투아네트,김소현님의 연기 정말 좋았습니다목소리의 힘이 약했지만 정말 아름다웠습니다,2019.11.28
