musical_title,rate,review_title,review_text,review_date
뮤지컬 〈맘마미아!〉 - 대구,5,최고의 공연,앞에서 못본 게 아쉬울 정도,2020.09.15
뮤지컬 〈맘마미아!〉 - 대구,1,별로였어요,별로였어요 뮤지컬은 월드투어만 바야할거 같네요,2020.07.23
뮤지컬 〈맘마미아!〉 - 대구,5,두번째봣고 나 세번째도보고싶다.,치키티타 말을해봐.. 항상 눈물..,2020.06.20
뮤지컬 〈맘마미아!〉 - 대구,4,재미와 감동,재미와 감동이 넘치는 뮤지컬 맘마미아~ 또한번 보고싶네요,2020.05.11
뮤지컬 〈맘마미아!〉 - 대구,5,재미있게 봤어요!!,모녀할인으로 갔는데 진작에 볼껄 그랬어요마지막 공연이 제일 기억에 남습니다~^^,2020.03.24
뮤지컬 〈맘마미아!〉 - 대구,5,한해를 마무리하기에 뜻깊었던..,여고 동창생 셋이서 자기 이야기인양 울다가 웃다가 쌓은 스트레스 모두 쏟아내고 왔어요,2020.01.30
뮤지컬 〈맘마미아!〉 - 대구,5,역시 맘마미아~~~^♡^,이번 공연이 3번째 입니다.보고 또봐도 감동이고 재밌어요~~~,2020.01.14
뮤지컬 〈맘마미아!〉 - 대구,5,역시기대만큼!,친구들과 연말에 봤는데 20대마지막 뮤지컬을 아주 신나게봤어요,2020.01.14
뮤지컬 〈맘마미아!〉 - 대구,4,멋진 뮤지컬!,저는 영화로 본적이 있어서 전 넘버를 다 알고 봤는데 한국 가사도 좋았습니다. 신영숙 배우님과 이수빈 배우님은 믿고보는것같아요! 맨 마지막 커튼콜에 다함께 일어나서 춤추고뛰는 구간이 있는데 저는 3층이라 경사가 너무 가팔라서 일어서지못했습니다ㅜㅜ 뮤지컬 맘마미아를 100% 즐기려면 1층에서 보는게 좋아요!,2020.01.10
뮤지컬 〈맘마미아!〉 - 대구,5,멋진 공연입니다,역시 최정윈님입니다~ 아우라가 대단한 배우에요~~,2020.01.09
뮤지컬 〈맘마미아!〉 - 대구,5,가족 뮤지컬로 최고,"부모님 결혼기념일 선물로 보여드렸는데, 두 분 다 아주 감동하셨고 만족스러워 하셨습니다. 결혼을 앞둔 모녀간의 감정선이 영화보다 도 부각되었다고 생각을 했고 그래서인지 더 부모님이 이입하신 듯합니다. 맘마미아는 관람 이전에 개봉한 영화를 감상하며 넘버들을 미리 귀에 익힐 기회가 있었기에 더 몰입이 잘 되었다고 봅니다. 막공이라 좀 더 특별한 팬서비스를 기대했지만 그런건 없어서 조금 아쉬웠습니다만, 아무튼 어머니께서 신영숙 배우님을 좋아하셔서 아주 행복하게 연말을 마무리 할 수 있었습니다. 정말 만족도 높고 좋은 공연이었습니다&#128079;&#127995;&#128079;&#127995;&#128079;&#127995;",2020.01.08
뮤지컬 〈맘마미아!〉 - 대구,5,재미있었어요,현장감 있고 좋았어요,2020.01.07
