musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미아 파밀리아〉,5,미아...ㅠㅠ,제 인생극이에요ㅠ,2020.01.11
뮤지컬 〈미아 파밀리아〉,5,자꾸만 신나요,앵콜의 열기가 아직도 그립네요,2020.01.02
뮤지컬 〈미아 파밀리아〉,5,배우들의 열연,세 배우가 거의 두시간 가량의 공연을 꽉채우네요.하지만 공연장이 너무 협소하고 열악했어요. 왜 쓰레기아트센터로 불리는지 이해가 될 정도였습니다.,2019.09.29
뮤지컬 〈미아 파밀리아〉,5,미아파밀리아,배우들의 케미가 정말 멋지고 재밌는 극입니당,2019.09.23
뮤지컬 〈미아 파밀리아〉,5,우리들의 공연도 오늘이 마지막,한여름밤의 꿈 같던.. 미아 파밀리아. 정말 사랑했고 잘 보내줬어요. 아폴로니아 바.. 브루클린 브릿지의 전설.. 보고싶다 미아 파밀리아ㅠㅠㅠㅠㅠ,2019.09.10
뮤지컬 〈미아 파밀리아〉,5,재밌었어요!,"더운 여름날 재미있는 극을 볼 수 있어서 너무 좋았어요!시간만 되었다면 더 많이 볼 수 있었을텐데,, 주륵",2019.09.07
뮤지컬 〈미아 파밀리아〉,5,너무재밌어요ㅜㅜ,배우는 세명인데 무대가 꽉찬느낌!!!노래도 연기도 춤도 너무나 완벽했어요ㅜㅜ,2019.08.30
뮤지컬 〈미아 파밀리아〉,5,최고로 웃겨요,너무재밋음,2019.08.28
뮤지컬 〈미아 파밀리아〉,5,으악,개꿀잼,2019.08.28
뮤지컬 〈미아 파밀리아〉,5,옥,개꿀잼,2019.08.28
뮤지컬 〈미아 파밀리아〉,5,미아 이제 없어ㅠㅠ,"미아 후기... 아직 안 쓴게 남았다니... 이제 미아가 없어ㅠㅠㅠㅠ 삶이 재미가 없어ㅠㅠㅠㅠ 미아를 주세요~!!!!! 미아 안본 사람들은 바보야!!!! 죽을때 눈감으면 안됨!!!!! 미아 보고 죽어야함!!!!!!! 미아 안보면 억울해서 죽을 수 없음!!!!!!  빨리 다시 돌아왔음 좋겠다 미아 파밀리아!!!!!!! 스티비, 리차드, 오스카 너네 행복하니? 난 너네가 없어서 불행해ㅠㅠㅠㅠㅠ 빨리 돌아와줘ㅠㅠㅠㅠㅠㅠ",2019.08.28
뮤지컬 〈미아 파밀리아〉,3,미아파밀리아,부티는 빨간색,2019.08.27
뮤지컬 〈미아 파밀리아〉,5,강력추천!!!!!!!!!,강력추천!!!!!!!!!,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,꼭 다시 보고싶어요,"미아 파밀리아, 그리고 미오 프라텔로. 리차드, 오스카, 스티비, 치치, 써니보이, 부티의 이야기를 꼭 다시 만나고 싶어요.",2019.08.26
뮤지컬 〈미아 파밀리아〉,5,미아 파밀리아,좋아요!!!,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,미아 파밀리아,너무 재밌어요!!!!,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,재밌게봤어요,넘버좋구 스토리좋구 웃기고 슬프고 신기한작품,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,미아 ㅠㅠ,이제와서 미아가 그립네요.  벌써 한달이 되어가고 있어요!   리차드는 잘 살고 있을까요.,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,아폴로니아가 사라지면 난 어디로 가지,너만의 스텔라를 찾아야지.............. 울컥 내 스텔라 아직 못찾음 ㅠㅠ,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,막공 재밌었어요,다같이 무대의상 입고 나와준거 감동적이었습니다,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,아무것도 후회하지 않겠다,그립습니다 보드빌리안들.. ㅠㅜ,2019.08.26
뮤지컬 〈미아 파밀리아〉,5,아침이 오면 사라지는 스윗드림..,아폴로니아는 꿈처럼 사라졌어도  저는 계속 노동자예요... 외롭고 고단한 시간을 위로 받을 수 있도록 꼭 빨리 돌아와주세요 ㅠㅜㅠㅜ,2019.08.26
뮤지컬 〈미아 파밀리아〉,4,신나는 공연,"너무 좋아요,,, 꼭 삼연 와주세요",2019.08.25
뮤지컬 〈미아 파밀리아〉,5,아폴로니아 어디로 이전했나요?,급해요 내공 100겁니다 내공냠냠 신고해요,2019.08.25
뮤지컬 〈미아 파밀리아〉,5,아니..,이제 끝났다는 사실이.. 너무 슬퍼요.....,2019.08.24
뮤지컬 〈미아 파밀리아〉,5,정말 즐거웠어요!,빠른 시일 내에 다시 볼 수 있었으면 좋겠습니다.,2019.08.23
뮤지컬 〈미아 파밀리아〉,5,우리들의 공연도 오늘이 마지막,삼연 존버단 가입했습니다. 전설은 계속된다!  총막하고 아직 2주가 안 지났구나... 후기 메일 들어와서 무슨 극이지 하고 봤다가 울 뻔,2019.08.23
뮤지컬 〈미아 파밀리아〉,5,미아파밀리아,빨리 다시 도라와주세요... 아모레미오..,2019.08.22
뮤지컬 〈미아 파밀리아〉,5,넘 좋아요~,또 올려주세요~넘버가 넘 좋았어요♡♡,2019.08.22
뮤지컬 〈미아 파밀리아〉,4,삼연 와줘요,컷콜이 싱어롱이야,2019.08.21
뮤지컬 〈미아 파밀리아〉,4,3연 기다리겠습니다.,컷콜에서 뛰어노는 그 재미란...,2019.08.21
뮤지컬 〈미아 파밀리아〉,5,!!,행복했어요! 빨리 돌아오기!!!,2019.08.21
뮤지컬 〈미아 파밀리아〉,5,-,최고의 공연. 잊지 못할거예요!,2019.08.21
뮤지컬 〈미아 파밀리아〉,5,언젠가,또 만나요ㅠㅠㅠㅠㅠㅠ,2019.08.20
