musical_title,rate,review_title,review_text,review_date
뮤지컬 〈빅 피쉬〉 한국 초연,5,최고의 작품,너무 재미있게 잘 봣어요,2020.07.25
뮤지컬 〈빅 피쉬〉 한국 초연,5,회전문 돌게하는 공연,마음이 따듯해지는 공연이였습니다.,2020.03.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,감동의 공연,많은 생각이 들게하는 공연이였습니다,2020.03.17
뮤지컬 〈빅 피쉬〉 한국 초연,4,기대했던대로,"재미나게 보았습니다. 영화를 보았던 터라 영화와 비교하면서 보기도 했는데, 배우들의 연기, 노래, 무대 아이디어를 잘 만들어지고 어우러진 것 같았습니다.",2020.03.01
뮤지컬 〈빅 피쉬〉 한국 초연,3,진짜 기대안했는데,생각보다 괜찮았어요!너무 심심해서 알아보지도 않고 진짜 급급 예매하고 보러갔거든요무대연출 화려하고 볼거리도 많고 신나게 보고왔어요동화뮤지컬 같이 동심으로 돌아간 느낌. 그러면서도 나중에 반전의 감동까지. 좋았습니다,2020.02.27
뮤지컬 〈빅 피쉬〉 한국 초연,5,너무 좋은 작품,또 다시 만나고싶다.박호산 배우이기에 가능했던 작품!정말 최고!트리플 캐스팅의 다른 배우들은 연기를 했다면..박호산 배우는 광대처럼 그 무대를 즐겼다.다른 케스트들과 다르게 멋 부리지 않기에 더 멋있었던 배우.정말 최고다.,2020.02.23
뮤지컬 〈빅 피쉬〉 한국 초연,5,정말 최고,꼭 다시돌아오길,2020.02.22
뮤지컬 〈빅 피쉬〉 한국 초연,4,아들과함께,아들과 함께 관람했는데 공연이 끝나고 오랜동안 생각나는 뮤지컬이였는습니다~ 무대 연출 이쁘고 멋있었어요,2020.02.21
뮤지컬 〈빅 피쉬〉 한국 초연,4,감동의 대서사시,아버지를 이해하는 아들의 과정,2020.02.20
뮤지컬 〈빅 피쉬〉 한국 초연,5,아버지와 아들ㅠㅠ,공연을 잘 보는데 흑흑~감동을 받아~,2020.02.18
뮤지컬 〈빅 피쉬〉 한국 초연,3,빅 피쉬,빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬빅 피쉬,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,아이다,아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다아이다,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,재미있어요,배우들 연기가 재미있고 잘 봤습니다,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,굿바이빅피쉬,다시 돌아오길 바라며...그동안 빅피쉬로 힐링했습니다~,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,빅피쉬 최고,너무 감동스런 공연이었습니다 사랑합니다 대박나세어,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,아빠와 아들,"아이에게 좋은 상상력을 키워주는 아버지의 모습이 정말 인상깊었습니다 무대활용과 거인, 마녀의 인물을 종이탈?같은 모습으로 표현한게 너무너무 좋았습니다~",2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,4,빅피쉬,빅피쉬,2020.02.17
뮤지컬 〈빅 피쉬〉 한국 초연,5,재연 기다립니다ㅠㅠ,동화같은 느낌의 세트와 연출 다 너무 좋았습니다. 수선화 넘버를 가장 기대했었는데 그 외 넘버들도 다 좋아서 눈과 귀가 모두 즐거웠습니다. 처음 볼때는 마냥 즐겁고 신나다가 마지막에 감동받았었는데 두번째로 볼때는 더 깊이있게 감상했습니다. 꼭 두번씩 보기를 추천하는 뮤지컬ㅠㅠ,2020.02.16
뮤지컬 〈빅 피쉬〉 한국 초연,5,아빠,사실..그닥좋은사람 아닌듯,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,5,마지막이지만 기다립니다.,빅피쉬의 초연 마지막 공연이었다. 너무나 아쉽지만.. 다시 돌아올거라 생각하기에 기대감으로 보낸다.,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,5,아버지의 신화가 아들의 자부심이 되는 순간.,에드워드 불룸의 생애가 윌 블룸에 의해 완성되는 순간은  영화에서나 뮤지컬에서나 감동적이다.,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,4,좋은극,메시지가명확하고 그 메시지가 갖는힘이 강해서 이 극을 더 좋게기억될수있게 하는것같다. 아쉬웠던점은 극장의 음향과 연출. 음향은진짜별로였고 무대는 나쁘진않았지만 어딘가 엉성하고 비어보였다. 좀더 잘 다듬어지면좋겠다,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,5,재밌었어요,드디어 막공!,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,5,재밌었어요,재밌었습니다,2020.02.13
뮤지컬 〈빅 피쉬〉 한국 초연,3,안녕 빅피쉬,동화같이 예쁘고 밝고 경쾌한 극이었어요. 전 아직 몰입하지 못했는데 무대위에서 배우들만 좀 신나하는 감이 없잖아 있었지만.. 뭔소린가 싶은 부분이 많아서 집에와서 영화로 다시 봤어요,2020.02.12
뮤지컬 〈빅 피쉬〉 한국 초연,5,ㅠㅠㅠㅠ,윌이랑 에드워드 산드라 조세핀 다시 주세요ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ앙상블분들 보고싶어요,2020.02.12
뮤지컬 〈빅 피쉬〉 한국 초연,4,네가 주인공인 삶을 만들어 주고 싶었어,"아버지가 아들에게 새로운 세상에 대한 호기심,모험에 대한 갈망을 느끼게 해주기위해 노력한 이야기아버지 본인을 주인공으로 한 이야기의 엔딩을 아들에게 넘기며,아들이 그 아들의 아이들을 위해 만들 새로운 이야기를 응원하는 순간들이 아름답고 애처로웠다.아버지의 실수는 순간일지라도 이해하고 싶지않지만, 연민으로 해석해줘야 하는건가.",2020.02.12
뮤지컬 〈빅 피쉬〉 한국 초연,4,동화같은 이야기,동화를 보는듯한 무대와 예쁜 색감마음 따뜻해지는 공연,2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,4,참 예쁜 극,"이름만큼이나 참 순수하고 아름답고 예쁜 극. 아이들과 함께 봐도 될 만큼 참 아름다운 극이었다. 작품에 등장하는 모든 노래들이 너무 좋고, 볼거리도 다양하고, 무엇보다도 극이 주는 메시지가 너무 좋다. 힐링받을 수 있어서 행복했다.",2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,5,신나는 공연 따뜻한 마음,하나 나무랄데 없는 너무 멋진공연 ^^,2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,3,가슴 따뜻해지는 가족뮤지컬,"영화로도 접했었지만, 스토리 구성은 탄탄했습니다. 뮤지컬이지만 음악이 많은 편은 아니었던 것 같아요. 그래도 무대장치 등으로 눈이 즐겁고 가슴 따뜻해지는 내용의 가족뮤지컬 이었습니다. 가족단위 관객들이 많았는데 가족들이 함께보면 좋았을 거 같아요",2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,4,잘봤습니다.,무대가 화려해서 좋았어요. 배우들 연기두 최고,2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,5,좋아요,재밌어요,2020.02.11
뮤지컬 〈빅 피쉬〉 한국 초연,4,빅피쉬 관람 후기,"워낙 영화의 감동과 환상이 강해서 한정적인 무대 위에 이를 얼마나 구현할 수 있을지 의문이었는데... 나름 훌륭했어요^^ 다만 제한된 시간 안에 이야기를 풀어내야 하다 보니 재밌고 중요한 에피소드들이 편집돼 영화나 책을 접하지 않은 이들은 내용을 완전히 이해하기 어려웠을 듯 합니다. 다른 것들은 모두 좋았어요. 세대를 아우를 수 있는 내용, 교훈,,, 아이와 함께 보기 참 좋은 뮤지컬이었습니다.",2020.02.11
