musical_title,rate,review_title,review_text,review_date
뮤지컬 〈사의찬미〉,5,제발.. 돌아와주세요,제발...... 이 페어로 다시 공연해주시면 안될까요 이 공연을 볼수있기를 간절히 기도합니다ㅜㅜ,2021.07.20
뮤지컬 〈사의찬미〉,5,사의찬미.. 올해 다시 돌아오는거죠?,티켓팅이 열리길 간절히 기다리고 있는 1인입니다..꼭.. 돌아와 줄거죠?너무 그리워요ㅠㅠ이 세상엔.. 없는 곳,2020.08.04
뮤지컬 〈사의찬미〉,5,짱,역시 사의찬미! 넘버도 배역도 너무 좋아요!! 꼭 돌아오기를~~,2020.05.08
뮤지컬 〈사의찬미〉,5,돌아올거죠,고3 되기 전에 꼭 한번 돌아오셔야 해요ㅠ... 듣고있죠 네오...?,2020.03.25
뮤지컬 〈사의찬미〉,5,2020년을 기약하며,맨날 티켓팅에서 광탈 당했는데 내년엔 좋은 좌석에서 200 흠뻑  빠지고 싶네요.,2019.12.04
뮤지컬 〈사의찬미〉,5,내년,내년에도 꼭 다시 돌아오길 바랍니다.,2019.11.28
뮤지컬 〈사의찬미〉,5,아직도 그립네요ㅠㅠ,꼭 돌아오면서 이 페어도 데려오면 좋겟어요퓨,2019.11.25
뮤지컬 〈사의찬미〉,5,또와줄거죠,많이못봤단말이에여,2019.11.25
뮤지컬 〈사의찬미〉,5,사랑입니다,제목그대로 사랑입니다,2019.11.17
뮤지컬 〈사의찬미〉,5,재미있어요,매일 봐도 질리지가 않았어요. 빨리 돌아왔으면 좋겠네요,2019.11.17
뮤지컬 〈사의찬미〉,5,사의찬미,너무 재밌어요...배우님들 최고...,2019.11.14
뮤지컬 〈사의찬미〉,5,끝났네요,다음에 꼭 보러오세요,2019.11.11
뮤지컬 〈사의찬미〉,5,사의찬미가 돌아왔으면 좋겠어요,사의찬미 다음에도 꼭 올거죠? 저 다시 볼 겁니다 기대하세요 네오,2019.11.09
뮤지컬 〈사의찬미〉,5,최고에요,다시 오는날까지 존버,2019.11.06
뮤지컬 〈사의찬미〉,5,역시..사의찬미..,역시 입니다...,2019.11.05
뮤지컬 〈사의찬미〉,5,쾅막한!!!!,다시 돌아와줘요ㅠㅠㅠㅠㅠㅠ 적금 넣고 있을게요.....,2019.11.04
뮤지컬 〈사의찬미〉,5,사의찬미 가지마요 ..돌아와요 ...,돌아와요 ㅠㅠ 아직 못보냅니다,2019.11.04
뮤지컬 〈사의찬미〉,4,좋았어요,넘버가 좋음,2019.11.04
뮤지컬 〈사의찬미〉,5,좋아여,좋아요좋아요좋아여,2019.11.04
뮤지컬 〈사의찬미〉,5,막공이란뇨ㅠ,역시 완벽한 문안정!!ㅠ 제발 다음에 올라올때도 꼭 다시 해주세요,2019.11.04
뮤지컬 〈사의찬미〉,5,망망한 바다 물새 한마리,잠시도 한눈 팔수 없고 잠시도 숨을 쉽게 쉴 수 없었어요 긴장감 팽팽,2019.11.04
뮤지컬 〈사의찬미〉,5,재미,재밌습니다,2019.11.04
뮤지컬 〈사의찬미〉,5,정동화짱!,유잼 유잼,2019.11.04
뮤지컬 〈사의찬미〉,5,감사했습니다ㅠ,사찬 좋은 기억으로 남겨주셔서 감사합니다ㅜ,2019.11.04
뮤지컬 〈사의찬미〉,5,좋았어요,정문성 안유진 정민 평생 사의찬미해,2019.11.04
뮤지컬 〈사의찬미〉,5,정말 최고의 작품 사의찬미,"세 배우의 합이 정말 잘 맞았구요. 오랜 시즌을 걸치면서 더더욱 완성도 높은 극이 탄생되었네요. 우진과 심덕, 그리고 의문의 사내의 이야기. 사의찬미 넘버는 왜 이렇게 좋을까. 정말 많은 덕들을 탄생시킨 중독성 높은 작품. 빨리 다름 시즌에서 보고 싶네요^^",2019.11.04
뮤지컬 〈사의찬미〉,5,안녕 나의 마지막 사찬 ㅠㅠㅠㅠㅠ,6연에서 다시 만나 ㅠㅠㅠㅠ,2019.11.04
뮤지컬 〈사의찬미〉,5,사의찬미,최연우 배우님 사랑해요,2019.11.03
뮤지컬 〈사의찬미〉,4,bb,중간에 좀 졸렸음..,2019.11.03
뮤지컬 〈사의찬미〉,5,좋아요,추천합니다,2019.11.03
뮤지컬 〈사의찬미〉,4,이제 결말이다.,"한 뮤지컬을 이렇게 여러번 본 것은 나에게는 사의 찬미가 처음이었다. 그것은 물론 네오 슨생님들의 적극적인 마케팅 전략이 8할을 차지했다고 해도 과언은 아니다- 매회 다른 포토카드와 매주 다른 적립 도장 모으는 재미, 그리고 매주 거의 새롭게 진행되는 이벤트와 선물들, 마지막회에는 럭키 드로우까지~ 비록 원하는 포토카드를 다 모으지도 못했고, 럭키 드로우에 배우븐들 폴라로이드도 얻지 못했지만, 덕분에 공연 보고 굿즈 사 모으는 재미에다가 이런 소소한 선물들을 모으는 재미까지 더해져서 좋았다! 총막공은 20일이었지만, 아쉽게도 나의 최애 배우님인 김경수 배우님의 막공은 바로 19일 밤공이었다; 막공 주말에는 배우분들이 커튼콜 후에 또 나와서 인사하는 코너가 진행되었는데, 무대에서의 우진, 심덕, 사내가 아닌 뮤지컬 배우 김경수, 최연우, 김재범로서 만나는 것이 낯설기도 하면서 세 배우분들의 케미가 정말 귀엽고 사랑스러웠다.^^ 마지막에는 관객들이 원한다는 포즈를 취해준다면서, 도쿄찬가에서 세 분이 겹쳐(?) 있는 모습을 잠깐 보여주셨는데 그렇게까지 귀여우실 필요 있나요? 이번 사의 찬미를 보면서 배우분들 페어마다 달라지는 느낌에 새로웠다면, 아마 다음 시즌부터는 이전 시즌과 달라진 부분을 찾는 재미를 느끼며 볼 것 같다... 근데 나 다음 시즌 볼 수 있는지.ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",2019.11.03
뮤지컬 〈사의찬미〉,5,최고,너무 좋았습니다.,2019.11.03
뮤지컬 〈사의찬미〉,5,올 여름 가장 인상 깊었던 공연,2017년에 이어 재관람하였습니다. 2020년에도 볼 수 있으면 좋겠네요. ^ ^,2019.11.03
뮤지컬 〈사의찬미〉,5,사의찬미ㅠㅠ,너무 재밌게봣고 육연기다립니다ㅠㅠ,2019.11.03
뮤지컬 〈사의찬미〉,5,사찬최고!,시찬 너무 좋아요 최애뮤지컬!,2019.11.02
뮤지컬 〈사의찬미〉,5,시찬막공아쉬워요,내년에 다시오기를 바랍니다 유플로갑시다 자리 넉넉하게 다시와요 ㅠ,2019.11.02
뮤지컬 〈사의찬미〉,5,"컴백,,",돌아와줘요 플리즈 사찬 없는 삶 고통스러우ㅜ,2019.11.01
뮤지컬 〈사의찬미〉,5,김연범 막공,최고,2019.11.01
뮤지컬 〈사의찬미〉,5,사의찬미,재밌어요,2019.11.01
뮤지컬 〈사의찬미〉,5,나 오늘밤 죽는대도 괜찮아~후회없어,누구든 원한다면~내 목숨을 가져가라~,2019.11.01
뮤지컬 〈사의찬미〉,5,사의찬미,친구? 우린 그 이상 될꺼야,2019.11.01
뮤지컬 〈사의찬미〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈사의찬미〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈사의찬미〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈사의찬미〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈사의찬미〉,5,사의 찬미 관람 후기,도장판 모으는게 너무 힘들 정도로 티켓팅이 힘들지만 보고 나오면 항상 표 잡길 잘했다라는 생각이 드는 극입니다. 배우님들의 캐해석과 캐슷 조합때문에 볼때마다 또 다른 매력을 느끼네요 재미있게 잘 봤습니다.,2019.10.31
뮤지컬 〈사의찬미〉,5,쾅마칸 광야를,달리는 인생아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,2019.10.31
뮤지컬 〈사의찬미〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈사의찬미〉,5,재밌어요,다음을 기대합니다,2019.10.31
뮤지컬 〈사의찬미〉,5,뮤지컬 〈사의찬미〉,뮤지컬 〈사의찬미〉,2019.10.30
뮤지컬 〈사의찬미〉,5,사찬!!,봐도봐도 좋네요~,2019.10.30
뮤지컬 〈사의찬미〉,4,재미있어요,재미있어요,2019.10.30
뮤지컬 〈사의찬미〉,5,그저 최고,최고의 공연,2019.10.30
뮤지컬 〈사의찬미〉,5,왜 막공?,사내의 지평을 열어 줌. 이 페어 또 없다니...,2019.10.30
뮤지컬 〈사의찬미〉,5,새로운 사내,새롭고 무서운 사내를 봤다. 음악도 무지 좋고. 또 다시 돌아 와 주길 바란다.,2019.10.30
뮤지컬 〈사의찬미〉,5,끝났다니,실감 안 나네요…,2019.10.30
뮤지컬 〈사의찬미〉,5,최고,안녕..,2019.10.30
뮤지컬 〈사의찬미〉,5,역시,배우들 넘버 다 넘 좋아요~~,2019.10.29
뮤지컬 〈사의찬미〉,5,광막한 황야를 달리는 인생아,윤심덕처럼 살고 싶다는 생각을 깊게 심어준 좋은 작품,2019.10.29
뮤지컬 〈사의찬미〉,4,사의찬미,재미있습니다.,2019.10.29
뮤지컬 〈사의찬미〉,5,빨리 다시 돌아왔으면,끝났다는게 너무 아쉽네요 빨리 다시 돌아왔으면 좋겠어요  사의찬미 덕분에 정말 행복했어요,2019.10.29
뮤지컬 〈사의찬미〉,5,또 보고싶어요,다시 보고싶어요,2019.10.29
뮤지컬 〈사의찬미〉,5,잘봤습니다.,좋아요 재밌어요,2019.10.29
뮤지컬 〈사의찬미〉,5,잘봤습니다.,아 넘버 너무 좋아요 그리고 확실히 좀 앞쪽에서 보는게 사운드도 더 풍부해서 좋더라구요,2019.10.29
뮤지컬 〈사의찬미〉,4,저한테 마지막 공연이었는데 좋았습니다,이벤트도 좋았고 본공도 좋았습니다.,2019.10.29
뮤지컬 〈사의찬미〉,4,공연 좋았어요,공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요 공연 좋았어요,2019.10.29
