musical_title,rate,review_title,review_text,review_date
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,"너무나 색달랐던, 그래서 재밌었던!!!","생기넘치는 연기와 노래, 그리고 지루하지 않은 이야기로 흥미롭게 볼 수 있던 공연!!!",2019.12.22
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,온가족이 가서 봤는데 두번을 봤음에도 좋은 공연이었어요. 또 보고 싶네요.,신선하고 홍이 절로 나는 공연 언제 또 볼수 있을까요?,2019.11.04
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,앞으로가 기대되는 배우 발견!,양희준배우 대단한 신인!!  앞으로 그가 하는 모든 작품을 다 챙겨볼 예정입니다!,2019.09.20
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",4,완~전 쒼나는 작품!,오~래오래 사랑받을 신명나는 창작뮤지컬~♥,2019.09.19
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,외쳐 조선!,잼납디다~,2019.09.13
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,언제 다시 오죠,"스웨에이지:외쳐, 조선! 감히 올 여름 최고의 뮤지컬이라고 할 수 있습니다. 다시 올 날을 기다리고 있어요. 끝난지 한달도 안됐는데 벌써 또 보고 싶어서 드릉드릉해요.",2019.09.10
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,신박함과 감동이 있는 극,힙합과 한국의 전통악기와 가락이 합해져서 더 좋은 음악 익숙한듯 신박한 넘버들 신명나고 요즘 세상과 특히나 광복절에 본 그날 대사들도 적절히 잘 바꿔서 더 좋고 가슴에 남읐던 극..,2019.09.10
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",4,존잼이에여ㅜㅜㅜㅜㅜㅜㅜㅜ,후기가 넘 늦었네요 빠른 시일 내 다시 만나길 바라요,2019.09.10
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",4,^^,재미있게 잘봤습니다 재연 기다리고있겠습니다,2019.09.09
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,재연 꼭 와주세요ㅠㅠㅠ,기다릴게요 재연 꼭 와주세요ㅠㅜㅜㅜㅜ,2019.09.05
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,너무 좋았습니다!,벌써 막공이 찾아와.. 너무 슬펐습니다 그래서 오프닝부터 눈물이 났어요ㅠㅠ 제발 재연 와주세요! 공연이 끝난 지금도 너무 그리워서 ost를 듣고 있어요,2019.09.05
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,재연을 기다립니다,보면서 헬조선 이라는 단어가 계속 생각났어요 극속에 시대는 조선 시대이지만 넘버와 대사를 지금 현시대에 대입해서 이야기해도 이질감이 느껴지지 않아서 참 공감이 많이 됬어요! 넘버도 너무 좋고 중독석 있어서 계속 생각이 났습니다 재연 꼭 와주세요!,2019.09.05
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,외칠 수 밖에 없다.,"시조를 현대적으로 바꾼 뮤지컬. 한국적인 소재를 현대식으로 잘 소화해낸 이야기와 음악.  신명나게, 즐겁게 재미있는 시간을 보냈습니다.   관객들이 너무나도 즐거워했던 2시간이었습니다.  이번에는 큰 아들과 같이 갔는데, 다음에 앵콜공연을 또 한다면 작은 아들과 다시 한번 가보고 싶네요.",2019.09.04
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,아는 분 잡아드렸는데 싱어롱 재미있었을 것 같네요,잘 다녀오신 것 같아 좋습니다 :),2019.09.04
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,조선 뮤뱅,조선 시조의 나라시조를 잃어봤던 우리가 더욱 가슴 깊이 함께 감동할 수 있는 극,2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,조선!,재연 기다립니다! 올때 준단이요!!!!!,2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,뮤지컬 외쳐조선!,"외쳐조선이 끝난지도 일주일이 더 되었네요. 그래도 여전히 흥은 남아있네요ㅠㅠ 너무 즐거운 공연이였고, 앙상블 배우분들 너무너무 좋았던 공연이였습니다. 또 다시 볼 수 있었으면 좋겠네요!",2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,최고입니다,세미막 급하게 잡아서 갔습니다만 재연 꼭 오길 기다리겠습니다!!,2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,오에오 오에오,양반이고 싶은 사람 손들어~,2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,외쳐봐 (외쳐봐!),랑댚의 특강 이후로 지금 한달간 외쳐봐 하고 다니고 있는데 후유증 어떻게 하실거에요 책임지세요..... 감사하게도 ost 내주셔서 매일 눈뜨고 잠들때까지 듣고있습니다.. 재연 올라오기까지 파이팅 하세요 제작진 창작진 연출진 배우 스탭 다들 감사합니다 사랑합니다 이렇게 다 사랑한거 정말 처음이야...........,2019.09.02
"뮤지컬 〈스웨그에이지 : 외쳐, 조선!〉",5,재연 언제올라와요 양희준배우 차기작 모에요,이렇게 스트레스 없이 흥겹게 웃고 울다가 개운하게 나오는 극 너무 반가웠고요 열심히 보러 다녔는데도 아쉬움이 가득합니다 양희준배우 김수하배우 차기작 빨리주세요 피엘대표님 듣고계세요..??? 재연도 기다릴게요 힘내주세요 ㅠㅠ 부탁합니다 ㅠㅠ,2019.09.02
