musical_title,rate,review_title,review_text,review_date
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,애들이 너무 귀여워요 ㅎㅎ,예전에 잭블랙 영화를 너무 재밌게봐서 기대를 하고 봤는데 기대 이상이었습니다! 특히 애들이 연기를 잘하고 귀여워요 ㅎㅎ,2020.06.04
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,또 한 번 보고싶어요!,진짜 인상깊게 봤어요!,2020.05.03
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,영화보다 좋았던,영화보다 좋았던 공연,2020.03.01
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,2019년 최고의 공연,보는 내내 신나고 아이들 연기에 흐뭇해했습니다.,2020.01.05
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,다시보고싶어요,감동적이었어요,2019.10.28
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,재미있었어요,신나요!,2019.10.27
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,최고!,우리나라 버전 제작해도 좋을 거 같아요 ^^,2019.10.26
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,이건 안 보면 후회합니다,친구들이랑 공연보러 다니다가 처음으로 가족들이랑 공연을 봤습니다 10대인 동생부터 50대인 아버지까지 다들 너무 즐거워해서 보여주고 너무 뿌듯했습니다!!동생은 집에서도 계속 노래를 부르네욬ㅋㅋ 동생이 어려서 자막때문에 걱정했지만 나와서 얘기해보니 내용을 잘 봤더라고요!!  정말 너무 추천하는 뮤지컬입니다,2019.10.11
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,또 보고 싶어요,"내용과 노래, 배우들의 연기 너무나 완벽했습니다",2019.10.06
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),4,즐겁고 흥겨운시간,또한번 관람하고 싶어요..자막보느라 정신없었거던요,2019.09.24
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),4,좋았습니다.,극장이 아쉽지 공연은 아쉽지 않네요 ㅎ,2019.09.18
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,엄청난 에너지를 느끼고 왔어요!!!,코너의 열연과 아이들의 엄청난 악기연주 실력과 엄청난 에너지 정말 재밌었어요!!! 꼭 한번 다시 보고싶어요,2019.09.10
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,가족 뮤지컬로 추천이에요,기대안했는데 가족들과 보기 최고네요.영어였어도 쉽게 이해되더라구요. 너무신나서 집에와서도 유튜브로 보고있습니다,2019.09.08
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,여러 번 보고싶은 공연,와 멋진 어린이들이였어요 프로!,2019.09.06
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,최고입니다,정말 멋진 공연이였어요!자막을 보기가 힘들었지만 너무너무 좋았습니다! 연기들이 너무 대단했고아이들의 목소리를 들어주지 않는 어른의 대목에서는울컥했어요,2019.09.06
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),4,재밌어요,노래가 좋았어요,2019.09.05
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,최고인 공연,한번만 볼수없는 공연...계속 생각나는 공연...,2019.09.05
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,너무너무 아쉽다,코너 듀이도 보고 싶었는데 리암만 2번 근데 벌써 끝이라뇨,2019.09.05
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),4,그냥저냥,공연들 많이 보다보니 웬만해선 감동적이지 않음. 아이들 열심히 잘했지만 전체적으론 대사들 너무 많고 음악 그저그렇고... 특별히 흠잡을데도 없었지만 가슴에 남는 공연도 전혀 아니었음. Vip자리에서 봤으면 돈 아까웠을뻔.,2019.09.03
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,멋진 공연이었어요,아이들 연기도 멋지고 특히 기타치던 배우 최고입니다.  서울 마지막 공연이라 할인 받아 좋은 자리에서 볼 수 있어 좋았습니다.,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,정말좋았어요,아이들이 넋을 잃고 봤어요. 어린 배우들이 얼마나 노력했을지 상상도 안되네요.ㅎ 진짜 재미있었습니다ㅎㅎ,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,조카들과 회전문~,첫 공연을 와이프랑 보고선 조카들과 회전문 돌고 있네요~~  초등 조카들도 많이 좋아하고 학교에서 선생님들이 영화로도 많이 추천하시는것 같아요!!!  교육적으로도 훌륭하고 일단 너무 신나요!!,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,다시보고싶은,서울 막공답게 배우들의 에너지가 넘쳤습니다,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,최고!,행복한 시간이었어요,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,스오락,최고최고! 대배우님들,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,ㅠㅠ,최고의 내한공!,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),4,재밌어요,써머귀여워,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,가족과 함께,2배로 더 좋았덕 작품,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,벌써 막공이라니,보고 싶을 겁니다,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,대배우님들,정말 최고였어요,2019.09.02
뮤지컬 스쿨 오브 락 월드투어-서울 (Musical School Of Rock),5,너무 좋아요,서욺에서 공연이 너무 좋아서 지방공연도 갑니다!,2019.09.02
