musical_title,rate,review_title,review_text,review_date
뮤지컬 시라노,4,머리 속에 남는 주옥같은 넘버,넘버가 좋다는 말은 들었는데 정말 좋은 넘버였습니다배우님들 좋은 작품 해주셔서 감사합니다,2019.12.29
뮤지컬 시라노,5,아름다운 기개와 감정선,시라노가 갖고 있는 자신에 대한 믿음과 재치있는 글 솜씨로 인해 귀가 행복했던 작품이었습니다. 이제 저의 2019년을 설명할 때엔 빠질 수 없는 작품이 되었네요. 아름답게 잘 보았어요. 다음에 또 작품을 연다면 보고싶군요.,2019.12.09
뮤지컬 시라노,5,아름다운 기개와 감정선,시라노가 갖고 있는 자신에 대한 믿음과 재치있는 글 솜씨로 인해 귀가 행복했던 작품이었습니다. 이제 저의 2019년을 설명할 때엔 빠질 수 없는 작품이 되었네요. 아름답게 잘 보았어요. 다음에 또 작품을 연다면 보고싶군요.,2019.12.09
뮤지컬 시라노,5,최고 또 보고싶내요,최고였어요 또 보고싶어요,2019.11.28
뮤지컬 시라노,5,다시 보고싶은 시라노~!,언제든 기다릴게요.달나라에서 다시 돌아솨주세요,2019.11.28
뮤지컬 시라노,5,공연 총막으로부터 1달이 넘게 지났는데,너무 늦게 치여서...울고 또 울며 기억을 곱씹고 유튜브 반복재생하고 있네요. 시라노 진짜 앞열에서 보든가 오페라글라스 필수입니다. 표정 연기가 정말...ㅠㅠ삼연이 빨리 오길 두 손 모아 빕니다...,2019.11.26
뮤지컬 시라노,5,훌륭한 배우들과 좋은 공연,기본적으로 사람들 따뜻하게 보는 공연 같다.네명의 시라노 모두 좋았지만좋은 조연들과 앙상블들까지 무엇하나 빠지지않는다. 삼연에는 오케가 함께하길,2019.11.25
뮤지컬 시라노,5,훌륭했습니다,"스토리가 좋고, 노래들도 좋았습니다. 가끔 뮤지컬 볼때면 노래를 열창하시지만 공감이 안 가는 때가 종종있는데, 노래들이 극 분위기랑 잘 어울려서 아주 좋았습니다.",2019.11.24
뮤지컬 시라노,5,조형균..,"오늘 다른 뮤지컬을 보고 와서 문득 이 뮤지컬이 생각나 늦은 후기 남깁니다..시라노는 배우, 넘버, 스토리, 무대연출 등 너무 완벽했던 뮤지컬이었네요..특히 조형균 배우님의 노래가 정말 대단했다는걸 다시 한번 느낍니다..모든 뮤배들이 그런건 아니었더군요 ㅠㅠ",2019.11.24
뮤지컬 시라노,5,3연 꼭 다시 해주세요,진짜 넘나 잼나게 봤던 시라노 최재웅님 시라노를 보았는데 감정을 너무 잘 표현하셔서 펑펑 울면서 봤어요 ㅠ 3연 꼭 해주기~~ 약속,2019.11.18
