musical_title,rate,review_title,review_text,review_date
뮤지컬 〈시티오브엔젤〉,5,테이의 뮤지컬은 사랑을 남기고,뮤지컬 재밋게 잘 봤습니다~,2020.01.21
뮤지컬 〈시티오브엔젤〉,4,"배우들의 연기력은 좋았지만, 전체적인 구성이 아쉬웠던",좀거 친절한 구성이라면 이해하기 쉬웠을 거 같았던  하지만 화려한 앙상블은 귀가 즐거웠다,2019.12.22
뮤지컬 〈시티오브엔젤〉,4,진짜 잼있었어요,진짜~잼있었어요~~또 보고싶을만큼^^,2019.11.23
뮤지컬 〈시티오브엔젤〉,4,모든 배우에게 박수를!!!!,"노래가 귀에 남는 명곡은 없었지만 줄거리, 연기 모두 너무좋았습니다",2019.11.16
뮤지컬 〈시티오브엔젤〉,5,꿀잼,15회정도 관람했지만 마지막 공연이라그런지 더 재미있고 너무 아쉽네여 모든배우님 고생 많으셨어여,2019.11.05
뮤지컬 〈시티오브엔젤〉,4,씨티오브엔젤,배우들의 열정과 노력이 느껴지는 공연이었고 감동을 선사받은 느낌의 좋은 공연이었습니다. 워낙 내용은 복잡미묘하여서 기념으로 받은 책자를 통하여 이해가 되기는 하였지만  준비없이 관람하는 경우라면 이해하는데 많은 노력이 필요했을것 같습니다. 공연을 보는 모든사람이 이해할수 있는 안내지같은 것을 배부하는것이 작품해석등 도움이 될것 같습니다. 오랜만에 멋진음악과 변화무쌍한 무대등 볼거리가 흥미진진하여 힐링타임이 된것 같아  감사했습니다. 다음에도 모든이가 만족하는 멋진 공연 기대하겠습니다.  관게자 모든분들께 감사를 드립니다.^^,2019.11.04
뮤지컬 〈시티오브엔젤〉,5,막공 넘 잘봤어요 ㅎ,재연 꼭 해주세요 ㅎ,2019.11.02
뮤지컬 〈시티오브엔젤〉,5,새로운 뮤지컬,신선했어요. 언어유희도 즐거웠고요. 슬프거나 고통스러움이 없던 극이었어요. 재연도 기대할께요(=^ェ^=),2019.10.29
뮤지컬 〈시티오브엔젤〉,5,후기,"이런 느낌의 공연을 원래 좋아하는데 딱 제 취향이네요. 최재림, 테이, 박혜나, 임기홍 배우 정말 좋았는데, 의외로 가희 배우가 잘해서 깜짝 놀랐네요.. 댄서 이미지가 강했는데, 연기, 노래 모두 다른 배우들에 비해 뒤쳐지지 않아 정말 놀랐습니다.",2019.10.28
뮤지컬 〈시티오브엔젤〉,5,너무멋짐,처음앞자리에서보았는데 배우들의표정 감정도느낄수있었던..공연 너무재밌었고 배우님들 열정에박수를~~~담에 또만나요~^^,2019.10.28
뮤지컬 〈시티오브엔젤〉,5,아쉬우니 재연으로 와주세요,너무 재밌고 영화같은 뮤지컬초반에는 음향때문에 너무 속상했고재밌는 대사와 상황들이 너무 빨리 지나가서누적되서... 집에 오면서 웃게되는 것도설마 이런 걸 노린 건가요엔젤스 너무 고생하셨어요,2019.10.28
뮤지컬 〈시티오브엔젤〉,5,흥미로운 공연이었어요,영화 속의 흑백을 어떻게 표현할지 궁금했는데,2019.10.28
뮤지컬 〈시티오브엔젤〉,5,인상적이었던 극의 구성과 오케스트라,왜 막공에서야봤는지 후회했어요. 공들인 무대와 배우들의 연기가 인상적이었어요. 오케스트라도 배역의 하나로 하신 모습이 넘 특이하고 기억에남아요~,2019.10.27
뮤지컬 〈시티오브엔젤〉,3,난 너무 기대했나보다,ㄴㅓ무 기대했나보다.별루였다.,2019.10.26
뮤지컬 〈시티오브엔젤〉,4,두 번째,두 번째 보는 시티오브엔젤. 재미있다,2019.10.24
