musical_title,rate,review_title,review_text,review_date
뮤지컬 〈신흥무관학교〉,4,만족합니다.,재미있고 교훈도 있네요.,2019.09.19
뮤지컬 〈신흥무관학교〉,5,내 인생 최고의 뮤직컬!,눈물 정말 많이 흘렸어요 ㅠㅠ 진짜 잊지 못 할 공연!!,2019.06.22
뮤지컬 〈신흥무관학교〉,5,다시 또 보고싶네요,포스터만 봐도 그때의 감동이 ㅠㅠ 다시 보고싶어요 그립네요,2019.06.18
뮤지컬 〈신흥무관학교〉,4,늦었지만 좋은 공연이었기에 후기 남깁니다.,강하늘 배우님의 연기가 가장 인상적이었습니다.잊지 말아야할 역사에 대해 다시금 떠올리는 좋은 공연이었습니다.,2019.06.12
뮤지컬 〈신흥무관학교〉,4,늦었지만 후기 남깁니다.,배우들의 열연이 독보이는 작품입니다.제목만 봐도 그자체로 의미 있는 작품이라고 생각합니다.안보신 분들이 있다면 꼭 한번 보시기를 추천합니다.,2019.06.08
뮤지컬 〈신흥무관학교〉,5,최고예요,신흥무관학교 넘버가 계속 머리에 맴돌아요! 일제강점기를 배경으로 한 군뮤지컬 많이 만들어 주시면 역사관 확립과 공부에 많은 도움이 될 것 같습니다. 이진기배우님 정말 멋있어요ㅠㅠ,2019.06.05
뮤지컬 〈신흥무관학교〉,5,최고~~,스토리도 좋구~~무엇보다 노래가 감동적,2019.06.04
뮤지컬 〈신흥무관학교〉,5,정말 감동적인 뮤지컬,넘버들이 너무 좋아요ㅠㅠ,2019.06.04
뮤지컬 〈신흥무관학교〉,5,기대이상의 공연,넘버도 연기도 모두 다 너무 좋았어요,2019.06.03
뮤지컬 〈신흥무관학교〉,5,최고였어요.,두번째보니 내용도 더 와닿고 동규도 이해되고 좋았어요. 군대뮤지컬이지만 퀄리티가 정말 훌륭해요. 지속 공연하시길,2019.05.20
뮤지컬 〈신흥무관학교〉,5,정말 재밋었어요!,또 보고 싶어요!,2019.05.20
뮤지컬 〈신흥무관학교〉,5,재미씀,짱이당ㅎㅎ,2019.05.18
뮤지컬 〈신흥무관학교〉,5,최고의공연,최고의 배우들입니다,2019.05.12
뮤지컬 〈신흥무관학교〉,5,최고의 뮤지컬이였습니다!,뮤지컬을 보면서 눈물을 흘린게 처음이였어요~ 정말 감동적이였고 재밌었습니다!,2019.05.12
뮤지컬 〈신흥무관학교〉,5,감동이얐어요,최고의공연감사합니다,2019.05.12
뮤지컬 〈신흥무관학교〉,5,좋은공연입니다.,볼때마다 눈물날 정도로 감동적입니다,2019.05.11
뮤지컬 〈신흥무관학교〉,5,대단한 공연,신흥무관학교 처음 봤었는데 소름돋는 멋진 공연이었어요 서울공연 못 보신 분들은 지방공연 꼭 보시길 바라요ㅜㅜ,2019.05.08
뮤지컬 〈신흥무관학교〉,5,한번쯤은 꼭 봐야하는...,"배우님들의 연기도 뮤지컬 no도 다 좋았습니다정말 꼭 한번이라도 봐야하는 뮤지컬이에요감동이 쉬이 가시지 않는... 뮤지컬이었습니다오랜만에 눈물 닦아가며 봤네요지창욱,강하늘,성규 배우님으로 다시 한번 만나고 싶네요ㅜㅜ",2019.05.08
뮤지컬 〈신흥무관학교〉,3,전반보다는 후반이 볼만했던 공연.,솔직히 배우들이 좋은데 1부는 학생들이 공연하는 수준처럼 느껴질만큼 내용이 조금 유치했어요..수준에 좀 안맞았다고 할까요.다행히 인터미션 이후 내용이 애국심도 갖게하는 스토리라 플러스가 되었지만 다시 보고 싶게 만드는 공연은 아니었던점이 아쉽습니다,2019.05.06
