musical_title,rate,review_title,review_text,review_date
뮤지컬 〈아이다〉,5,설 연휴에 우연히 보게 된 아이다,그 뒤로 몇번 더 볼 정도로 좋았어요!!,2021.08.05
뮤지컬 〈아이다〉,5,아이다 사랑해요!,ㅠㅠㅠㅠㅠㅠ 꼭 돌아와요,2021.08.05
뮤지컬 〈아이다〉,5,다시는 볼 수 없는 버전,보길 잘했어요 후회 없는 공연,2021.08.05
뮤지컬 〈아이다〉,5,좋아요,너무 멋있네요 앙상블 정말 너무 멋있습니다..갓상블...,2020.07.31
뮤지컬 〈아이다〉,5,자꾸 생각나요,그랜드파이널이라 본 건데 보길 잘했어요,2020.07.31
뮤지컬 〈아이다〉,5,다시해줘요,아이다아이다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2020.07.21
뮤지컬 〈아이다〉,5,그리운 아이다,"배우들 연기, 무대, 안무 너무 좋았고 넘버는 진짜 다 좋아서 자꾸 아른거리네요. 아이다 안 봤으면 정말 후회했을뻔한 뮤지컬입니다!",2020.07.21
뮤지컬 〈아이다〉,5,최고의 아이다,꼭 보세요~ 두번 보세요~ 세번 보세요~ㅎㅎㅎ 진짜 꼭한 번 보세요~,2020.06.25
뮤지컬 〈아이다〉,4,정선아 배우님은 실망시키는 법이 없음 ㅠㅠ,배우님만 믿고 맨앞 한가운데서 관람했습니다눈과 귀가 호강했습니다. 감사합니다.,2020.06.08
뮤지컬 〈아이다〉,5,처음봤는데 마지막이되버린 아이다....,좋아하는넘버를 직접들으니 너무행복했음..언제다시 나올려나..,2020.06.05
뮤지컬 〈아이다〉,5,마지막이어서 너무 아쉬워요..,이렇게 멋진 앙상블과 배우님들이 함께하는 사랑하는 아이다를 이렇게 떠나보내다니 ㅜㅜㅜㅜ 부산 공연도 취소되어서 더 아쉬우셨겠어요.. ㅠㅠ 담에 다시 뉴 아이다로 꼭 만나요!,2020.05.13
뮤지컬 〈아이다〉,5,아이다,정선아의 시원한  보컬로시작~~~^^재미있게 봤어요,2020.04.29
뮤지컬 〈아이다〉,4,예상보다 멋진 뮤지컬,"그랜드 피날레라는 소식을 듣고 부랴부랴 예매했던 아이다! 역시 너무나 재밌게 시간가는줄 모르고 봤습니다~ 전나영, 정선아 배우님 짱!",2020.04.29
뮤지컬 〈아이다〉,5,또 보고싶었요,계속 계속 보고싶은 뮤지컬,2020.04.28
뮤지컬 〈아이다〉,5,역시역시!!,아이다.너무 좋아요 너무 멋있고 너무 좋아요ㅠㅠㅠ 역시 갓상블!!,2020.04.24
뮤지컬 〈아이다〉,5,오래 기억되는 뮤지컬,본지 석달 지났는데도 그때의 여운이 느껴집니다. 오래 기억되는 뮤지컬. 꼭 한번은 봐야하는 뮤지컬입니다.,2020.04.21
뮤지컬 〈아이다〉,5,계속 생각나요,다시 돌아와주길 아이다^^,2020.04.16
뮤지컬 〈아이다〉,5,정선아 암네리스 최고,배경지식없이 보는게 너무 좋아서 정말 아무것도 안보고 가서 봤는데 수트넘버에서 진짜 소름돋았어요 정선아 암네리스 최고!!!,2020.04.03
뮤지컬 〈아이다〉,5,정선아 배우님ㅠㅠ,"제 입시작품이 암네리스였어서 정선아 배우님이 연기하신 영상 정말정말 많이 보고 배웠었는데 드디어 직접 무대로 봐서 너무 행복했습니다!! 역시 딕션,발성,연기 등등 다 멋지셨고, 처음으로 1층 2열에서 작품을 봤는데 배우들의 눈빛 하나하나 디테일도 다 좋았어요! 커튼콜때 제 착각인지는 몰라도 제 구역쪽 계속 보고 웃으시면서 인사해주셔서 행복했습니다♡♡하필 저날이 아팠던날이라 인터미션때 약먹고 2막 끝부분에 눈 살짝 찡그리면서 봤는데ㅠㅠ 덕분에 집까지 무사히 왔어요ㅎㅎㅎ",2020.04.02
뮤지컬 〈아이다〉,5,의상도 좋고 너무 좋았습니다,다음 라이센스 공연도 기대합니다.,2020.04.01
뮤지컬 〈아이다〉,5,오랫만에 봤는데 너무 좋았습니다~,많은 것을 느끼게 해주는 스토리 그리고 아름다운 음악 다 너무 좋았습니다.,2020.03.29
뮤지컬 〈아이다〉,4,한번쯤,한번쯤 볼만한 뮤지컬,2020.03.24
뮤지컬 〈아이다〉,5,역시 명작 뮤지컬입니다!,"유명한 이유가 있는 뮤지컬이었어요~ 기승전결의 짜임새가 좋았고, 수미상관으로 연결되는 극의 흐름을 따라가다 보니 나도모르게 마지막쯤에 먹먹한 감동을 받았습니다. 또한 앙상블의 군무가 정말 화려해서 볼거리가 많은 작품이었습니다. 마지막이라 아쉽다가도, 마지막을 볼 수 있어서 다행입니다!",2020.03.23
뮤지컬 〈아이다〉,5,다시 보고픈 공연인데ㅜㅠ,다시 보고픈 공연인데ㅜㅠ,2020.03.22
뮤지컬 〈아이다〉,5,가족과 함께한 뜻깊은 공연,코로나에 대한 불안감은 있었지만 철저하게 마스크를 쓰고 멋진 관람을 가졌다.오랜만에 가진 가족 문화생활이었다.새식구가 된 사위와 함께한 배우들의 감동 넘치는 공연이었다.,2020.03.22
뮤지컬 〈아이다〉,5,인생뮤지컬 !!!,여태까지 뮤지컬 보면서 인생뮤지컬이다 싶었던 적은 없었는데 아이다는 무조건 재관람 하고 싶을정도로 최고였어요 ! 그리고 암네리스는 무조건 정선아님 !!!!!!,2020.03.20
뮤지컬 〈아이다〉,5,아이다,모든게 충분했던 아이다. 너무 늦게 봐서 더 볼 수 없어 아 쉬워요.,2020.03.19
뮤지컬 〈아이다〉,5,그리운 아이다,더는 이작품을 못본다는게 넘 슬퍼요. 모든 배우분들께 기립박수 보냈어요~ 부산공연 취소되서 울고있는 1인입니다.,2020.03.16
뮤지컬 〈아이다〉,5,뻔하지만 뻔하지 않았던 사랑 이야기,평소 사랑에 대한 이야기를 별로 좋아하지 않고 더더우구뻔한 내용을 좋아하지 않는데 아이다는 뻔한 사랑 이야기임에도 불구하고 너무 재밌게 봤다. 무엇보다 암네리스가 아이다의 주인공 같고 너무 멋있었다.  무대도 너무 잘 꾸몄고 빠르게 변하는 조명도 너무 멋있다.,2020.03.16
뮤지컬 〈아이다〉,5,ㅜㅜ,끝난게 믿어지지않네요ㅜㅜ 암네리스ㅜㅜㅜ,2020.03.12
뮤지컬 〈아이다〉,5,앙상블최고,당연 모든 배우분들이 뛰어나시지만 앙상블이 너무 멋지고 소름돋았어요ㅠㅠ 멋진공연 감사합니다ㅠㅠ,2020.03.12
뮤지컬 〈아이다〉,5,마지막에..,감동...마지막엔 눈물났어요 ㅠㅠ,2020.03.11
뮤지컬 〈아이다〉,5,마지막이라니 믿을 수 없어요,"이렇게 위대한 작품을 이제 영영 볼 수 없다니ㅠㅠ 정말 믿을 수 없을 정도로 슬펐어요.  마지막 공연 답게 완벽했고, 평생 기억하고 싶을 정도로 아름다웠습니다.",2020.03.10
뮤지컬 〈아이다〉,5,꼭!!!,앵콜 공연 취소가 된것이 돌아오길 바라고 바라고 있습니다.이대로는 절대 못보낸다.아이다ㅜㅜ,2020.03.09
뮤지컬 〈아이다〉,5,최고의 뮤지컬 아이다.,"아이다가 좀 됐지만 전혀 촌스럽지 않고 들을 수록 세련되었다. 넘버는 어느 하나 안 좋은 것이 없으며... 캐릭터 설정은 다 좋다..의상, 소품, 세트 다 좋다. 이 모습의 아이다가 이제 없다니 아쉽기만하다. 그래도 이번 시즌 아이다가 좋았기에 눈물로 보내주려 한다 안녕 아이다...",2020.03.09
뮤지컬 〈아이다〉,5,감동이에요,고민하다 표 잡았는데 참 잘했다는 생각이 드네요,2020.03.09
뮤지컬 〈아이다〉,5,디즈니는 빨리 리뉴얼을 서둘러라!,디즈니는 빨리 리뉴얼을 서둘러라!,2020.03.09
뮤지컬 〈아이다〉,5,아이다,2020/02/23 19:00 윤공주 김우형 아이비 박성환 아이다 그랜드 피날레ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2020.03.08
