musical_title,rate,review_title,review_text,review_date
뮤지컬《엑스칼리버》,5,강력 추천!,강력 추천!,2020.12.01
뮤지컬《엑스칼리버》,4,화려하네요,랜슬럿 보러갔다가 모르가나한테치이고 왔어요 ㅋ,2020.02.24
뮤지컬《엑스칼리버》,5,엑칼짱,엑칼 최고에요 넘버가 일단 너무 좋음 글고 돈냄새가 오지게 나서 최고입니다,2019.12.16
뮤지컬《엑스칼리버》,5,검이 한 사람을,프랭크 와일드 혼의 엄청난 넘버.....70명 가량의 대규모 출연진..훌륭한 캐스팅 좋은 작품입니다,2019.09.26
뮤지컬《엑스칼리버》,5,한번밖에 못본게 인생의 실수,너무 재밌고 노래도 좋고ㅜㅜㅜㅜㅜㅜ다 좋아요ㅜㅜㅜㅜ,2019.09.17
뮤지컬《엑스칼리버》,3,쩝쩝쩝...,생각보단 별로였어요.,2019.09.16
뮤지컬《엑스칼리버》,3,생각보다...,사실 내용보다 무대가 너무 보고싶어서 갔어요!,2019.09.12
뮤지컬《엑스칼리버》,3,엑스칼리버,엑스칼리버는 박강현 배우때문에 봤는데 역시나 기대이상으로 좋은 연기와 좋은 노래로 행복했습니다^^ 전체적인 내용이나 세종문화회관환경은 별로였습니다..,2019.09.10
뮤지컬《엑스칼리버》,5,인생뮤지컬,인생 첫 뮤지컬이 엑스칼리버여서 참 다행이다. 넘버들이 다 너무 좋고 극의 내용도 너무 좋아서 공연실황앨범이 너무 기다려진다,2019.09.05
뮤지컬《엑스칼리버》,4,엑스칼리버,끝무렵이라 그런지 생각했던 것보다는 ..목소리도 다 쉬어서 어려움이 느껴졌고 서영주님과 김준현님 둘만 좋았어요 ㅎㅎㅎ,2019.09.05
뮤지컬《엑스칼리버》,4,다시 돌아왔으면,손준호 멀린과 신영숙 모르가나로 비어있던 서사들이꽉 들어찼다캐스트간의 호흡이 너무나 좋았던 공연,2019.09.04
뮤지컬《엑스칼리버》,3,생각보다 아쉬워요,12살 아들이 원해서 가족 세명이 급히 관람했어요. 솔로 부분이 너무 많아서 아이가 지루해 했어요. 스토리도 아쉽구요.,2019.09.03
뮤지컬《엑스칼리버》,5,너무 좋았어요.,남편이랑 같이 봤는데 좋았어요. 무대장치가 상당하네요.ㅎㅎ,2019.09.02
뮤지컬《엑스칼리버》,4,대극장극의 재미,재밋게봤어요,2019.08.30
뮤지컬《엑스칼리버》,5,두번째관람,영화 처럼 몰입해서 보게됨,2019.08.30
뮤지컬《엑스칼리버》,5,넘 좋아서 두번째 관람,연기 넘 좋고 몰입해서 봣어요,2019.08.30
뮤지컬《엑스칼리버》,5,정말 최고라고 밖에..,뮤지컬 킹아더를 보고 아더이야기 자체의 매력이 없어서 보지 않다가 그래도 그냥 보내기가 아쉬워 관람.. 이런 뮤지컬을 못 볼뻔한 내가 이렇게 늦게 본 내가 어찌나 속상하면서 다행이던지.. 한 번 더보고 보내려했으나 이미 매진..취소표를 얻게된건 정말 행운~ 스토리며 음악이며 무대. 배우들까지 보면서도 내내 감동받고 감탄하고.. 벌써 재연이 기다려집니다.. 정말 최고였어요,2019.08.27
뮤지컬《엑스칼리버》,5,조아요,조아요  조아요  조아요 조아요  조아요 조아요,2019.08.26
뮤지컬《엑스칼리버》,4,좋아요,노래도 좋고 무대도 웅장해서 재미있어요,2019.08.25
뮤지컬《엑스칼리버》,4,스케일이 최고,스케일 장난아니고 배우 연기 너무 좋았는데 어쩔수없지만쫌 멀어보이는감이 아쉬웠어여 ㅠㅠ,2019.08.24
뮤지컬《엑스칼리버》,5,웅장한 스케일 그에 맞는 연기자들의 웅장한 스케일!!,무대연출 배우들의 소름돗는 연기까지 정말 순식간에 시간이 지난것 같아요. 너무 감동적인 공연이었습니다,2019.08.22
뮤지컬《엑스칼리버》,2,스토리 짜임새가 아쉽네요.,화려한 캐스팅 멋진 무대 연출 오직 스토리 부분에서 많이 아쉽습니다. 인물간 갈등 부분이나 로맨스에서 이해가 되지 않고 몰아치는듯해 아쉬웠어요. ㅠㅠ,2019.08.22
뮤지컬《엑스칼리버》,5,재밌었어요,막공이라 감동이 2배였습니다,2019.08.21
뮤지컬《엑스칼리버》,4,무대나 스케일 면에서는 ㅇㅈ,물 뿌리는 거나 돌산 등 굉장히 멋있음 오오 하게 됨 멋짐 솔직히 내용이 그렇게 매력적이지는 않으나 (약간 유치) 배우들이 일단 캐리했다 (김준수는 역시 김준수)  넘버도 다 좋고 지루하다 싶은 장면은 없었음 (띠용스러운 전개는 있었지만) 근데 만약 재연이 올라온다고해도  세종 극장에서 안하면 이 극의 매력이 별 네개 급일까 싶음  자본!!!!!! 힘 &#48989; 들어간 느낌 아니고  만약 이 연출에 이 스토리에 이 캐릭터인데 다른 극장 소규모로 올라왔으면 과연 성공했을지........호평을 받았을지.....잘 모르겠어요  하지만 눈과 귀는 즐거웠습니다,2019.08.21
뮤지컬《엑스칼리버》,4,화려한 무대연출 굳~!!,이제껏 봐 왔던 무대 연출 중 가장 볼거리가 화려했던거 같아요~  개인적으로 엔딩 스토리를 조금 수정바도 좋지 않을까 싶긴 한디 ㅋㅋㅋ  여튼 아서왕의 스토리를 대략적으로나마 알고 공연을 보는게 좀더 흥미를 돋을 수 있을겁니다.,2019.08.21
뮤지컬《엑스칼리버》,5,연기도 좋았고 음악도 좋았고 무대장치도 좋았습니다,삼박자가 골고루!엄지척!!또보고싶습니다,2019.08.20
뮤지컬《엑스칼리버》,5,asfd,asfd,2019.08.19
뮤지컬《엑스칼리버》,5,asfd,asfd,2019.08.19
뮤지컬《엑스칼리버》,5,asdf,asdfsaf,2019.08.19
뮤지컬《엑스칼리버》,5,정말 좋았던공연,잘보았습니다.,2019.08.19
뮤지컬《엑스칼리버》,5,막공의 여운..,그립다..카멜롯..다시 앓고싶다..,2019.08.18
뮤지컬《엑스칼리버》,2,조금 초반 지루,초반에 조금 지루해요,2019.08.17
