musical_title,rate,review_title,review_text,review_date
뮤지컬 〈여신님이 보고 계셔〉,5,무더위도 날려주시는 여신님,"[여신님이 보고계셔] 무더위도 날려주시는 여신님/성두섭 출연 지인과 함께 재미있게 봤던 기억에  네이버TV에서 온라인 상영회를 한다니 아름다운 여신님을 오랜만에 다시 만나고 싶어졌다.  그대가 보시기에 참 이쁘구나 여기게 후후 그대가 보시기에 참 기특하다 여기게 후후  아직도 귀에 착착 감기는 넘버!  나에게 여신님이 보고계셔라는 공연을 떠올려보라하면 제일 먼저 생각나는 넘버이다.   한영범 대위역의 성두섭 배우님 처음엔 로코 전문배우같았는데 (순전히 개인적인 생각, 초반에 달달한 역으로 많이 뵈어서~♡) 어디에 나오셔도 너무 좋다! 집중력이 마구 올라간다*^-^*  모바일로 바로 코드 입력하고 접속은 안되고 컴퓨터나 패드는 코드 넣고 바로 보는 것 가능! 8시 정시 시작 (조금 일찍 접속해있는 것이 좋음!!)  줄거리는 이미 널리 알려져 있듯이 간단하다. 배경은 한국 전쟁 당시, 한국군인 한영범 대위와 신석구가 북한군인 이창섭, 류순호, 변주화, 조동현을 포로수용소로 이송하는 특별 임무를 맡고 배로 이동 중이었으나 폭동 및 기후악화로 무인도에 고립된다. 유일하게 배를 고칠 줄 아는 순호의 마음을 붙잡고자 여신님이 있다고 믿게 만드는 데!!! 배를 고쳐 이 곳을 떠나기 위한 마음으로 모두 여신님 프로젝트에 동참한다.   그 후로 여신님이 보시기에 이쁘고 기특한 행동만 해야하니 욕설 금지, 폭력 금지, 음식은 공평하게 나누어 먹기 등 생활규칙이 정해지고 배를 수선해가는 두달이 넘는 기간 동안 한국군과 인민군은 적이라는 경계선을 넘어 인간적인 만남을 가지게 된다.   공연이 진행될수록 정말 여신님이 있는 것 같은 느낌! 그리고 한사람 한사람의 삶의 에피소드등을 보게 되면서 등장 인물에 더욱 가까워지는 느낌이다. 잘 만들어진 창작뮤지컬 여신님이 보고계셔 무대위의 배우들을 직접 볼 때도 좋았지만 온라인 스트리밍으로 볼 때도 그들의 열정이 느껴져서 좋았다. 아직 7월 29일 그리고 8월의 온라인 공연이 남아있으니 아직 안 본 분이라면 서두르기를! 오프라인 공연도 온라인 공연도 여신님이 보시기에 흡족하실 것이다!  여신님이 보시기에 후후~! (소중한 배우님들과 좋은 넘버들! 방구석 1열 마스크 없이 내 방에서 선풍기 바람 팍팍 느끼며 볼 수 있어 좋았다!)",2021.07.20
뮤지컬 〈여신님이 보고 계셔〉,5,뮤지컬 안 좋아하는데..,재밌게 보고 있다가 갑자기 노래를 부르면 몰입이 깬다..고 해야할까요ㅎ 그래서 뮤지컬을 많이 본 건 아니지만 가끔 시도는 해보는 편인데 늘 실패했어요 근데 유일하게 이 뮤지컬은 보면서 담에도 보러와야지 친구 데려와서 봐야지 했었네요결론은 재밌음,2021.06.30
뮤지컬 〈여신님이 보고 계셔〉,5,역시,빨리 또 보고 싶어요 여보셔ㅠㅠㅠㅠㅠ,2020.06.17
뮤지컬 〈여신님이 보고 계셔〉,5,제 인생극 여신님이 보고계셔,여신님이 보고계셔를 2017년부터 10번은 본 것 같네요..ㅜㅜ진짜 넘버 너무 좋고 스토리 좋아요 제가 힐링극 정말 좋아하는데 진짜 군인들 개인 마다 스토리들이 있어서 보는 내내 눈물도 흘리고 감동도 받았습니다 여신님과 함께하는 부분도 좋았고 꽃봉오리와 여신님이 보고계셔 넘버를 참 좋아하는데 들을 때마다 가슴이 뭉클해지네요 겨울에 오는 힐링극인게 겨울에 따뜻함을 주기 위해서라 생각해요 가족 지인이랑 가기 좋은 뮤지컬입니다,2020.04.21
뮤지컬 〈여신님이 보고 계셔〉,5,첫눈에 반한 뮤지컬,이걸 왜 이제서야 본걸까 후회스러웠어요..너무너무 사랑하는 뮤지컬입니다ㅜ,2020.04.20
뮤지컬 〈여신님이 보고 계셔〉,5,감동적입니다,스토리도 좋아요,2020.04.03
뮤지컬 〈여신님이 보고 계셔〉,5,너무 재밌어요,3년 어떻게 기다려,2020.04.03
뮤지컬 〈여신님이 보고 계셔〉,5,한번밖에 못본게 너무 아쉬워요ㅠㅠㅠㅠ,다음에 돌아올땐 오슷 악보집 다 살거에요ㅠㅠ 너무 늦게 봐서 또 못본게 너무너무 아쉬워요ㅠㅠ 스토리 넘버 다 너무너무 만족스러웠어요!! 첫 넘버부터 너무 좋았어요 빨리 돌아와주세요ㅜㅜ,2020.03.31
뮤지컬 〈여신님이 보고 계셔〉,5,긴장감 넘치는 힐링뮤지컬 (?),"6연 끝난지 얼마나 됐다고 생각나서 후기 쓰러 왔습니다처음엔 수능끝나고 대학로에 뮤지컬을 보러 가고 싶어서 알아보다가 우연히 영상을 접하게 되었는데요 넘버가 너무 좋고 신나서 바로 수험생 할인 쓰고 보러 왔었어요 군인들과 여신님 이야기라 희망적인 판타지 같지 않을까 했는데 예상과는 달리 소중한 사람들을 그리워하는 인물들 중심의 이야기여서 너무 좋았어요. 긴장되거나 활기찬 노래도 너무 좋았지만 각자 자신만의 여신님을 생각 하는 장면에선 저도 모르게 울컥하고 있더라구요... 그리고 순호가 보여준 감정선의 변화, 내면이 성장해가는 모습도 좋았어요 자세한 내용은 7연에서 직접 보시면 좋겠습니다(스포일러가 되니 보시기전에 영상 찾아보지 마세요 ㅠ ㅠ 전 어쩌다 봐버렸지만 재밌게 봤어요,,ㅎㅎ) 첫 뮤지컬을 고민하고 계시거나 , 가족, 친구, 연인 누구라도 같이 봐도 후회 안 할 뮤지컬이에요! 코믹하면서 감동도 있고 귀여우면서 긴장감 넘치는 힐링되는 뮤지컬을 찾으신다면 꼭 보시길 추천드려요!  이 뮤지컬 덕분에 힐링 많이 받았어요 고마워요 여신님:)",2020.03.30
뮤지컬 〈여신님이 보고 계셔〉,5,너무 감명깊어요,왜 더 없나요,2020.03.30
