musical_title,rate,review_title,review_text,review_date
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다힙니다 :),2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다립니다,2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다립니다,2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다립니다,2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다립니다,2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,????????????????????,다시 돌아오기를 기다립니다,2021.06.14
뮤지컬 〈영웅〉 10주년 기념공연,5,또 보고싶은 공연,항상 봐도 또 보고싶은 공연이에요:) 누가 죄인인가 넘버가 가장 유명하지만 장부가도 정말 최고랍니다..!,2020.06.22
뮤지컬 〈영웅〉 10주년 기념공연,5,평생 잊혀지지않을 공연,"학창시절 영상으로만 접했었던 공연을 난생처음 내 눈으로 직접 보게되었다.그로인해 인터넷으로 수없이봤던 그 장면의 영상은 아무것도 아닌게 되어버렸다.극속의 안중근의사는 나를 뒤흔들어놓았고, 대한민국의 국민이라는 사실이 다시금 자랑스러워졌다.내 인생 첫 뮤지컬이 영웅이라서 너무나 다행이다.",2020.02.05
뮤지컬 〈영웅〉 10주년 기념공연,5,정성화님,기대 없이 봤던 공연에 반했습니다.정성화님 레미제라블 공연때 기대가 넘쳤었는데...이번 공연은 정말이지 최고였습니다...,2020.01.26
뮤지컬 〈영웅〉 10주년 기념공연,5,최고의뮤지컬 양준모배우 진심짱,어떻게 저렇게부르지싶게..  최고였습니다모든넘버가 다기억에 남습니다. 다시보고 또보고싶네요.정말최고의 뮤지컬이었습니다,2020.01.24
뮤지컬 〈영웅〉 10주년 기념공연,5,제목 그대로 나에겐 영웅이었던작품,정말 다음에도 꼭 보러가겠습니다,2020.01.19
뮤지컬 〈영웅〉 10주년 기념공연,5,인생 뮤지컬 그 자체,오랜만에 본 뮤지컬인데 그동안 본 뮤지컬과는 차원이 다릅니다 스토리부터 연출 배우들의 연기 그리고 넘버까지,2020.01.11
뮤지컬 〈영웅〉 10주년 기념공연,5,꼭 봐야한다,살면서 꼭 한편만 보라면 단연코 영웅이다다음번 공연때는 아이들과 함께 보러갈거다,2019.12.09
뮤지컬 〈영웅〉 10주년 기념공연,5,처음부터 끝까지 완벽하다,뮤지컬에 스크린?기술을 사용하면서 훨씬 디테일하고 저세한 상황 묘사를 가능케 한 점과 기본적인 노래와 감정들은 관객을 압도하기에 충분하다 커튼콜이후 다같이 주먹을 하늘로 내지르며 부르는 노래는 눈물이 날 수 밖에 없었다,2019.12.04
뮤지컬 〈영웅〉 10주년 기념공연,5,굳,보는내내 마음 한쪽이 아리는 공연.. 너무 좋았어요,2019.11.08
뮤지컬 〈영웅〉 10주년 기념공연,5,너무 좋았어요,너무나 벅찬 마음을 온전히 이입하며 감동을 느꼈습니다!,2019.10.21
뮤지컬 〈영웅〉 10주년 기념공연,5,완벽한 뮤지컬,아직도 울림이 남아 있는 공연입니다. 강추합니다,2019.10.17
뮤지컬 〈영웅〉 10주년 기념공연,5,특별한하루,광복절에 뜻깊게 관람해서인지 너무가슴벅차게봤어요배우님들 멋진공연해주셔서감사합니다,2019.10.15
뮤지컬 〈영웅〉 10주년 기념공연,4,양준모배우님,부모님 또는 어른들과보기 좋은극이었습니다!,2019.10.12
뮤지컬 〈영웅〉 10주년 기념공연,5,두번 봤어요,두번 보는 내내 기저귀 갈아끼느라 정신 없었습니다하기스 추천드려요,2019.10.12
뮤지컬 〈영웅〉 10주년 기념공연,5,국뽕에1번 정중근에 2번 연기에 3번,감동 정중근!!!!국뽕에 취해보고그 뒤론 계속 기다려지는 영웅,2019.10.07
뮤지컬 〈영웅〉 10주년 기념공연,5,감동 그 자체_!!,정성화 배우님 정말 대박이었어요 :)다음에 양준모배우님도 보고싶어요~,2019.10.06
뮤지컬 〈영웅〉 10주년 기념공연,5,영웅,배우들의 열연과 노래의 전률초4아들과 함께 뜻깊은 광복절을 보낸듯~,2019.10.06
뮤지컬 〈영웅〉 10주년 기념공연,3,애국적인 측면을 너무 강조한 것이 좀 아쉬웠어요,더 담백하게 표현했다면 어떨까 생각합니다.,2019.10.04
뮤지컬 〈영웅〉 10주년 기념공연,5,말해 뭐합니까,고등학생때 유튜브로 보고 어른 되면 꼭 맨 앞자리에서 보겠다 마음먹은 후...3월 예술의 전당에서 첫 공연보고 완전 빠져서 8월까지 학교다니며 알바해서 5번 봤네요...,2019.10.02
뮤지컬 〈영웅〉 10주년 기념공연,5,여태껏 본 뮤지컬 중 가장 감동적인 뮤지컬!,왜 더 일찍 보지 않았을까 후회된 뮤지컬.보고 나니 다시 한 번 더 보고 싶어요.,2019.09.26
뮤지컬 〈영웅〉 10주년 기념공연,4,인생의 뮤지컬,정말 재밌었음...,2019.09.26
뮤지컬 〈영웅〉 10주년 기념공연,4,뮤지컬 영웅,가슴 뭉클! 나라면 어떠했을까? 생각하는 시간 가져봅니다.,2019.09.24
뮤지컬 〈영웅〉 10주년 기념공연,5,감동입니다,감동의 뮤지컬 한편을 봤습니다,2019.09.22
뮤지컬 〈영웅〉 10주년 기념공연,5,광복의 의미를 아이들과 함께,요즘과 같은 국가와 국민에 대한 의미가 퇴색되버린 시기에 살고 있는 국민으로서 다시한번 순국선열의 본보기에 국민으로서 어떻게 살아가야하는지와 국가의식을 재고하는 기회를 아이들과 갖게되어 너무나 의미깊은 시간이었다,2019.09.21
뮤지컬 〈영웅〉 10주년 기념공연,5,꿀잼,역시 꿀잼입니다 ㅠㅜㅜ,2019.09.17
뮤지컬 〈영웅〉 10주년 기념공연,5,가슴이 뭉클,훌륭한 독립운동가 뒤에 힘이되어준 주변사람들의 삶을 생각 해볼 수 있게 해준 작품.,2019.09.15
뮤지컬 〈영웅〉 10주년 기념공연,5,왜 예매률 1위인지 알겠는 작품,"내용도 내용이지만, 배우분들의 연기와 세심함에 감동한 작품.주연분들 뿐만 아니라 조연분들도 디테일한 연기를 펼쳐주셨는데, 대단하다는 생각을 했습니다. 자세히 보지 않으면 놓칠 수 있는 손떨림이라던지... 그런 디테일함때문에 더 완성도 있게 느껴졌습니다.",2019.09.11
뮤지컬 〈영웅〉 10주년 기념공연,4,영웅 관람,두 아들들 여름방학을 맞이하여 뮤지컬 관람후 큰아이는 내용을 이해해서 그런지 흥미롭고 감동의 쓰나미였는데 아직 어린 막내아들은 좀 지루했다고 합니당~ 그래도 볼만했다고 하더라구여~^^,2019.09.09
뮤지컬 〈영웅〉 10주년 기념공연,5,감동이 무엇인지 측정불가입니다,몇번 봤는지 셀수도 없지만 어떻게 보고 있는 도중에 다시보고싶어 예매하게 만드는 감동이란특히 정재은 배우님의설희의 첫 넘버  저 설희 기억합니다에서 소름이 쫙안중근의사의  어머니의 나의사랑하는 도마야할때 흐르는 눈물등  정말  잘만들어졌고 연기가 너무 좋다라고 밖에,2019.09.09
뮤지컬 〈영웅〉 10주년 기념공연,5,최고,최고 라는 단어하나로 함축 가능처음 느껴보는 경험이었다.,2019.09.06
뮤지컬 〈영웅〉 10주년 기념공연,5,말이 필요 없는 공연,"출연배우, 넘버, 앙상블의 칼군무, 무대.. 등등 모든것이 완벽 그자체. 특히 조마리아 부인의 대사 부분에선 눈물이 볼을 타고 흐름.. 감동적이었습니다.",2019.09.06
뮤지컬 〈영웅〉 10주년 기념공연,4,의미있는 공연,지금 시기에 보기에 의미있고 더 와닿는 좋은 공연이었어요. 배우들의 열연도 꽤 오래 기억할 것 같아요.,2019.09.05
뮤지컬 〈영웅〉 10주년 기념공연,5,감동의 눈물,두번이나 저도 모르게 눈물이 터지더라구요 ㅠㅠ너무 역사를 잊고 산 것은 아닌지..누가 정말 죄인인지 분통을 터트렸네요인터미션때 바로 태극기 타월샀어요후반부공연 관람자를 위해서 뱃지같은 굿즈 늘려주세요ㅠㅠ또보고싶었는데 뒷일정이 안맞아 못봐서 아쉽네요...우덕순은 이제 밀정이었던거 그것이 알고싶다에중점적으로 나온거 아시죠? 뮤지컬 말미에라도 언급해주시면 좋겠어요미화될까봐 걱정이네요안중근 의사 측근으로서 최소한 그러면 안됌 ㅡㅡ,2019.09.05
뮤지컬 〈영웅〉 10주년 기념공연,5,너무 늦게 봤어요,공연 초반에 봐야지 봐야지 하다가 뒤늦게 막공으로 봤어요이렇게 훌륭한 걸 미리 못본게 후회됩니다. 리사이틀 하면 꼭 다시  보겠어요 ㅎㅎ,2019.09.04
뮤지컬 〈영웅〉 10주년 기념공연,5,광복절 전날 뜻깊은 뮤지컬,국산 창작 뮤지컬이 이렇게 장수하는데 이유가 있는듯 합니다 내용 구성 음악 모두 만족할 수 있는 공연이였습니다,2019.09.04
뮤지컬 〈영웅〉 10주년 기념공연,5,뭉클 감동,가족이 같이 봤어요우리아들 생의 첫 뮤지컬 다같이 감동적이었어요역사공부도 다시한번 되뇌이는 시간을가지게됐어요,2019.09.03
뮤지컬 〈영웅〉 10주년 기념공연,5,다시 만날땐 더 발전된 모습으로!,다시 만날땐 더 발전된 모습으로!,2019.09.03
뮤지컬 〈영웅〉 10주년 기념공연,5,아직도 생생히 기억나는 넘버들!!,"""누가 죄인인가"" ""그 날을 기약하며"" 등 최고의 넘버들  너무 너무 좋았습니다~~",2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,기분 좋은 관람,친구와 연인과 동반 관람 너무 좋았어요아직도 생생히 기억나는 넘버들!! 좋아요~~,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,역시나 좋네요,말해서 뭐할까 싶을만큼 너무 너무 좋은 공연 잘 보고왔습니다~~,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,아이들과의 애국심,아이들과  왜 지금 일본과 사이가 않 좋아서 불매운동을 하는지 쉽게 설명할수있는 시간이었다..,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,우리아이들이 알아야할 이야기,아이들과 한일 문제로 나라가 떠들석한데 왜 그런지를 알려주고 싶던 찰라에  아이에게 너무나 좋은 기회가 마지막날로 생겼다..보고  아이들이 웅장하며  배우들이 목소리가 너무좋았다고 한다..아는 내용이라 조금 따분한 느낌도 있었지만 시간이 어떻게 지나간는지 모를 정도로 금방지나갔다..끝나고 막차타고 가기가 시간이  빠듯해서 힘들었다..조금만 여유가 있었다면 좀더 박수를 치고 왔을것 같다..모두 모두 수고하셨습니다.,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,좋아요,좋아요 ㅠㅠㅠ 양준모 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,좋아요,좋아요 ㅠㅠㅠㅠㅠ,2019.09.02
뮤지컬 〈영웅〉 10주년 기념공연,5,뜻깊은공연,광복절날 뜻깊은 시간이었습니다.,2019.09.01
뮤지컬 〈영웅〉 10주년 기념공연,5,유명한데는 이유가 있다.,누가죄인인가!내용이 내용인지라 심적소모가 컸지만너무 재밌게잘봤어요♥궁녀설희역의 배우님 노래하실때??????또보고싶네요 11주년가자~~~~~~,2019.08.29
