musical_title,rate,review_title,review_text,review_date
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,웅장한 음악과 무대 너무 좋았습니다.,오페라의 유령을 부산에서 볼 수 있다는 생각에 언릉 예매를 했습니다.  웅장한 음악과 다채로운 의상.. 멋진 무대를 실제로 보고 경험할 수 있음에  인상적이고 감동적이었습니다. 다음에도 가족들과 경험해보고 싶습니다.^^,2021.07.13
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,멋진 추억,딸아이와 멋진 공연 잘 보았어요.다음에도 꼭 보고싶어요.^^,2021.03.19
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),4,오페라유령,1여년전 웅장함과 열연에 또한번 감동했던~~,2021.03.04
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,열연에 감동,가격 비싼거 빼고는ㅠㅠㅠ....정말 만족스러운 공연이었습니다!!! 또 보고싶어여,2020.07.28
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),4,"음...,",여주가 누구인지 공지를 왜 안해주는지 모르겠습니다메인여주가 캐스팅된 날짜에 표가 몰릴까봐 그러시는건지..관객들도 선택할 권리가 있는데 그부분이 아쉽네요그리고 예전에 내한때와 비교해도 역시는 역시네요,2020.05.22
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),3,뒤늦게 후기 씁니다.,공연 자체에는 불만이 없었으나 관람객 관리는 진짜 문제였어서 기분이 좋지 못했던 기억이 있어 뒤늦게 씁니다. 1막 내내 말소리 튀어나오고 마치기도 전에 브라보에 박수에-.-..(전 몰랐는데 음주 후 공연관람이었다고 들었습니다. 인터미션 가자마자 나갔다곤 들었네요.) 그 분 아니더라도 지속적으로 중국어로 계속 떠든 커플까지.. 1막은 도저히 집중을 못했습니다. (그 커플은 자기네들 아니라고 큰 소리 뻥뻥 치더니 2막 땐 이상하리만큼 중국어가 안 들렸으면 제 착각일까요^^...) 어셔분들 바쁘신 건 알지만 신경 좀 써주세요. 이런 서비스 받으려고 VIP예매한 거 아닙니다.,2020.05.13
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,멋진 공연,부산에 처음본 뮤지컬 ~ 생각보다는 시설이 깨끗해서 좋았습니다. 배우들 연기 노래 모두 좋았어요,2020.05.12
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,멋진 무대연출과 음악,"무엇보다 무대연출에 놀랐고, 배우들의 노래, 연기가 너무나 훌륭했습니다. 재밌게 잘 봤습니다.",2020.04.08
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,진짜 최고입니다,말이 필요없는 오페라의 유령!!!크리스틴 진짜 노래 잘하고 반했어요,2020.03.19
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,행복한시간 감사드립니다,오랜만에 중고딩 아이와함께가족들모두 함께 관람하게되어 정말 좋았습니다,2020.03.05
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,가족과 관람,중학생아이와 고등학생아이와함께가족이 관람하였습니다 행복한시간 감사했습니다,2020.03.05
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,정말 멋진공연!!,누군가 인생 뮤지컬로 오페라유령과 레베카를 꼽았다. 당시에는 얼마나 감동적이기에 그렇게 극찬을 하는 것인가 의아했었다. 지금 오페라유령을 관람하고 난 후 나는 인생뮤지컬로 오페라유령을 꼽는 또 다른 누군가가 될 예정이다.,2020.03.03
뮤지컬 〈오페라의 유령〉 월드투어 - 부산(The Phantom of the Opera),5,최고!,드림씨어터 처음가봤는데 시설도 깔끔하고오패라의유령 배경으로 이곳저곳 꾸며져있어서 좋았어요공연은 말할것도없이 완벽했구요!!,2020.03.03
