musical_title,rate,review_title,review_text,review_date
뮤지컬 킹아더（Musical King Arthur）,5,너무 좋아요,넘버가 정말 중독성있고 너무 좋아요!,2020.07.31
뮤지컬 킹아더（Musical King Arthur）,5,2019는 킹아더죠,10번 이상 봐도 또 보고 싶은 뮤지컬 킹아더!!! 이렇게 끝나다니ㅠㅠ 너무너무 슬퍼ㅠㅠ,2019.08.02
뮤지컬 킹아더（Musical King Arthur）,5,킹이더의 매력을 말 표현을 못해서 미치겠다!!!!,킹이더의 매력을 말 표현을 못해서 미치겠다,2019.08.02
뮤지컬 킹아더（Musical King Arthur）,5,2019 최고의 뮤지컬 - 킹아더,뭘 할 말이 더 잇나요? 매일 매일 킹아더의 매력속에 빠져 있어요.,2019.08.02
뮤지컬 킹아더（Musical King Arthur）,5,언제.또할까요..?,또보고싶어요ㅠㅠ,2019.07.23
뮤지컬 킹아더（Musical King Arthur）,5,최고,꼭 재연 왔으면 좋겠어요ㅠㅠㅠ 재밌었습니당,2019.07.09
뮤지컬 킹아더（Musical King Arthur）,5,재밌어요!,재밌었어요~~~~~~~~ 추천추천!,2019.07.09
뮤지컬 킹아더（Musical King Arthur）,4,꿀잼,아직도 넘버가 맴돌아요ㅠㅠㅠㅠㅠㅠ너무너무 재밌었습니당,2019.07.09
뮤지컬 킹아더（Musical King Arthur）,5,킹아더 보고싶네요ㅠㅠ,아 보고싶다ㅏㅏㅏㅏㅏ브리튼클럽에서 춤추고싶다ㅏㅏㅏㅏ,2019.07.08
뮤지컬 킹아더（Musical King Arthur）,5,재연 기다릴게요 ㅠㅠㅠ,꼭 돌아와주세요.. 오슷이나 딥디라도....ㅠㅠㅠ,2019.07.03
뮤지컬 킹아더（Musical King Arthur）,5,재공을 끝나자 마자 기다림,넘버 너무나 중독성이고 배우님들 꼭 다시 공연 해주세요장승조 이충주 임정희 리사배우님 조합 보고 싶어요다른 배우님들도 모두모두  궁금 해요. 재공  기대됩니다.,2019.06.30
뮤지컬 킹아더（Musical King Arthur）,5,재공을 끝나자 마자 기다림,넘버 너무나 중독성이고 배우님들 꼭 다시 공연 해주세요장승조 이충주 임정희 리사배우님 조합 보고 싶어요다른 배우님들도 모두모두  궁금 해요. 재공  기대됩니다.,2019.06.30
뮤지컬 킹아더（Musical King Arthur）,4,꼭 다시 돌아와주세요 킹아더!!,막공의 감흥이 강렬했고꼭 다시 보고픈 작품예요~♥,2019.06.23
뮤지컬 킹아더（Musical King Arthur）,5,좋은 공연이였어요~,처음에는 읭??스러운 부분들이 있었지만 넘버들도 너무 좋고 자꾸 귓가에 맴도는 중독성이 있어요~~,2019.06.21
뮤지컬 킹아더（Musical King Arthur）,5,빨리 재연 오면 좋겠어요.,넘 좋았던 킹아더!!!!,2019.06.20
뮤지컬 킹아더（Musical King Arthur）,4,새로운 느낌의 뮤지컬,마치 아이돌 무대를 보는 듯 새로운 느낌의 뮤지컬이었어요. 적응에 시간이 조금 걸렸는데 나쁘진 않았습니다.,2019.06.19
뮤지컬 킹아더（Musical King Arthur）,4,뮤지컬 재밌어요,"한지상, 고훈정꺼 2번 봤어요.1층보다는 2층을 추천합니다.",2019.06.18
뮤지컬 킹아더（Musical King Arthur）,4,안녕,마지막까지 열연해준 배우들에게 박수를.,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,4,n차 공연,넘버의 중동성 때문에 n차 공연을 시작한 뮤지컬나름 좋아하는 배우들의 구성으로 다음번 찾아올 킹아더를 기다려본다.2년 기다리면 돼나요? 빨리 돌아오세요.킹아더,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,재연을 기다립니다!,이 배우들 그대로 재연에서 꼭 봐요!!ㅠㅠ,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,막공 ㅠㅠ,깅아뎌 다시 돌아와 ㅠㅠㅠㅠㅜ,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,잘봤습니다,잘봤습니다,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,막공..,재연 꼭 돌아오리라 믿어요.넘버 맛집 킹아더,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,감동적인 무대!!!,배우분들이 만들어낸 무대가 굉장히 감동적이고 슬펐어요!! 정말 최고의 공연이었습니다!!!,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,첫공 보고 한참을 머릿속에서 떠나지 않는 넘버들,넘버와 배우들 연기까지 너무 좋았던.,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,4,재연 기다려요 ㅠㅠ,킹아더 너무 재미있게 봤어요!!!,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,감동적인 무대!!!,배우분들이 만들어낸 무대가 굉장히 감동적이고 멋졌어요!! 정말 최고의 공연이었습니다!!,2019.06.17
뮤지컬 킹아더（Musical King Arthur）,5,재연 웨이껍!!!!!,분명 한 번만 보려고 했는데... 신나는 뮤뱅! 성대맛집!  얼른 또 와라 ㅠㅠ 비베레로이 아더!!!,2019.06.16
뮤지컬 킹아더（Musical King Arthur）,5,중독성에서 벗어나지 못합니다,오에스티 주세여!!!아니면 디비디 주세요!!제일 좋은 건 재연을 빨리 주세요!!!,2019.06.16
