musical_title,rate,review_title,review_text,review_date
뮤지컬 〈팬텀〉,4,아름답지만 좀 아쉬운,오페라의 유령과 같은 모티브로 조금 다르게 제작된 팬텀훨씬 아름다운 선율과 장면이 있었지만흡사 한국드라마같은 느낌이,2020.03.01
뮤지컬 〈팬텀〉,5,돌아와요,너무 보고싶으니까ㅠㅜㅠㅠㅠㅠㅠㅠㅠㅠ딷흐흑,2020.02.19
뮤지컬 〈팬텀〉,5,너무 재미있었어요,너무너무 감동쓰  좋은 연말 보낸것습니당,2019.12.18
뮤지컬 〈팬텀〉,4,할인받아 볼 수 잇어 좋앗어요,후기가 늦엇지만팬텀을 미리 본 덕분에 오페라의 유령 내한을 더 재밌게 볼 수 있을 것 같습니다!!역시 명작은 명작인것 같아요,2019.11.20
뮤지컬 〈팬텀〉,5,임태경 팬텀 너무멋졌어요,임태경님 노래를 너무 잘하셔서 저희가 극찬하며 봤어요. 다시 보고싶네요.,2019.08.29
뮤지컬 〈팬텀〉,5,정성화 배우님,정성화 팬텀짱이에요!!,2019.04.16
뮤지컬 〈팬텀〉,4,잘보고 왔어용,카이 배우는 항상 최고에요ㅠㅠ 말이 필요없어요 다만 넘버들이 임팩트가 크지 않아 조금 아쉬웠네요ㅠㅠ,2019.04.13
뮤지컬 〈팬텀〉,4,팬텀 본 후,이제껏 뮤지컬 중에서 제일 기억에 남습니다~본지 한달 후 까지도 여운이 있어서 부분 영상을 챙겨 볼정도 입니다. 최고의 뮤지컬입니다!,2019.04.13
뮤지컬 〈팬텀〉,5,재밌었어요!!,졔크리 목소리 넘나 아름다운것... 또 보고싶네용,2019.04.10
뮤지컬 〈팬텀〉,5,왜 지금5..,진짜 어무 재밌었어요ㅠㅠ 눈물줄ㄹㄹ레이걸 계기로 뮤지컬 입덕입니다,2019.04.07
뮤지컬 〈팬텀〉,5,역시 정성화님,어느 배역이나 정성화님은 진리임 ㅜㅜ 너무 멋있고 특히 무대연출이 기가막혔어요 짱,2019.04.04
뮤지컬 〈팬텀〉,5,정성화 김순영,국내 뮤지컬은 처음이였는데 너무 좋았습니다.막공을 봐서 너무 아쉬워요 얼른 다음 공연일정 발표해주세요,2019.04.02
뮤지컬 〈팬텀〉,5,최고...,너무 좋은 시간요...,2019.03.30
뮤지컬 〈팬텀〉,5,재밌었어요.,넘버들도 가창력 뿜뿜이고 떨어지는 샹들리에 연출도 좋았어요,2019.03.27
뮤지컬 〈팬텀〉,5,아름다운 공연,아름다운 공연,2019.03.27
뮤지컬 〈팬텀〉,5,역시 믿고 보는 배우!,노래도 너무좋고 배우님들 연기도 너무좋았답니다!,2019.03.25
뮤지컬 〈팬텀〉,5,카이 팬텀님 최고였어요 망또신은 역시 키가 커야 멋져요.,팬텀은 역시 카이님너무 멋졌습니다. 이지혜 배우님과 케미도 좋았고요.저번 공연때 못 본 막공 올해 봐서 너무 좋았어요.,2019.03.24
뮤지컬 〈팬텀〉,5,끝나서 너무 아쉬운 팬텀,"지방공연도 많이 했었으면 좋았을껄 떠나보내기 너무 아쉬웠어요, 얼른 다시 만났으면",2019.03.19
뮤지컬 〈팬텀〉,5,정말 최고,이지혜 배우는 사랑입니다,2019.03.18
뮤지컬 〈팬텀〉,5,최고의 공연,역시 기대이상입니다~~,2019.03.17
뮤지컬 〈팬텀〉,5,또보고싶다,앞에서 생생하게 보아서 좋았던...뒤에서 한번더 전체적으로 보고 싶다는 생각이 들었다,2019.03.17
뮤지컬 〈팬텀〉,3,오유느낌을 생각하고 가면 경기도 오산입니다.,제가 그랬거든요. 그래서 전 1막만 보고 2막은 안봤네요.  오유나 LND에 비하면 상당히 연출방식이 다르고 좀 라이트한 느낌이 강했습니다. 한편으로는 새로운 방식으로 접근할 수 있어서 아마 팬텀의 매력을 느끼신 분들도 꽤 계실텐데요. 저는 기존의 오유느낌으로 생각하고가서 그냥 그랬어요ㅜ  그래도 편견을 깨고 가시면 잘 관람하고 오실 수 있을 만한 뮤지컬이었습니다.,2019.03.15
뮤지컬 〈팬텀〉,5,팬텀,또 보고 싶네요. 눈과 귀가 행복했던 뮤지컬,2019.03.14
뮤지컬 〈팬텀〉,4,색다른 팬텀,색다른 팬텀을 기대하시는 분에게 추천,2019.03.13
뮤지컬 〈팬텀〉,4,존멋탱~,팬텀이 여기저기 나타났다사라짐~ 찾는재미도 쏠쏠~,2019.03.09
뮤지컬 〈팬텀〉,4,눈귀호강,화려한 색감과 음악이 좋았어요~,2019.03.09
뮤지컬 〈팬텀〉,5,팬텀의 마음이 느껴져 마음이 더아픈,제가 처음뮤지컬 이란걸 본게 팬텀이었어요처음엔   그저 신기한 장면들이 내눈앞에 펼쳐져정신없이 본기억만  있어요   몇번을 보고나니  팬텀은참마음이 아프게 만드는  그런이야기  에릭의이야기에마음이 너무아파서 눈물펑펑 쏟아져서 힘들었지만요멋진 장면들   아리아가  너무나 멋진   또보고픈 그런이야기  카이님을 다시  뵈어서  좋았어요,2019.03.08
뮤지컬 〈팬텀〉,5,최고의공연,카이의 발성 최고 입니다. 다른 배우 편도 보고싶습니다~~~,2019.03.07
뮤지컬 〈팬텀〉,5,순크리 최고였어요:-),여긴 음악이 있는 곳~ 내고향??,2019.03.07
뮤지컬 〈팬텀〉,4,도레미파솔~~~,내가 쏜다!! 하면서 제가 보고 싶어서 친구 끌고 간 뮤지컬 이었는데 나올때 친구가 너무 좋아하면서 고맙다하더라구요 ㅇㅅㅇ 짜식 좋은건 아는군 (코쓱)생각나는 코드가 도레미파솔 밖에 없는데 제가 기억력이 안 좋은건지 모르겠지만 노래들이 머리에 박히는 중독성이나 흡입력이 있지는 않아요. 그래도 괜찮아요 배우님들 목소리랑 발성들이 워낙 진공청소기라 그 순간에는 너무너무 좋아요! 내용은 오페라의 유령이랑 연관되지 않았어요..전 그런줄 모르고 뮤지컬 보다가 혼자 충격 받아서 한분이라도 더 어벙벙이가 되지 않도록 알려드립니다 하하.,2019.03.06
