musical_title,rate,review_title,review_text,review_date
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,5,관람 후기,영화 보다 생동감 있고 배우들의 열정 넘치는 공연 아주 굿,2019.06.08
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,3,유쾌한공연,잘 봤습니다. 앞열에 앉아서 남들보다 더 몰입하고 볼 수 있지 않았나 싶습니다. 가벼운 마음으로 즐기면서 보기 좋았던 공연,2019.05.08
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,4,옛날생각 나는 뮤지컬,젊은시절 영화로 재밌게 봤던 플래시댄스를 뮤지컬로 보니 생동감이 느껴지고 귀에 익은 히트곡들로 오랜만에 추억에 잠길수 있는 시간이어서 좋았습니다~,2019.04.25
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,5,좋은 작품이네요,익숙한 음악과 배우들의 열정적인 연기 덕분에 좋은 추억이 되었네요. 적극 추천합니다,2019.04.14
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,3,감사합니다,생각보다는조금 실망이지만재미있게봤습니다,2019.03.27
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,4,옛 생각나는,추억의 좋은 공연이었어요,2019.03.26
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,5,좋은공연,내한공연 처음관람했는데최신뮤지컬과 다른 매력으로 좋았어요,2019.03.25
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,3,80년대의.향수여,기대없이 보면 좋습니다.80년대의. 그때 그시절이 그리우신분들~^^ 신나게 춤추실수 있어여!,2019.03.21
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,5,너무 좋았어요~~,알렉스 오웬스역의 샬롯 굿지 배우를 처음 봤는데 엄청나더라고요~ 또 보고 싶어요~~,2019.03.21
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,3,1인극 본듯..,주인공 혼자 열일한 뮤지컬.세종 홀과 극 스케일이 너무 안맞아서 무대가 너무 휑했어요.영국 뮤지컬 실망입니다.,2019.03.19
뮤지컬 플래시댄스-영국 웨스트엔드 오리지널 내한,4,신나요,늦게끝나도록 시간 가는 줄 모르고 신나게 봤습니다~~,2019.03.15
