musical_title,rate,review_title,review_text,review_date
뮤지컬 〈해적〉,5,재미있어요,추천하는 뮤지컬!! 펑펑 울고 왔네요,2019.07.14
뮤지컬 〈해적〉,5,"마지막 항해란 건 없어, 바다가 있는 한.",이라고 했으면서!!!! 왜 없어ㅠ,2019.07.10
뮤지컬 〈해적〉,5,다시돌아와앙,너무늦은 공연후기네요요새 노래가 계속 샹각나요씨디구매했지만 뮤지컬극장으로 다시보고싶어요오,2019.07.03
뮤지컬 〈해적〉,5,초연이라 늦게 봤는데 그래서 꼭 재연와여해여..,재연오면 진짜 더 많이 볼 것 같은데ㅠㅠ진짜 재미잇고 마음 따뜻해 지는 극....ㅠㅠ근데 해적이 주인공이라서 마음따뜻해도 되나 싶기도 하지만극이 전하고자 하는 메세지가 맘에 들어요!,2019.06.16
뮤지컬 〈해적〉,5,최고예요,재밌어요!!!!!! 소품도 아기자기 예뻐요,2019.06.14
뮤지컬 〈해적〉,4,티켓싸니까 믿으니까 인터파크니까 INTERPARK 검색검색폼 검색Play DB  영화  전체메뉴보기 뮤지컬 콘서트 ,"티켓싸니까 믿으니까 인터파크니까 INTERPARK 검색검색폼 검색Play DB  영화  전체메뉴보기 뮤지컬 콘서트 연극 클래식/무용 스포츠 레저 전시/행사 아동/가족 TOPING 랭킹 지역 공연장    	커뮤니티공연관람후기   상품명	 IZ*ONE 1ST CONCERT ［EYES ON ME］ IN SEOUL  관람일시	 2019.06.09 17:00    응모 가능  제  목	 별  점	  별점별점별점별점별점 강력 추천    별점별점별점별점 추천    별점별점별점 보통    별점별점 아쉬움    별점실망 내  용	  꼭 읽어주세요운영규정 자세히보기 게시판 운영 규정에 어긋난다고 판단되는 게시글은 사전 통보없이 블라인드 처리될 수 있습니다. 특히 티켓 매매 및 양도의 글은 발견 즉시 임의 삭제되며 전화번호, 이메일 등의 개인정보는 악용될 우려가 있으므로 게시를 삼가 주시기 바랍니다. 사전 경고에도 불구하고 불량 게시물을 계속적으로 게재한 게시자의 경우 인터파크 티켓 게시판 작성 권한이 제한됩니다.",2019.06.13
뮤지컬 〈해적〉,5,최고,최고예요,2019.06.10
뮤지컬 〈해적〉,5,그리워요..,보고싶어요 너무 좋았었어ㅜㅡㄴ,2019.06.04
뮤지컬 〈해적〉,4,오 재밌습니다.,와 어쩌다가 보러갔는데 진짜 너무 재미있었어요. 맨날 흑막 죽고 난리나고 이런 공연만 보다가  오랜만에 마음 따뜻해지는 공연을 봤습니다. 존잼 짱잼 또 올려주세요,2019.06.03
뮤지컬 〈해적〉,5,좋아요,좋았습니다,2019.06.03
뮤지컬 〈해적〉,5,꼭 재연에서 돌아와주세요ㅠㅠ,"김순택 배우님, 노윤 배우님 꼭 재연에서 돌아오시길 기다릴게요ㅠㅠㅠㅠㅠㅠㅠㅠ 해적 넘 좋아ㅠㅠ",2019.06.03
뮤지컬 〈해적〉,3,앤메리사랑,유익한 시간이였습니다.,2019.06.03
뮤지컬 〈해적〉,5,으엉,으엉어엉ㅇ엉돌아와ㅏ어ㅓ엉ㅇ,2019.06.03
뮤지컬 〈해적〉,5,정말 재밌어여ㅛㅠ ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,다시 어서 돌아오세요ㅠㅠㅠ,2019.06.03
뮤지컬 〈해적〉,4,해적,잘봤습니다,2019.06.03
뮤지컬 〈해적〉,5,나의 소중한 해적들에게,"2019년의 첫 계절은 해적들과 함께 기억될 것 같아요 다시 만날 때까지, 굿바이 마이 캡틴..!!",2019.06.02
뮤지컬 〈해적〉,5,해적의 황금시대 이야기,해적의~~~황금시대 이야기~~~~~ 항해일지를 쓰는 거야~~ 어떻게 쓰는 거지~~~~,2019.05.31
뮤지컬 〈해적〉,4,핵꿀잼,"여배우들의 연기가 정말 좋았어요!! 앞으로도 이런 성별에 갇혀있지 않은 작품, 회차가 많아지면 좋겠어요.",2019.05.31
뮤지컬 〈해적〉,4,최고ㅜㅜㅜㅜㅜ,별을 쏘았어 내 마음이 아 뭐였더라 하여간 부서졌다고 어 알아 부셔져 산산조각났다고 어 나는 넝마가 됐고,2019.05.30
뮤지컬 〈해적〉,5,해적 재연에만나요,잘가요 내 최애페어굿바이 마이해적,2019.05.30
뮤지컬 〈해적〉,5,조아용ㅇ,재연 빨리 와주세여ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,2019.05.30
