musical_title,rate,review_title,review_text,review_date
뮤지컬 〈개와 고양이의 시간〉,5,너무 재밌어요,또 보고 싶어요,2021.08.30
뮤지컬 〈개와 고양이의 시간〉,5,신선한연출과 배우들의 멋진연기,"개와 고양이라는 사람이 아닌 대상을 연기하는게 쉽지않다고 생극했는데, 고양이와 개의 시점을 보여주는 신박한 연출과 배우들의 연기로 감명깊은 극이었습니다. 다음에 다시 볼 기회가생기면 또 보고싶어요",2020.10.12
뮤지컬 〈개와 고양이의 시간〉,5,좋아요좋아요,좋아요좋아요좋아요좋아요좋아요좋아요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,따뜻하고,감동적이었어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,좋은 작품,잘봤어요,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,ㅠㅠㅜ아이들은죄가없다,랩터야..루토야..,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,막공,유리아 랩터와 강지혜 플루토의 막공이었는데 마지막까자 완벽한 공연이었습니다!! 넘 행복했어요^^,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,개와 고양이의 시간,"유리아 배우님, 강지혜 배우님 막공, 세미막 이었네요... 유리아 배우님 처음 등장 하는 부분부터... 아 오늘 레전이다 직감했습니다...아니...검개검고부터 울리시기 있나요... 강지혜 배우님 씩씩한 똥고양이 진짜 너무너무 사랑했어요... 개와 고양이의 시간이 막을 내린 이후에 쓰는 후기라.. 너무너무 보고싶네요.. 떠나보낸지 얼마 되지도 않았는데 우리 랩터랑 플루토 너무 보고싶어요ㅠㅠ 제작사님...동그랗고..반짝이고..가운데 구멍뚫린거...주실거조.....",2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,좋았습니다,끝나서 너무 아쉬워요ㅠㅠ ost 기다립니다ㅠㅠㅠ,2020.10.05
뮤지컬 〈개와 고양이의 시간〉,5,올해 최고의 창작극,빠른 시일 내에 재연 돌아오길 기다리겠습니다.,2020.10.04
뮤지컬 〈개와 고양이의 시간〉,5,최고,제 인생 뮤지컬입니다,2020.10.02
뮤지컬 〈개와 고양이의 시간〉,5,그리운 댕냥시,빠른 재연 ㅠㅠ 앵콜이라도 오길 간절히 바랍니다,2020.10.01
뮤지컬 〈개와 고양이의 시간〉,5,최고였어요ㅠㅠ,런랩터 튜루토... 잊지못해 재연에도 와주기ㅠㅠㅠㅠ,2020.10.01
