musical_title,rate,review_title,review_text,review_date
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,재미있었어요!!,ㅎㅎ배우들 보는 재미도 있었고 이틀동안 너무 재밌게봤어요~~~~다시 만날 수 없는 배우들이지만 그동안 열심히 준비했던게 보여서 넘 좋았음,2021.03.01
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,오프라인으로 봤으면 더 좋았을듯,꼭 다시 만나고 싶은 뮤지컬!! 온라인으로 만나서 너무 아쉬웠고ㅠㅠ 그래도 온라인이라도 해서 너무 좋았고 그래요 아직도 그립네요 귀환,2021.03.01
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,이렇게라도 볼수있어서 다행이었어요,이떄 해외에 있어서 어차피 오프라인은 못갔었을땐데 이렇게라도 볼수있어서 다행이었어요,2021.02.22
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,감동적인 공연,감동적이고 재미있었습니다.배우분들 열연으로 즐겁게 관람했습니다.공연장에서도 보고 싶은 작품이네요.,2021.01.10
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,감동적인 무대,잊고 있었던 슬픈 역사를 다시 일깨워주는 무대였습니다. 아직 만나지 못한 기다림들이 너무 늦기전에 만나지길 바래봅다 승호 해일 진구 해성 역할 모두 극에 몰입하기에 좋은 연기였습니다,2020.12.16
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,후기,아쉽게 온라인공연이었지만 정말 재미있었어요!,2020.11.11
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,극장에서 꼭 보고 싶은 공연,"아쉽게 온라인으로 관람했지만, 생생한 표정과 디테일한 연기를 볼 수 있어 좋았습니다.",2020.11.09
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,울 경수 봐서 행복했어요,코로나 깨문에 우울했는데 그래도 울 경수 얼굴보니까 너무 힐링 됬어요 방송도 별로 안끊기고 좋았어요!!,2020.11.07
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,가슴이 먹먹해지는 극,현민의 세계와 승호의 세계가 따로 또 같이,2020.11.06
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,가슴 먹먹,"새로운 지식을 알아가는 기쁨과 시대에 대한 고민, 생존의 위협이 공존하는 때에 일어난 비극에 대해 다시 생각할 수 있었습니다.",2020.10.30
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,몇번이나 봤지만 볼때마다 여전히 감동♡,딱히 선호하지 않는 스토리인데도 배우님들 연기가 좋아서 또 보게되었어요. 오프라인 공연이 취소되어 너무 아쉬웠는데 이렇게 온라인 공연 기획해 주신 것도 감사합니다! 현재와 과거의 괴리감을 난리는 배우님즐의 호연이 너무 좋았습니다.,2020.10.27
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,최고의 공연!,온라인으로 생중곌로 좋은 화질로 관람할 수 있어서 좋았습니다.  다양한 카메라 구도로 보니까 더 좋았던 것 같아요. 직관했으면 더 감동이 크게 다가왔을 것 같은데 아쉽네요 ㅠㅠ,2020.10.26
뮤지컬 〈귀환〉 온라인 생중계 - 온라인 관람권,5,최고!,최고였습니다!,2020.10.25
