musical_title,rate,review_title,review_text,review_date
뮤지컬 〈그날들〉,5,여운이 남네요,여러번 봤지만 또 보고싶어요,2021.06.25
뮤지컬 〈그날들〉,5,좋은 시간이었습니다,아주 좋았어요,2021.06.14
뮤지컬 〈그날들〉,5,내생에첫공연~,무겁거나..너무어려운뮤지컬이아닌..내가처음으로입문하기좋은그날들..역시..최고였다배우들도좋았고.노래도알던것들로꾸며진것이라금방공감하며뮤지컬에빠져들수있었다유준상배우님도좋아고..효은그녀의목소리는넘예뻐청아해~우리린무영인성이..첫도전에..부담감에도점점발전하는모습..점점호흡맞혀가는모습너무좋았고..슬펐어..나눈물났어.,2021.06.12
뮤지컬 〈그날들〉,5,양무영 수고했어,또 보고 싶다 무영아 잘 지내고 있는 거지.... 요섭아 이번에도 너무 잘 했어 수고했다!,2021.06.09
뮤지컬 〈그날들〉,5,유정학-인성무영 페어 너무 좋았어요!,중간중간 애드립부터 커튼콜까지 너무 즐거웠습니다!,2021.06.07
뮤지컬 〈그날들〉,5,그날들 뮤지컬 최고였어요,그날들  뮤지컬 넘버와 연기 배우님들  애드립 너무 좋았어요  커튼콜때  정말 너무  행복하고 좋았어요,2021.05.09
뮤지컬 〈그날들〉,5,너무너무 좋았어요,그날들 다음에 또 하면 또 보러갈거에요여운이 크게 남는 뮤지컬이였습니다,2021.04.09
뮤지컬 〈그날들〉,5,2021년 첫 공연,유준상님 보고 싶어서 예매했거든요. 2019년에 그날들 보고 나서 2021년에 보니 감회가 새롭더라고요. 재밌게 본 공연이었습니다. 2년만에 봐도 유준상님은 여전히 노래며 연기며 다 잘하시더라고요. 캐릭터에 완전히 녹아든 것 같은 연기가 늘 좋았습니다.,2021.04.02
뮤지컬 〈그날들〉,5,감동입니다,정성화님 공연 두번째 관람이에요 좋은 자리에서 보고 싶네요,2021.03.25
뮤지컬 〈그날들〉,5,정성화 감동이네요,정성화님 이렇게 노래 잘하시는지 몰랐어요 감동이에요,2021.03.25
뮤지컬 〈그날들〉,5,너무 좋았어요,덕분에 뮤지컬의 재미를 알아가는 것 같습니다원래 뮤지컬을 안 봤었는데 이번 기회를 통해 뮤지컬의 재미와 감동을 알 수 있었던 것 같습니다!,2021.03.23
뮤지컬 〈그날들〉,5,기억에남아요 ㅎ,또 보고싶어요 계속 생각나네요,2021.03.22
뮤지컬 〈그날들〉,4,너무 깊이 생각하지마,김광석님의 노래들로 채워진 <그날들>  정학과 무영이 다시 마주하며 부르는 ''너무 깊이 생각하지마''  무영이 정학과 그녀를 지켜보는 장면과 ''흐린가을하늘에 편지를 써''  마지막 30분 클라이막스로도 이 작품의 감동을 말할 수 있을 것 같아요  마음 깊이 묻어둔 말을 꺼내는 정학에게 무영이 너무 깊게 생각하지 말라며 이야기를 건네는 장면때문에  이 작품의 감동이 쉽게 잊혀지지 않아요..,2021.03.22
뮤지컬 〈그날들〉,5,뮤지컬 〈그날들〉,정말 좋은 공연이었어요! 추천합니다♥,2021.03.22
뮤지컬 〈그날들〉,4,모두 최고 였던 공연,다시 돌아왔을때 더 많이 보고싶은 벌써 그리운 공연,2021.03.22
뮤지컬 〈그날들〉,5,정성화 배우님 정말 짱이에요!!!,창착 뮤지컬이라 다소 생소했지만  정말 너무너무 멋있는 무대였습니다.  예전부터 좋아했지만 더 좋아졌어요 정성화형님!!!!!!!!ㅎㅎㅎㅎㅎㅎ  최고에요 최고 ㅠㅠ 살뺀 모습이 좀 낯설지만...ㅋㅋ  앞으로 더 좋은 작품 많이 해주세요,2021.03.19
뮤지컬 〈그날들〉,5,밍정학 온무영 루나그녀,온무영 루나그녀 음색 넘 예뻐서 같이 부르는 넘버 잘 어울렸어요 커튼콜까지 완벽했네요,2021.03.15
뮤지컬 〈그날들〉,5,유온짱,유온짱 10주년에도 다시 보고싶어요,2021.03.15
뮤지컬 〈그날들〉,5,좋았습니다,내년 10주년 공연도 기대합니다~,2021.03.15
뮤지컬 〈그날들〉,5,그날들 다시 돌아와요..!,워낙 유명한 작품이라 보고 싶었는데 민우혁배우님 막공 때 보게 되었어요! 사실 유준상배우님 회차를 보고싶었으나 시간이 없어서...민우혁배우님 회차를 봤는데 와...공연 내내 민우혁배우님 밖에 안보였어요.... 마침 커튼콜데이라 커튼콜 촬영 가능했는데 너무 씐나고!!! 재밌었어요!! 다음에 그날들 돌아오면 또...보고싶어요ㅠㅠㅠㅠ 다른 배우님들도 궁금!!,2021.03.15
뮤지컬 〈그날들〉,5,좋았어요,그동안 잘 봤습니다,2021.03.15
뮤지컬 〈그날들〉,4,최고의 밤,정성화 배우님 보러갔다가 조형균 배우님을 발견했네요 둘의 케미 최고 ㅠㅠ 그녀는 아쉬웠어요..,2021.03.15
뮤지컬 〈그날들〉,5,그날들,김광석 노래를 좋아하는 사람이라면 한 번쯤 보면 좋을 극,2021.03.15
뮤지컬 〈그날들〉,4,그날들,스토리적으로는 조금 아쉬운 부분이 있긴 했지만 오랫동안 사랑받는 이유가 있는 것 같아요 10주년도 기다려집니다,2021.03.15
뮤지컬 〈그날들〉,5,너무 짧아요,더 길게 보고싶어요 연장해주세요ㅠ,2021.03.15
뮤지컬 〈그날들〉,5,다시 오세요,배우님들의 열연  너무 감사합니다,2021.03.15
뮤지컬 〈그날들〉,5,오랜만에 봐도 좋은 극,김광석의 명곡들을 극 속에 자연스럽게 녹여낸 것이 참 좋다,2021.03.15
뮤지컬 〈그날들〉,5,막공봐서 좋았습니다.,공연 너무 좋았습니다.,2021.03.14
뮤지컬 〈그날들〉,4,한 번쯤 보기엔 좋은!,"노래의 흐름이 지루하지도, ㅅㅣ놉시스도 좋고요 특히 넘버들이 다 익숙하고 그래서 좋습니다!",2021.03.13
뮤지컬 〈그날들〉,5,막공까지 볼 수 있어 행복했어요,"혹여나 다시 공연이 중단되면 어쩌나 걱정 했었는데 무사히 막공까지 끝마칠 수 있어 행복했어요. 그날들은 한번보고, 두번보면서 곱씹어 볼수록 생각할 거리가 많은 작품이었어서 더 기억에 남아요. 배우분들도 너무 잘해주셨구요. 마지막 무대인사할때에 우시던 루나배우님이 아직도 기억에 남아있는데... 감정표현이 풍부한 그녀라 조금 색다르면서도 좋았어요. 뮤지컬배우 박선영으로도 앞으로 기대할게요. 이건명, 정성화, 유준상, 민우혁, 양요섭, 온주완, 조형균, 김인성, 루나, 방민아, 효은. 하나 수지 사서와 앙상블분들까지 좋은 공연 만들어주셔서 감사합니다 :)",2021.03.13
뮤지컬 〈그날들〉,5,진짜 최고,내년에 10주년 공연할 때 또 갈게여,2021.03.12
뮤지컬 〈그날들〉,5,기냥 최고죠,재밌읍니다 10주년을 기다리며,2021.03.12
뮤지컬 〈그날들〉,5,막공의 묘미..그리고 감동,"코로나로 인해 1년이상 공연을 못보다가, 막공 기간이라 서둘러 예매하고 보러 갔는데,  정말 감동이었습니다.  배우분들 역량이 워낙 뛰어난데다, 김광석 노래가 내내 흘러나오니, 감동이 아닐수없지요~  특히, 루나 목소리가 청량하고 너무 좋았네요~  뮤지컬 끝나고 신당동 떡볶이까지 오랫만에 맛볼 수 있어서 정말 행복했어요~",2021.03.12
뮤지컬 〈그날들〉,5,그날들,"막공 진짜 최고였어요,,, 린무영 못보내ㅠㅠ",2021.03.12
뮤지컬 〈그날들〉,5,"린무영 못보내,,","막공 진짜 최고였어요,,, 린무영 못보내ㅠㅠ",2021.03.12
뮤지컬 〈그날들〉,5,너무 좋아하는 조합,너무 좋아하는 조합이라 보면서 내내 행복했어요,2021.03.12
뮤지컬 〈그날들〉,5,막공,"막공 진짜 최고였어요,,, 린무영 못보내ㅠㅠ",2021.03.12
뮤지컬 〈그날들〉,5,첫공부터 막공까지 함께해서 행복했어요,"김인성, 그동안 고생했어 ♡ 첫공때 나도 같이 떨었던거 생각하면... 우리 성이는 얼마나 긴장했을까 싶은데... 기대 이상으로 잘해서 내가 다 기뻤다.사이사이에도 성장도 하고, 애드립도 자연스러워진게 눈에 보여서 너무 자랑스러웠는데...막공때 성량이 너무 좋아졌더라...내년에 그날들 10주년이라는데....우리 애기가 같이 했으면 좋을텐데...약 4개월동안 행복한 시간 만들어줘서 고마워!!!그날들 최고!!!",2021.03.11
뮤지컬 〈그날들〉,5,첫공부터 막공까지 함께해서 행복했어요,"김인성, 그동안 고생했어 ♡ 첫공때 나도 같이 떨었던거 생각하면... 우리 성이는 얼마나 긴장했을까 싶은데... 기대 이상으로 잘해서 내가 다 기뻤다.사이사이에도 성장도 하고, 애드립도 자연스러워진게 눈에 보여서 너무 자랑스러웠는데...막공때 성량이 너무 좋아졌더라...내년에 그날들 10주년이라는데....우리 애기가 같이 했으면 좋을텐데...약 4개월동안 행복한 시간 만들어줘서 고마워!!!그날들 최고!!!",2021.03.11
