musical_title,rate,review_title,review_text,review_date
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고였습니다.,정말 정말 좋았습니다:-),2021.04.06
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,최고의공연이였다.,놀라울정도의 연기력에 감탄 했습니다.첫넘버가 대성당이라 소름이 쫙 끼쳤어요~,2021.03.03
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,노트르담 드 파리,잘 봤습니다.,2021.02.26
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한 (12/18~),5,노트르담 드 파리,잘 봤습니다.,2021.02.26
