musical_title,rate,review_title,review_text,review_date
뮤지컬 드라큘라 (Dracula：The Musical),5,오랜만에 대극장,너무 재밌었고 뒷자리였지만 배우님들의 에너지가 느껴졌어요!!,2021.08.26
뮤지컬 드라큘라 (Dracula：The Musical),5,최고의 드라큘라,류정한 드라큘라 조정은 미나 잊지 못할 순간이었습니다,2021.06.24
뮤지컬 드라큘라 (Dracula：The Musical),5,류큘!!! 류큘! 최고!!!!!,여러분 류큘!!! 류큘입니다!!!!!,2020.12.09
뮤지컬 드라큘라 (Dracula：The Musical),5,동큘돌아와,외모성대기럭지 완벽한 드큘 4연존버합니다,2020.11.25
뮤지컬 드라큘라 (Dracula：The Musical),5,재밌게 잘 봤습니다.,좌석이 1층 사이드쪽이라 잘 안보일까 걱정했는데생각보다 잘 보였습니다.연기는 당연히 믿고 보는..,2020.11.04
뮤지컬 드라큘라 (Dracula：The Musical),5,또 보고싶어요,제게 최고의 뮤지컬입니다,2020.10.25
뮤지컬 드라큘라 (Dracula：The Musical),5,그리워요 샤큘,언젠가 또 볼 수 있겠죠,2020.10.05
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘 사랑해요,샤큘샤큘 너무 그립습니다한번 더 보고싶어요 ㅠㅠ,2020.10.05
뮤지컬 드라큘라 (Dracula：The Musical),5,드라큘라 너무 사랑합니다,한번 더 해주세요 제발 ㅠㅠ,2020.10.05
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘 못잊어요,4달이 지났지만 아직도 못잊어요또 보고싶네요 ㅠㅠ,2020.10.05
뮤지컬 드라큘라 (Dracula：The Musical),5,류큘 또 보고 싶네요,계속 생각나요~~~ 끝나서 너무 아쉬워요ㅠㅠ,2020.09.21
뮤지컬 드라큘라 (Dracula：The Musical),5,내사랑 류정한,류정한은 진짜 1000년동안 잠들어있던 드라큘라그자체입니다 ...멋져요..성숙한 드라큘라 제가 물리고 싶어요,2020.09.17
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘,샤큘은 진짜 드라큘라 그자체,2020.09.17
뮤지컬 드라큘라 (Dracula：The Musical),5,4연이 언제 올까 기다려져요..,"정말 2번 봤는데 왜 더 많이, 빨리 보지 않았는지 후회만 됩니다ㅠㅠㅠ다음 4연이 오면 동큘을 꼭 보고싶네요! 류큘도 보면서 정말 멋지고 온 몸에 짜릿짜릿한 느낌 들었고 넘버 맛집 드라큘라 라는 이름 답게 넘버들도 너무 좋았어요..공연은 끝났지만 DVD 내주셨으면 좋겠다라는 마음 가져봅니다..",2020.08.30
뮤지컬 드라큘라 (Dracula：The Musical),5,너무 잼써요ㅠㅠㅠ,너무 잼써요ㅠㅠㅠ,2020.08.19
뮤지컬 드라큘라 (Dracula：The Musical),4,아쉬웠지만 더 못봐서 아쉬웠던,생각보다 쬐끔 아쉬워서 한 번 보고 말았는데 전캐 찍었어야했어요ㅠㅠㅠ 뒤늦게 넘버 생각나고 아른거리고.. 역시 넘버 맛집 드큘ㅠ 무대도 너무 멋있었고 샤롯데 시야도 최고였어요,2020.08.17
뮤지컬 드라큘라 (Dracula：The Musical),5,멋진 만남,김준수씨의 정열과 다른출연진분들의 멋진호흡이 훌 륭한공연이었습니다,2020.08.14
뮤지컬 드라큘라 (Dracula：The Musical),5,역시 최고,"아쉽네요 ㅠ 류정한 배우님, 조정은 배우님이 마지막이라는게 ㅠㅠ",2020.08.05
뮤지컬 드라큘라 (Dracula：The Musical),5,전동석은 신이어라,말 그대로 그는 드라큘라의 환생입니다,2020.08.01
뮤지컬 드라큘라 (Dracula：The Musical),4,좋았습니다,극 자체가 주는 황홀감이 있었습니다,2020.08.01
뮤지컬 드라큘라 (Dracula：The Musical),5,와..,와..김준수배우님 정말 드라큘라 그 자체네요..너무 멋있어요,2020.07.31
뮤지컬 드라큘라 (Dracula：The Musical),5,그리운 샤라큘라..,"열심히도 보러 다녔던 샤라큘라... 이번엔 어떤 탈선개그 애드립을 선보일지 기대감에 부풀어 샤롯데를 찾아다녔던 좋은 추억이 있네요 후기가 많이 늦었지만, 몇년 뒤 또 새로운 샤라큘라를 만날날을 기대 해 봅니다!",2020.07.24
뮤지컬 드라큘라 (Dracula：The Musical),3,실수연발 .. 실망스러웟으나 극자체는 웰메이드,실수가 있어서 집중도 확깨졌음..1막이 너무 별로였ㅇ ㅁ...,2020.07.23
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘 너무 좋았어요 ㅠㅠ,다시 만날수 있겠죠ㅜㅜ꼭 다시 봐요 샤차 ㅠㅠ ♥,2020.07.22
뮤지컬 드라큘라 (Dracula：The Musical),5,전동석 배우 얼굴과 천장뚫는 성량으로 서사완성 시키는극,빠져서 정말 많이 봤습니다 다들 서사가 엉망이다 어쩐다 하지만 사실 서사 탄탄한 뮤지컬은 찾기 힘들죠 개인의 상상력으로 덧붙여가면서 보는 재미. 전동석 배우 얼굴로 일단 드라큘라 서사는 반쯤 채워집니다. 노래는 워낙 잘하는거 유명하기때문에 저음곡에서도 샤롯데 뚜껑 날리는 저력. 정말 좋았습니다. 미나 임혜영 배우 조정은 배우도 너무 좋게 봤어요. 특히 전 임혜영 배우님의 절절한 눈물 연기가 좋았습니다. 비쥬얼 합도 좋고요. 조정은 배우님도 너무너무 잘하고 눈물 후두둑...... 조나단 역 맡은 진태화배우님 이충주배우님 너무 좋았습니다. 이충주 배우님 썸머는 다시 듣고 싶네요. 렌필드 역할의 김도현님!! 정말 최고였습니다,2020.07.20
뮤지컬 드라큘라 (Dracula：The Musical),5,??,조정은 배우님의 대사가 가슴속에 콕콕박혀왔다. 그래서 더욱 내용에 집중할 수 있었고 처음 봤을때는 이해되지 못했던부분들이 두번째로 본 조정은 배우님의 연기를통해 미나의 거부하고 싶지만 거부할 수 없는 심정이 점점 더 이해될 수 있었다. 사연때도 조정은 배우님 돌아와주세요ㅠ 다른작품으로라도 꼭 보고싶습니당ㅠㅠ!!,2020.07.17
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘 볼수있어 행복했어요,샤큘 볼수있어 행복했어요코로나 심하지 않을때 겟하길 너무 잘했지 뭐에요,2020.07.16
뮤지컬 드라큘라 (Dracula：The Musical),3,뭔가 산만...,내용도 연기도 이게 뭐지? 싶을 정도로 산만했습니다,2020.07.11
뮤지컬 드라큘라 (Dracula：The Musical),5,역쉬~김준수,준수오빠 캐스팅 보고왔어요너무좋았구요 또 보고싶네요,2020.07.07
뮤지컬 드라큘라 (Dracula：The Musical),5,너무 재미잇엇어요,2번봤는데 2번다 너무 재미있었습니다.좌석은 전체가 보이는 2층이 좀더 나은거 같앗어요,2020.07.05
뮤지컬 드라큘라 (Dracula：The Musical),5,코로나를 잊게 만드는 ...,"4연때도 김준수, 조정은 캐스팅이면 10번도 보겠습니다 빠른 시일내에 4연 기다립니다 연기자들도 스탭들도 고생하셨습니다",2020.07.05
뮤지컬 드라큘라 (Dracula：The Musical),5,4연올때까지 기다려야지,동큘 임미나 페어 손꼽아 기다릴래ㅠㅠㅠ,2020.07.04
뮤지컬 드라큘라 (Dracula：The Musical),5,최고의 연기 최고의 넘버,멋진 연기로 많이 울었네요 감사합니다,2020.07.03
뮤지컬 드라큘라 (Dracula：The Musical),5,정말너무좋았어요!!,친구랑 뮤지컬 관람하였는데 눈과 귀가 즐거웠던 날이었어요감사합니다!,2020.07.01
뮤지컬 드라큘라 (Dracula：The Musical),5,최고,드큘최거,2020.06.27
뮤지컬 드라큘라 (Dracula：The Musical),5,오디 제 목소리 들리나요..? 4연 기다릴게요...,"동큘, 류큘 데리고 와줘요.. 저 여기서 한발자국도 안움직이고 4연 기다릴게요???? 네??? 아시겠죠???",2020.06.27
뮤지컬 드라큘라 (Dracula：The Musical),5,감동 그 자체,너무 감동적이었어요,2020.06.26
뮤지컬 드라큘라 (Dracula：The Musical),5,김준수배우의 드라큘라는 언제나 최고입니다,드라큘라 장인이라는 말이 괜히 있는게 아니더라구요.시작부터 끝까지 숨막히는 가창과 연기로 무대를 장악하는데..소름돋고 눈물나고 행복했습니다.진짜 돈이 아깝지 않은 공연이었습니다.,2020.06.26
뮤지컬 드라큘라 (Dracula：The Musical),5,내 최애캐 안녕,"재입덕하게 해 준 소중한 드라큘라모든 배우들한테 정 들고 송리단길 맛집들을 꿰차고,드라큘라와 같이 보낸 2020년 상반기 너무 행복했어요코로나가 없었다면 더 좋았겠지만 같이 힘낸배우들 스탭들 관객들 다 칭찬해요너무 그리울 것 같아요 꼭 다시 봐요 ??잘가 드라큘라",2020.06.24
뮤지컬 드라큘라 (Dracula：The Musical),5,전동석 최고,최고... 또 와요...,2020.06.22
뮤지컬 드라큘라 (Dracula：The Musical),5,3연 존버....,"너무 좋았어요.. 류정한배우님 드라큘라 그 자체,,, 임혜영배우님도 너무 사랑스러우셨고 진태화배우님도.. 손준호 배우님도 잘하시고.. 도현배우님 지킬에서 보다가 드큘에서 또 봐서 너무 반가웠어요 이 캐스팅 그대로 3연 빨리 와주세요....",2020.06.22
뮤지컬 드라큘라 (Dracula：The Musical),5,이제 써보는 총막,"그날 감정 하나하나 최대한 눈과 귀에 담아 오려고 노력했고, 아직도 이날 생각하면 디테일들은 거의 휘발 되었지만 그 감정만은 계속 살아있는것 같아요ㅠㅠㅠ 모든 배우님들 정말 감사했습니다 앵콜바라는건 제 욕심이겠죠ㅠㅠ",2020.06.22
뮤지컬 드라큘라 (Dracula：The Musical),5,동큘 막공,너무 너무 기대하고 갔는데 진짜.. 와.. 너무 좋았어요 ㅠ진짜 실물 진짜 말도 안 되요. 사람이 아니에요.키도 너무 크시고 노래는 말할 것도 없고..아 진짜 그냥 아.. 완전 미쳤.. 좀 지나서 가물가물한데그래도 진짜 와.. 진짜 ?????♀? 끝나서 꼭 봐라고 말할 수도 없고진짜 최고에요.,2020.06.21
뮤지컬 드라큘라 (Dracula：The Musical),5,와~~대박,2월에 보고 또 갔는데 더더 섹시해진 준수~아직도 생생하다...????,2020.06.20
뮤지컬 드라큘라 (Dracula：The Musical),5,마지막,류큘이 아니길 간절히 비나이다~,2020.06.20
뮤지컬 드라큘라 (Dracula：The Musical),5,류큘 무대 찢어버립니당..,제목 그대로입니다 ㅠ ㅠ 류큘 또 기다릴깨요 ..,2020.06.19
뮤지컬 드라큘라 (Dracula：The Musical),5,자첫자막 대레전,제목 곧 내용이지만 다음부턴 최소 자둘자막하려고요... 정말 오랜만의 관극이었어서 너무 행복했습니다,2020.06.19
뮤지컬 드라큘라 (Dracula：The Musical),4,드라큘라...,드라큘라의 오래된 슬프고도  안타까운  사랑의 이야기 배우분들 뿐만 아니라 앙상블 분들 모두  잘하셔서 즐거운 공연이 되었습니다,2020.06.19
뮤지컬 드라큘라 (Dracula：The Musical),5,감동그자체입니다!!!,처음으로본뮤지컬 너무감동적이여서 말이안나옵니다 그냥보세요 보셔야압니다 너무잘봤습니다 감사합니다!!!,2020.06.19
뮤지컬 드라큘라 (Dracula：The Musical),5,첫 회전극,첫 회전극이었던 드라큘라ㅠㅠ 앵콜해주세요 이렇게는 못 보냅니다 엉엉,2020.06.19
뮤지컬 드라큘라 (Dracula：The Musical),5,재밌어요!,벌써 끝났다니 믿기지가 않네요ㅠㅠ빨리 돌아오길!,2020.06.18
뮤지컬 드라큘라 (Dracula：The Musical),5,최고??,최곱니다,2020.06.18
뮤지컬 드라큘라 (Dracula：The Musical),5,쵝오,시아준수 넘 소름돋아 ㅠㅠ온몸에 소름이,2020.06.18
뮤지컬 드라큘라 (Dracula：The Musical),5,류정한드라큘라는 꼭 보셔야해요,드라큘라극을 류정한배우님으로 처음 봤는데... 정말 푹 빠져서 회전돌고 총막까지 왔네요ㅠㅜ 벌써 마지막 공연이라니 아쉽습니다. 극자체도 재미있고 넘버도 되게 좋아요... 이번에 유튜브에 영상많이 풀렸는데 진짜 가서 꼭 들어야해요 류정한배우님으로요! 연기하실때 목소리톤도 변하구요 디테일도 좋았아요 극을 이해하는데 도움이 됩니다.. 샤우팅이 정말 대단하네요 소름돋았아요(1막에 십자가 찌르고.....날 저주해!! 부분이요) 다음 공연도 얼른 돌아왔으면 좋겠고 배우님도 같이 오셨으면...하는 작은 소망이 있네요,2020.06.18
뮤지컬 드라큘라 (Dracula：The Musical),5,샤큘 최고,또 보고싶어요,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),4,선녀....,아 선녀.......,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,드라큘라 관람 후기,류정한 배우님의 드라큘라를 볼 수 있게 되어서 너무너무 좋았어요! 총막까지 열연해주셔서 정말 감사했습니다:) 무대 인사를 짧게밖에 들을 수 없어서 너무 아쉬웠습니다.,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,뮤지컬 드라큘라 관람후기,류정한 배우님 4연 드라큘라로 돌아와주세요ㅠㅠ,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,또 보고 싶은.공연,두번째 본 공연인데.너무 재밋게 잘 봤어요 끝나는게 아쉬웠어요보는 내내 넉을 놓고 보았네요 다음에 또 한다먄 꼭 보러갈거에요!!,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,최고다 최고bb,동큘은 무조건 한번 더 와야합니다....미쳤어요 미쳤어bb 외모 가창력 기럭지 어느 하나 완벽하지 않은 구석이 없어요...저런 미모로 우혹하는데 어찌 안넘어갑니까ㅠㅜ 진짜 최고예요 무대도 돈 많이 들어간 표시 확 나네요 대극장 극 중에서 지앤하 다음으로 볼게 많고 재미있어요 넘버들도 다 좋아요bb,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,최고다 최고bb,동큘은 무조건 한번 더 와야합니다....미쳤어요 미쳤어bb 외모 가창력 기럭지 어느 하나 완벽하지 않은 구석이 없어요...저런 미모로 우혹하는데 어찌 안넘어갑니까ㅠㅜ 진짜 최고예요 무대도 돈 많이 들어간 표시 확 나네요 대극장 극 중에서 지앤하 다음으로 볼게 많고 재미있어요 넘버들도 다 좋아요bb,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,드라큘라,동선녀 또보고싶네요. 동선녀 또보고싶네요동선녀 또보고싶네요동선녀 또보고싶네요,2020.06.17
뮤지컬 드라큘라 (Dracula：The Musical),5,또 보고 싶은 무대,진짜 너무 재밋게.잘 봣어요다음에 또 한다면 꼭 보고 싶은 무대 였습니다.마지막 공연치고 무대인사가 짧고 촬영도 안되서 너무 아쉬웠어요 커튼콜이라도 촬영이 가능했으면 좋겠다 라는 아쉬움 공연이 눈깜짝 할 사이에 끝나버려 극장나오면서 계속 뒤돌아 봤네요,2020.06.17
