musical_title,rate,review_title,review_text,review_date
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 1순위가 레베카!,탄탄한 구성으로 어떤 배우더라도 후회없어요!,2021.02.19
뮤지컬 〈레베카〉,5,내겐 레베카가 1순위!,어느 누구의 캐스팅으로 봐도극 자체가 탄해서 후회없습니다 ??,2021.02.19
뮤지컬 〈레베카〉,5,말이 필요없는 뮤지컬의 대명사,올해 연말에 꼭 다시 보겠습니다 ! 위키드 포에버,2021.02.15
뮤지컬 〈레베카〉,4,레베카 에 매료되는 그 기분,또 보고싶어요,2020.11.24
뮤지컬 〈레베카〉,5,멋지네요!!!,레베카최곱니다^^,2020.11.15
뮤지컬 〈레베카〉,5,살아숨쉬는 맨덜리,말이 필요없는 공연 꼭 ich로 무대에 서길 희망하며,2020.11.02
뮤지컬 〈레베카〉,5,다시 봐도 명작!!,"류정한 배우님, 이지혜 배우님, 신영숙 배우님늘 믿고 봅니다!",2020.08.05
뮤지컬 〈레베카〉,5,언제나 최고인 장댄버스,장댄버스 자첫했는데 정말 소름이 돋았네요ㅠㅠ!! 기대이상으로 잘하십니다ㅜㅜ!! 언제나 최고의 공연으로 보답해주셔서 감사합니다,2020.06.25
