musical_title,rate,review_title,review_text,review_date
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,새로운 베토벤,박준휘배우님을 뵈러 따라갔는데 내용에 반하고마리 슈라더 캐릭터에 반하고 넘버도 너무 좋았습니다.한번 밖에 보지 못해서 너무 아쉽지만사연 꼭 기다리고 있겠습니다~!,2020.12.16
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,테이와김소향을한번에볼수있는유일한작품,진심최고야,2020.12.09
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,끌잼,꿀잼! 넘버가 너무 좋습니다,2020.11.09
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,루드윅은 꼭봐야해요~,시즘별로 루드윅을 한번씩 다보게되었는데.. 볼때마다 감동이네요 정말 한번은 꼭봐야할 작품일것같아요!!,2020.10.28
뮤지컬 〈루드윅：베토벤 더 피아노〉,4,뒤늦은 후기,곧 다시 찾아와주실거죠??? 기다리고있을께요,2020.10.26
뮤지컬 〈루드윅：베토벤 더 피아노〉,4,기대이상이 었어요.,친구가 보고 좋았다고 해서 고민고민하다가 봤는데 역시 고민되면 봐야하나봐요.,2020.10.14
뮤지컬 〈루드윅：베토벤 더 피아노〉,3,후기,배우들 파워와 넘버가 폭발적이야,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,루드윅돌아와,돌아와줘요,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,4,좋았습니다,루드윅 빵~~~~,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,4,좋았습니다,그동안 즐거웠어요,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,안돼,안돼.. 이러면 안되잖아......,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,또 보고싶어요ㅠㅠ,이젠 못보는게 아쉬워요ㅠㅠㅠ,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,준휘청년,평생 청년 해주세요,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,김주호 베토벤,정말 최고였습니다,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,좋은 공연,좋은 공연이었습니다 잘봤습니다,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,잘난척하지마 꿈꿀수록 고통뿐이야,왜 내게 환희를 보게했나~~,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,준휘청년 못사 없어야 하는데,막공했어 안되겠다 내년에 와주세요.,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,추천합니다,배우들 열연이 인상깊은 뮤지컬이었어요 마지막 지휘하며 끝내는 엔딩이 기억에 많이 남네요,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,루드윅,아니요. 전 모차르트가 아닙니다. 제 곡은 신이 쓴 게 아니라 제가 직접 쓴 거죠.,2020.10.12
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,다음 시즌을 기다립니다ㅠ,곧 다시 만날 수 있길 바랍니다ㅠㅠ,2020.10.11
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,끝났네요ㅠ,끝나서 너무 아쉬워요ㅠㅠ,2020.10.11
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,총막ㅠㅠㅠㅠ,총막이 너무 아쉬워요 이번에 열심히 봤네요 넘버도 좋고 다음시즌도 기대할게요,2020.10.10
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,루드윅,루드윅 빵 루드윅 빵 빵빠라방빵빵 빵빠라방빵빵,2020.10.10
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,김주호배우님 백살까지 베토벤,베토벤 그 자체이세요 정말로 ....덕분에 마음속에 꿈 하나 품고 갑니다 공연 너무 잘 봤어요,2020.10.09
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,김주호배우님 백살까지 베토벤,베토벤 그 자체이세요 정말로 ....덕분에 마음속에 꿈 하나 품고 갑니다 공연 너무 잘 봤어요,2020.10.09
뮤지컬 〈루드윅：베토벤 더 피아노〉,4,나에게로 떠나는 여행,"루드윅, 한 번만 볼 생각이었는데, 결국은 세 번까지 보게 되었다. 볼수록 이 극은 베토벤의 생애와 음악에 대한 극이 아니라, 루드비히와 마리와 카를의 성장드라마 같다는 생각이 든다- 각자 자신의 성장통을 겪으면서 꿈을 찾아나가는 과정에서 서로 쓰다듬기도 하고 부딪히기도 하는; 그 중에서도 개인적으로는 마리에게 가장 감정 이입이 되고 동질감을 느끼게 된다~ 19세기에 비하면 현재는 조금은 나아진 편이기는 하지만, 여전히 21세기에도 여자들의 머리 위에 존재하는 유리천장을 뚫기란 쉽지 않으니까... 아직도 남자들은 싸울 준비가 안 되어 있어서 그런가 본데, 이제는 정정당당하게 싸워보자고 외치고 싶다! 당장 공연계만 봐도 남배우들만 등장하는, 또는 남배우들이 주요 배역을 맡는 극들은 차고 넘치지만 여성 서사를 다루고 있거나 여배우들만 나오거나 여배우들이 주류를 이루는 극은 손에 꼽으니까.ㅠㅠ 이 시대 여성들에게도 성장통을 겪을 수 있는 기회가 공평하게 주어지는 날이 어서 오기를 바란다.^^",2020.10.09
뮤지컬 〈루드윅：베토벤 더 피아노〉,5,재밌었어요,넘버랑 연기 스토리 모두 좋았습니다~ 잘봤습니다,2020.10.08
