musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미스트〉,4,미스트.. 정말 연기처럼..,"배우 분들과 음악은 너무 좋았는데서사가 연기처럼 떠버리는 느낌을 조금 받았어요회수되지 않은 떡밥이 많아서 아쉬웠지만, 그래도 즐거웠습니다",2020.07.12
뮤지컬 〈미스트〉,5,너무 좋았어요,재연 빨리 왔으면... ㅠㅠ,2020.05.04
뮤지컬 〈미스트〉,5,재연 언제와요..,ㅜㅜㅜㅜㅜ,2020.04.14
뮤지컬 〈미스트〉,5,ㅠㅠ,미스트 어디가써ㅠㅠ,2020.04.13
뮤지컬 〈미스트〉,5,슬퍼요,혜인이가 다시 보고싶어지는 밤..,2020.04.13
뮤지컬 〈미스트〉,2,잘가요 미스트,다음에 꼭 안와도되고 온다면 서사를 잘 채워오세요~~,2020.04.13
뮤지컬 〈미스트〉,4,미스트 보고싶다,마음에 닿는 넘버와 배우들의 갓연기와 독립운동 하시던 분들의 생각까지 하게 하는 뮤지컬이었습니다.,2020.04.13
뮤지컬 〈미스트〉,5,ㅣㅣㅣㅣ,ㅣㅣㅣㅣㅣㅣ,2020.04.13
뮤지컬 〈미스트〉,5,ㅅㅅㅅㅅㅅ,ㅅㅍㅅㅅㅅ,2020.04.13
뮤지컬 〈미스트〉,5,이 겨울의 끝에 봄이 온다면,뮤지컬 미스트,2020.04.13
뮤지컬 〈미스트〉,5,안녕 미스트,뭉클했습니다,2020.04.13
뮤지컬 〈미스트〉,5,애국심이 불타올랐습니다,종구동길 최고입니다,2020.04.13
뮤지컬 〈미스트〉,3,넘버가 아름다운 편,내용은 심심,2020.04.13
뮤지컬 〈미스트〉,5,미스트 보고싶어요,또 와주세요 물론 좀..고쳐왔으면..,2020.04.13
뮤지컬 〈미스트〉,5,미스트,재밌어요,2020.04.13
뮤지컬 〈미스트〉,5,미스트,재밌어요 배우들 성대랑 연기 존잘,2020.04.09
뮤지컬 〈미스트〉,5,미스트,재밌어요 배우들 성대랑 연기 존잘,2020.04.09
뮤지컬 〈미스트〉,4,잘 봤습니다.,"몇번 더 보고 싶었는데, 너무 늦게 봐서 시간이 없는 게 아쉽네요.좋은 배우들이 좋은 무대를 보여줘서 좋았습니다.",2020.04.09
