musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미오 프라텔로〉,5,우리 치치 지금은 군만두 좋아하니?,십년동안 먹었으니까 이제는 찐만두 먹을까?ㅜㅜㅜㅜ 보고싶다 치치,2021.08.02
뮤지컬 〈미오 프라텔로〉,5,미오 빨리 돌아유ㅏ,진짜 보고싶다고옥??? 우리 치치 노란장미 좋아하는 우리치치 보고싶어,2021.08.02
뮤지컬 〈미오 프라텔로〉,5,미오 다시 돌아와,다시 돌아와 처음인 척 볼 수 있어,2021.03.07
뮤지컬 〈미오 프라텔로〉,5,미오 다시 돌아와,다시 돌아와 처음인 척 볼 수 있어,2021.03.07
뮤지컬 〈미오 프라텔로〉,5,ㅠㅠ 왜 이렇게 늦게봤을까,미오 더 보고 싶다 ㅠㅠ,2021.03.07
뮤지컬 〈미오 프라텔로〉,4,미오 보고 싶다,"정말 내가 미오에 이렇게까지 진심이 될 줄 몰랐듯이, 1월달 연장 공연도 딱 한 번밖에 못 보고 보내서 미련이 많이 남게 될 줄도 몰랐다. 나는 아직 보내줄 준비가 되지 않았는데, 상대방의 얼굴도 못 보고 이별 통보를 받게 된 기분이랄까- 사랑했던 모든 공연들의 막공이 다가오면 아쉽기는 하지만, 이번에 잘 보내줘야 다음 시즌에 또 즐거운 마음으로 맞이할 수 있으니까 말 그대로 굿바이를 한다~ 그런데 미오는 정말로, 진심으로, 바짓가랑이 붙잡고 가려거든 나를 즈려 밟고 가라고 하고 싶었다; 이 망할 놈의 두 칸 띄어앉기 상황에서도 좋은 공연을 올리기 위해서 노력해 주신 모든 스태프 분들과 배우 분들한테 감사하다고 그동안 수고하셨다고 절이라도 올리고 싶다! 이렇게 자리 하나 잡기가 어려울 줄 알았더라면 작년에라도 많이 봐둘 걸 하는 후회가 막심하다... 어쨌든 Show must go on 이니까 꼭 반드시 돌아올 것이라고 믿어 의심치 않습니다.^^ 하지만 그 전까지 이 그리움을 견딜 수 있도록 동그랗고 반짝거리는 딥디 내주세요.ㅠㅠㅠㅠㅠㅠ",2021.02.26
뮤지컬 〈미오 프라텔로〉,5,재밌어요,재밌어요 ~!,2021.02.22
뮤지컬 〈미오 프라텔로〉,5,내 인생 최고의 작품,꼭 또 와주세요,2021.02.18
뮤지컬 〈미오 프라텔로〉,4,안녕 미오...!,콘플 땜에 빡쳤지만... 미오는 사랑 했다.... ㅠㅠ,2021.02.15
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,미오디오 맘미미아 미오 프라텔로 써니보이 언제 또 볼수있을지 기다릴동안 딥디를 내주면 좋을텐데..,2021.02.15
뮤지컬 〈미오 프라텔로〉,5,미오,오슷과 딥디...기다리고있어요ㅠ,2021.02.15
뮤지컬 〈미오 프라텔로〉,5,딥디주쇼,내놔..내놓으라고,2021.02.15
뮤지컬 〈미오 프라텔로〉,5,디비디주세요,주세요 디비디,2021.02.15
뮤지컬 〈미오 프라텔로〉,5,기다릴게요,매일매일 기다려졌던 극,2021.02.13
뮤지컬 〈미오 프라텔로〉,5,많이 사랑했다..,"호승 스티비, 노란장미, 그리고 미오프라텔로.. 많이 사랑했고 마지막까지 완벽했고 다음에 또 만나자ㅠㅠ",2021.02.11
뮤지컬 〈미오 프라텔로〉,5,재밌어요,재밌어요,2021.02.10
뮤지컬 〈미오 프라텔로〉,5,미오,재미있었어요,2021.02.10
뮤지컬 〈미오 프라텔로〉,5,미오,다시돌아와요 ㅠㅠ,2021.02.10
뮤지컬 〈미오 프라텔로〉,5,뮤덕이됫습니다,이 공연을 보고 뮤덕이 됫습니다..책임지세요ㅜㅜ,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,내최애작품,진짜너무너무행복한시간을만들어줘서고마워요,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,무대가 꽉 찬 느낌,매번 좋은 공연 감사합니다,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,뉴욕 가고 싶어지는,저도 산타루치아에 가고 싶어지네요. 배우분들의 연기도 좋았습니다,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,너무나 사랑한 공연,언제 다시 볼 수 있을까. 그립네요,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,정말 재밌는 극,배우분들 합도 너무 좋아요.,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,벌써 또 보고 싶어요.,미오디오맘마미아ㅜㅜ,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,안 사랑할 수가 없는 극,노란 장미를 닮은....,2021.02.09
뮤지컬 〈미오 프라텔로〉,5,즐거웠어요,다시 올 때까지 기다릴게요!!!ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,좋은 공연 감사합니다,미오 프라텔로 너무 좋았어요 보고싶어요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,짱,재밌어요!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오디오,맘마미아~~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,행복했어요ㅠ,미오 앵콜 준비해주셔서 감사합니다....,2021.02.08
뮤지컬 〈미오 프라텔로〉,4,즐거웠어요,넘버가 정말 특이합니다 근데 신나요 근데 미아파밀리아를 먼저 봐여 더 재밌게 느껴질거같아요 같은 등장인물을 전혀 다른 방식으로 풀어내는게 매우 재밌습니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,또 보고싶어요.,끝난지 얼마나 되었다고 벌써 그리운 공연ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,삼연존버..,우리둘째페어 삼연에 꼭 다 데려오셔야해요... 꼭이야.. 약속...,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다,잘 봤습니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다,잘 봤습니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재미있었어요,온니보이 온로렌스 스티비 치치 다 사랑했어 안녕,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재미있어요,지온아 사랑했다ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,dsafadsfadsgasdf,adsfasdgadfdasfadsgasdfdasfadsf,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,지온써니 석진치치 기범스티비,꼭 다시 보고 싶어요다음에도 꼭 같이 와주세요 제발요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로 그렇게 불렀지,치치 나의 형제... 금방 다시 돌아오면 좋겠어요ㅠㅠ 보고 싶어요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,또 보고싶다,표가 없어서 몇번 못봤어..,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재미있다 ㅠㅠ,막주에 치이기 ㅠㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,사랑하는 미오프라텔로,올해는 다른일이 많이 바쁜가봐요.내년엔 꼭 만날수있기를.혹시 그 제작사에 연기를 할 배우는 필요없나요.착하고 귀여운 아이 이름은 석진치치당신이 가르쳐주고 또불러주면 좋을텐데,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굳굳,"마피아, 총, 노란장미, 진실진지함, 웃음, 슬픔, 반전어느하나 빠지는것 없는 극이었습니다.스트레스많이 이시국에 스트레스와 짜증을 날려줬어요.",2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌습니다,잘 봤습니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌어요,써니보이와 치치에게 서로가 있어서 참 다행,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,꼭 빠른 시일 내에 돌아와주기,덕분에 정말로 행복했어요 미오 프라텔로 사랑해,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,그리울거야,미오 프라텔로,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,꼭 돌아와주세요!!ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오미오,미오미오,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,진짜 오지는 공연 오지는 페어 석범온 백석온 온백석 다 좋아 아무튼 막내페어 개짱 미오프라텔로 짱,백기범 김지온 최석진 짱,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,나는 무서운 사람,무서운 넘버를 부르겠다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,아무것도 후회하지 않겠다,미아 파밀리아,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,매일 밤,나는 총을 쏜다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,나는 닿을 수 없는 곳,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,안녕 플로렌스,From. 써니보이,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,^^,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,^^,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,^^,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,^^,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,4,^^,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굿바이...,굿바이 미오ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굿바이...,굿바이 미오ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굿바이...,굿바이 미오ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굿바이...,굿바이 미오ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,너무 좋아요,너무 좋아요,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,너무 좋아요,너무 좋아요,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오....,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오....,잘 봤습니다~!!!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,빠른시일내로,다시 만났으면 좋겠어요.. 너무 재밌었어요.. 미오 다시 올때까지 쉬겟읍니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,그리워요,백기범 짱백티비 짱범티비 짱,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,그리워요,백기범 짱백티비 짱범티비 짱,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,넘버가 너무 맛깔나요,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,미오 3배우다 너무 좋아요!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오가 보고싶어요....,딥디 내놔 콘플....,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌어요,강추합니다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,사랑이란 의미를 다시 생각하게 해주는 작품,"눈물이 많은 편이 아닌데, 이 작품에서는 이상하리만큼 순간적으로 확 눈물이 떨어지더라구요. 사랑엔 여러가지 종류가 있다는 걸 보여주는 좋은 작품입니다ㅠ",2021.02.08
뮤지컬 〈미오 프라텔로〉,5,잊지말아요,브루클린 브릿지에 내사랑 두고갈랭,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 올해 또 올려주세요,부탁드립니다 진짜,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,빨리 돌아와주길ㅠㅠ,지인분의 추천으로 뒤늦게 빠져서 겨우 자셋까지 하고 마무리 했네요ㅠㅜ 연인과의 사랑만이 아닌 여러긴지 종류의 사랑이야기를 모두 담고 있어서 좋았어요. 보면 볼수록 더 매력있는 작품인 듯 싶어요. 다음 시즌이 하루빨리 돌아오길 바랍니다ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오최고,디비디낸낭,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,파파 나는,약하지 않아요 어리석지 않아,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,프라텔로,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,쿤만두,맘마미아,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,삼연 기다립니다,둘째페어 삼연에 꼭 손잡고 와주세요ㅠ 기다립니다!!!ㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오프라텔로 정말 감사합니다,감사하고 감사한  공연 퐁당당 티켓팅 산책하고하고 힘들었다,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,이승현 돌아와...,돌아와요...,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌어요,good,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,나는 닿을수 없는곳,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,미오프라텔로 그렇게 불렀지 치치,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,너를 다시만나면 얼마나 기뻐할지 난 상상도 할수없어,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,다시봐요...,곧 다시 봊시다우리.......,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,굳굳,정말 재밌다악 고마웠다 좋은 추억이 되는 공연이었음,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,막공,좋았지... 좋은 기억으로 남아.....,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,난 세상에서,제일 좋은게 바로 너야두 눈을 감아도아무말 하지않아도느낄 수 있는,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,희작,좋아하시면 꼭보기,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,아진짜재미있어요ㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌어요,짱재밌! 더 못봐서 아쉬우ㅓ요ㅜㅜ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,재밌어요,짱재밌! 더 못봐서 아쉬우ㅓ요ㅜㅜ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,짱재밋,이걸 쓰려니또 생각나네... 짱재밌어 열심히 봤더,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,다음에는 꼭 꽉채운 객석에서 노란장미랑 붉은장미 듣고 싶어요,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오,세상에서 제일 좋은거 바로 너야,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,세상에서 제일 좋은게 꽃이거든,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,올해 안에 다시와줘요 미오ㅠㅠ,쿤만투 아직 덜 봤단 말이에요ㅠㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,3연 빨리 와줄거죠?,ㅠㅠ ㅠ저 올때까지 기다려요ㅠㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,산타루치아에 다시 가고 싶어요 이 캐스팅 그대로 금방 돌아오면 좋겠고 DVD가 나오면 좋겠고 떼창 가능할 때 콘서트도 해주세요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,마지막공연,막공까지 너무 좋았어요 그동안 너무 행복했어요,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로ㅠㅠ,미오가 끝나서 이제 난 어디로 가야 하지... 대표님 DVD 좀 내주세요 컴퍼니 보관영상이라도 대충 USB에 담아서라도 팔아주세요 그냥 보낼 수 없어요ㅠㅠㅠㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 돌아와요ㅠㅠ,꼭 다시 와야해요ㅠ 올해 최고의 공연이에요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,아무것도,후회하지 않겠다!,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,너무 행복했던 총막,꼭 다시 와주세요ㅠㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,ㅜㅜ,미아 파밀리아 미오 아미꼬 미오 프라텔로,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,까먹었다,미오 안녕,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,띄어앉기 완화되면,다시 와주세요ㅜㅜ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,아직도..,끝난게 안믿겨요ㅠ,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,미오 돌아와...,못보내.. 다시보고싶어ㅠㅠ제발 돌아와...,2021.02.08
뮤지컬 〈미오 프라텔로〉,5,댄홋담 짱,김대현 최호승 김이담 짱,2021.02.08
