musical_title,rate,review_title,review_text,review_date
뮤지컬 〈배니싱〉,5,유승현씨 명렬이 해줘요 안할거면 케이해,이제 혈액팩이 아니라 형을 던지는 거지,2021.04.04
뮤지컬 〈배니싱〉,5,유승현씨 명렬이 해줘요 안할거면 케이해,이제 혈액팩이 아니라 형을 던지는 거지,2021.04.04
뮤지컬 〈배니싱〉,5,배니싱.. 돌아와......,딥디라도 빨리 내놔..... 종구배우님 거짓말쟁이 만들지 말고.......,2021.03.22
뮤지컬 〈배니싱〉,3,너무 슬펐어료,제발 다음 배니싱 훈명렬 또 와주세요,2021.03.15
뮤지컬 〈배니싱〉,5,좋았어요.,잘 봤습니다. 또 와주세요.,2021.03.15
뮤지컬 〈배니싱〉,5,재밌어요!,좋아요,2021.03.14
뮤지컬 〈배니싱〉,5,너무 좋아서 여운이 남는 공연...,배우들의 열연으로 너무너무 잘봐서 여운이 오래도록 남는 공연이였습니다...,2021.03.10
뮤지컬 〈배니싱〉,5,좋았습니다,배니싱 디비디 감사합니다ㅠㅠㅠㅠㅠㅠ 네오 감사합니다ㅠㅠ,2021.03.08
뮤지컬 〈배니싱〉,4,안녕 배니싱,2년만에 만났던 배니싱.. 시국이 이래서 맘껏 달리지도 못한 공연... 다음엔 안정된 시기에 다시 만날수 있기를,2021.03.08
뮤지컬 〈배니싱〉,5,아..,케이 안녕 덕분에 행복했다..,2021.03.08
뮤지컬 〈배니싱〉,5,최고의 마무리,마지막 모습을 정말 아름답게 기억할 수 있을 것 같아요.,2021.03.08
뮤지컬 〈배니싱〉,5,최고의 공연,넘버가 너무 좋습니다 작곡가님 차기작 기다릴게요,2021.03.08
뮤지컬 〈배니싱〉,3,배니싱,나를마셔,2021.03.08
뮤지컬 〈배니싱〉,3,재미있지만,보통이에요,2021.03.08
뮤지컬 〈배니싱〉,5,너무잼있어요,너무잼있습니다 너무잼있습니다 너무잼있습니다,2021.03.08
뮤지컬 〈배니싱〉,5,최애들이 있었는데요,돌아올 거라고 믿습니다 .... 꼭 돌아와 ....,2021.03.08
뮤지컬 〈배니싱〉,5,최애들이 있었는데요,돌아올 거라고 믿습니다 .... 꼭 돌아와 ....,2021.03.08
뮤지컬 〈배니싱〉,5,나를 마셔,목이 마르지,2021.03.08
뮤지컬 〈배니싱〉,5,배니싱은,무슨극인가요 바로 김종구가 쩌는 연기를 하는,2021.03.08
뮤지컬 〈배니싱〉,5,ㅠ_ㅠ 주민진 정민 배나라,9일 마티네까지 같이 돌려주세요 진짜ㅜㅜㅜㅜㅜㅜ 허위매물 포카까지,2021.03.08
뮤지컬 〈배니싱〉,5,........ 주민진 정민 배나라,맡겨놨어요................................ 돌려줘요,2021.03.08
뮤지컬 〈배니싱〉,5,최애페어가 있었는데요ㅠㅠ,최애캐가...최애캐가ㅠㅠㅠㅠ,2021.03.08
뮤지컬 〈배니싱〉,5,다시,돌아와줘 ㅠㅠ,2021.03.07
뮤지컬 〈배니싱〉,5,좋다,다시 빨리 와주라 주,2021.03.07
뮤지컬 〈배니싱〉,5,배니싱,재밌어요,2021.03.07
뮤지컬 〈배니싱〉,4,배니싱,재밌어요,2021.03.07
뮤지컬 〈배니싱〉,5,ㅠㅠ,아프지말고 다들 건강하세요,2021.03.06
뮤지컬 〈배니싱〉,5,소문이 돌아,에녹 배우님이 먹지 계약을 했다고...,2021.03.06
뮤지컬 〈배니싱〉,5,녹의신,에녹배우님 평생 의신 하세요,2021.03.06
뮤지컬 〈배니싱〉,5,검은 귀신...,torawa,2021.03.06
뮤지컬 〈배니싱〉,5,또 오세요,다시다시 보고싶은 배니싱 배우님들 너무잘하십니다다시 돌와주세요 배니싱 화이팅 존경합니다,2021.03.05
