musical_title,rate,review_title,review_text,review_date
뮤지컬 〈보디가드〉,5,해나&정다희 재발견!,해나&정다희 재발견!두 배우가 하드케리함!,2020.12.09
뮤지컬 〈보디가드〉,5,두번봤어요,손승연 보컬은 정말 대체 불가 최고입니다.,2020.06.06
뮤지컬 〈보디가드〉,5,역시 손승연,믿고 듣는 손승연! 귀호강했습니다~~,2020.03.09
뮤지컬 〈보디가드〉,5,존잼꿀잼,스토커가 잘생겼어요.,2020.03.03
뮤지컬 〈보디가드〉,5,존잼꿀잼,스토커 미모가 존잼꿀잼,2020.03.03
뮤지컬 〈보디가드〉,5,노래 좋아요,스토커가 잘생겼어요.,2020.03.03
뮤지컬 〈보디가드〉,5,노래 맛집,스토커 잘생겼네....,2020.03.03
뮤지컬 〈보디가드〉,5,너무너무 재밌던 공연,손승연배우가 휘트니 휴스턴 노래 정말 잘 부르더라구요. 다음에도 한번 더 보고싶어요.,2020.03.02
뮤지컬 〈보디가드〉,5,신나요 좋아요,또보고 싶네요,2020.03.02
뮤지컬 〈보디가드〉,4,지방공,가고싶었어....,2020.03.02
뮤지컬 〈보디가드〉,4,휘트니 휴스턴 뮤지컬 콘서트,너무 재밌어요 다음부터 레이첼마론이 더 좋은 배우로 보고싶어요,2020.03.02
뮤지컬 〈보디가드〉,5,안녕 ㅠㅠ,막공 ㅠㅠㅠㅠ,2020.03.02
뮤지컬 〈보디가드〉,5,잊지 못할 공연,잊지 못할 거예요,2020.03.02
뮤지컬 〈보디가드〉,5,아쉽,이제 못 보네요 ㅠㅠ,2020.03.02
뮤지컬 〈보디가드〉,5,최고,최고!!!,2020.03.02
뮤지컬 〈보디가드〉,5,손승연 레이첼 최고,손승연 레이첼 강경준 프랭크 의 마지막 공연.. 정말 최고,2020.02.28
뮤지컬 〈보디가드〉,5,최고의 공연입니다,"김선영레이첼, 이동건프랭크, 최현선니키, 이준용플레처...모두모두 최고입니다..",2020.02.28
뮤지컬 〈보디가드〉,5,좋았어요,재밌게 봤습니다!,2020.02.26
뮤지컬 〈보디가드〉,5,좋았어요,좋았어요,2020.02.26
뮤지컬 〈보디가드〉,5,최고에여!1,역시 손승연!!믿보 손승연 최고 ''11,2020.02.25
