musical_title,rate,review_title,review_text,review_date
뮤지컬 〈브라더스 까라마조프〉,5,추천합니다.,추천합니다.,2020.07.30
뮤지컬 〈브라더스 까라마조프〉,4,재밌었어요,작가만 아녔어도..,2020.07.19
뮤지컬 〈브라더스 까라마조프〉,5,.,그래서 삼연 언제오나요,2020.07.13
뮤지컬 〈브라더스 까라마조프〉,5,브까짱,최고입니다,2020.07.11
뮤지컬 〈브라더스 까라마조프〉,2,브라더스 까라마조프,브라더스 까라마조프 코로나때문에 집중이안됐지만 뮤지컬자체는존잼......................... 앞으로도인터파크에서예매해서볼게용..,2020.06.15
뮤지컬 〈브라더스 까라마조프〉,5,브까마,브까마,2020.06.14
뮤지컬 〈브라더스 까라마조프〉,5,빨리,브깜 삼연 빨리 와주세요... 현기증 납니다...,2020.06.06
뮤지컬 〈브라더스 까라마조프〉,5,헿,너무재밍썽요 사랑해요 &#10084;&#10084;&#10084;&#10084;&#10084; 앞으로도 인터파크 이용할게요 사랑해요,2020.06.04
뮤지컬 〈브라더스 까라마조프〉,5,아 이건 꼭 다시보고 싶어요!!,아... 진짜 완전 다시 보고 싶네요 ㅠㅠ 첫 뮤지컬인데 지방러라 차비가 티켓보다 비싼... 배보다 배꼽이 더컸지만 하나도 아깝지 않았어요!!!,2020.05.22
뮤지컬 〈브라더스 까라마조프〉,2,잘 보았습니다,"잘 보았습니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,.,3연 빨리 돌아와주세요ㅠㅠ 기다릴게요ㅠㅠㅠ,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,이건,용병이지만 공연 좋아요 알아요,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,브깜 언제 오나요...,코로나19  때문에 이번 시즌 한번 밖에 못 봤어요ㅠㅜㅠㅠ 빠른 시일내에 다시 돌아와줬으면 좋겠습니다♡ 브깜 기다릴게요!!!,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,4,잘봤어요.,재밌게 잘봤습니다,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,3,브까마,ㅈ거밍ㅎ어요,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,3,브까마,재밌어요,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,또 보고싶어요!!!!,아쉽게도 끝이 났네요 또 보고싶어요ㅠㅠㅠ 금방 돌아와줄거라고 믿습니다!!! 배우분들의 연기가 정말 최고였던 공연이었어요ㅠㅠ,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,좋았어요,"(극장 대비) 사악한 가격을 빼고는 정말 잘 봤어요. 배우님들 연기랑 노래도 좋고, 개인적으로 생각할 거리가 정말 많은 극이라고 느꼈습니다. 삼연 빨리 와주세요... 기다릴게요...",2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,감사합니다,너무잘봣습니다..,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,ㅜㅜ앵콜 올려주실거죠 선생님들,부탁드립니다 저 진짜 진심이예요...ㅜㅠㅠㅠ,2020.05.18
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,잘생기고 멋있는 사람이 나오는 극을 보고 싶다면 바로 이곳입니다. 맛집을 그동안 찾아헤매셨다고요? 이곳입니다. 더 이상 찾지 말고 이리로 오세요... 가지마ㅠㅠㅠ 질척,2020.05.17
뮤지컬 〈브라더스 까라마조프〉,5,너무 재미있어요,도스토예프스키의 명작 소설을 뮤지컬 무대에서 만나니 참 좋았습니다 다음에 또 보고싶어요!,2020.05.15
뮤지컬 〈브라더스 까라마조프〉,4,재밌었습니다,다음에 또 올라오면 보고 싶어요,2020.05.15
뮤지컬 〈브라더스 까라마조프〉,5,마지막이라는 게 아쉬웠던ㅠㅠ,정말 좋아하는 배우들과 정말 좋아하는 넘버인데.. 마지막공연이라 너무 아쉬웠어요ㅠㅠ.. 배우분들의 인사에도 아쉬움이 묻어나서... 같이 너무 아쉬워던 공연이었습니다ㅠㅠ 정말 좋았던 작품! 다시 볼 수 있었으면 좋겠어요!!,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,5,너무재미있어요,돌아왔으면 좋겟습니다 ㅠㅠㅠㅠ,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,5,박준휘 최고.,랄랄랄라..,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,5,굿,뭐가 더 필요합니까...브깜인데..,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,3,왜 이제 없는 건가요..,극은 엉망진창이지만 배우가 열일하는..,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,3,브라더스 까라마조프,브라더스 까라마조프,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,5,연기의신,시간이 갈스록 더 재미있었는데 마지막이라는게 너무 아쉽네요ㅠㅠ,2020.05.14
뮤지컬 〈브라더스 까라마조프〉,5,&#128077;&#127995;,&#128077;&#127995;&#128077;&#127995;&#128077;&#127995;&#128077;&#127995;&#128077;&#127995;&#128077;&#127995;&#128077;&#127995;,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,배우님들 갈수록 쫀쫀해지는 연기와 노래가 좋았습니다. 삼연에서도 그대로 만나볼 수 있기를..,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,5,최고였어요,빠른 시일 내에 다시 올라오길 바라요ㅠㅠ,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,5,브깜 돌아와ㅠㅠ,보ㅠ고ㅠ싶ㅠ어ㅠ요ㅠ,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,5,재밌어요,공연 보면서 한번도 부족하거나 아쉽다고 생각해본적이 없는것 같아요,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,5,"아, 도련님..",후기는 모르겠고 너무 그립네요... 얼른 다시 보고 싶어요..,2020.05.13
뮤지컬 〈브라더스 까라마조프〉,4,잘자랏,함께해서 힘들었고 다신 보지말자 과수원,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,나의 마지막 브라더스 까라마조프,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,끝나서 너무 아쉬워요!,삼연이 금방 오길 바랍니다 ㅠㅠ!!,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,진짜,불법아닌가요 이런극 올리셨으면 오픈런은 각오하셔야 한다고봅니다 정말마약같은극이네요 못잊겠습니다 돌려놓으세요,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,갓극입니다,이 시대의ㅇ짱극 대학로를 뒤집어놓으셨다입니다 삼연 꼭 와주세요 올때씅이반쥬니메르,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,최고의 배우들! 그리고 피아니스트도 넘 멋졌던 공연! 또 보고 싶어요~,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,최고의 배우들! 그리고 피아니스트도 넘 멋졌던 공연! 또 보고 싶어요~,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,최고의 배우들! 그리고 피아니스트도 넘 멋졌던 공연! 또 보고 싶어요~,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,최고의 배우들! 그리고 피아니스트도 넘 멋졌던 공연! 또 보고 싶어요~,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,5,잘가 내 브깜..,ㅜㅜㅜㅜ 잘가 알료샤,2020.05.12
뮤지컬 〈브라더스 까라마조프〉,4,못보내,돌아와ㅠㅠㅜ,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,1,나쁘진 않네요,근데 연출이,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,3,돌아와,왜 없어요?,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,2,재밌어요,돌아와,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,도련님의 생각이라면 전 뭐든지 다 할겁니다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,이반 도련님은 늘 옳아요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,마지막까지 즐거운 공연 만들어주셔서 좋았어요,정말 많이 본 극이었고 그날그날 새로운 공연 만들려고 한 게 보여서 보는 저도 항상 새롭게 만족하고 나온 것 같아요! 감사합니다!,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,브라더스카라마조프,좋았습니다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,배우들 너무,잘하는거 같애요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,3,까르마조프,담엔 더 의자편한곳에섲올라오길,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,2,넘버만 좋았다,넘버만 좋았다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,2,넘버만 좋았다,넘버만 좋았다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,브라더스 까라마조프,재미있었어요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,브라더스 까라마조프,즐겁게 보았던 작품이 떠난다니 너무 아쉽네요 마지막으로 관람했던 공연이었는데 오늘도 어김없이 재밌게 보았습니다. 아쉽지만 너무 잘 보고 나와서 기쁘게 보내줄 수 있을 것 같아요~,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,3,도망,도망가고싶엇다뛰쳐나가고싶었다울고싶었다ㅠㅠ,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,ㅠㅠ,잘가라 까라마형제들안녕!!!!!!!!스메르도 안녕!!!!!!!!!,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,드디어,드디어 끝났다제발 다음이 있다면 그때는 연출이 신경좀 써줬으면..,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,좋았어요~,재밌어요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,좋았어요,재미있어요~,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,재미있었어요,재밌어요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,dddddd,dddddsc,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,재미있어요,우리몸에 살고있는 폭풍 까라마조프,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,좋았어요..,좋았는데 끝나버렸네요..,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,최고,수고하셨습니다~ 얼른 돌아와주세요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,최고,수고하셨어요!!,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,다음에 오면 또 봅니다,꼭 봅니다그러니까 다시 와주세요배우님들도 다 와주세요ㅠㅠ,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,배우님들의 합이 너무 좋았어요,끝날 때 쯤 보게된 저를 원망합니다..... 생각보다 자극적인 극이였지만 배우님들의 쫀쫀한 합이 너무 좋았어요! 다시 오면 몇번을 볼 듯하네요!,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,재밌었어요,대심문관 너무 좋아요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,언제돌아오죠,자유극장앞에서 노숙하면 돌아오나...돌아와..,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,재밌었어요,막공인게 아쉬웠어요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,잘봤습니다,연기가 좋았어요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,잘봤습니다,배우들의 연기가 좋았습니다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,재미있어요,배우들 연기가 진정성 있게 전달되어서 좋았습니다,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,좋아요,좋아요,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,음.... 배우만 좋았음,기획사의 마케팅이나 상품기획은 너무너무 아쉬웠지만....... 배우들은 좋았던 공연 ost 1cd는 너무했다 배우가 몇명인데...,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,5,올때 스튜디오 3cd,빠른 시일내에 새로 만날 수 있으면 좋겠다. 배우들도 다 너무 좋은 공연!,2020.05.11
뮤지컬 〈브라더스 까라마조프〉,4,긁어보자 복권,복권 당첨당첨 복권,2020.05.11
