musical_title,rate,review_title,review_text,review_date
뮤지컬 〈블랙메리포핀스〉,5,벌써 막공이라니.. 너무 아쉬워요,빨리 또 보고싶은 마음이 계속 생기네요.. 빨리 안나의 방으로 돌아왔으면 좋겠네요ㅠ,2021.07.01
뮤지컬 〈블랙메리포핀스〉,5,굿,너무 재밌어요ㅠㅠ,2021.04.02
뮤지컬 〈블랙메리포핀스〉,5,굿,너무 재밌어요ㅠㅠ,2021.04.02
뮤지컬 〈블랙메리포핀스〉,5,너무좋았어요,5명의 배우가 꽉채우는 그무대가 너무 좋았습니다. 얼른 다시보고싶어요,2021.02.08
뮤지컬 〈블랙메리포핀스〉,5,너무 좋았어요ㅠㅠ,너무 좋았어요ㅠㅠ 꼭 돌아와...,2021.02.08
뮤지컬 〈블랙메리포핀스〉,4,4명의 아이들과 메리..,부디 행복하기를...,2021.02.08
뮤지컬 〈블랙메리포핀스〉,5,천사들,블 다시 돌아와ㅠㅠㅠ,2021.02.08
뮤지컬 〈블랙메리포핀스〉,5,내천사들 보고싶어요..,울 천사들 꼭 다시 와주세요 ㅠㅠ 혜인안나 최고!!!,2021.02.08
뮤지컬 〈블랙메리포핀스〉,5,안나의 방 존버,기다리다보면 언젠간 오겠지,2021.02.04
뮤지컬 〈블랙메리포핀스〉,5,안 돌아오면 반칙,돌아와,2021.02.04
뮤지컬 〈블랙메리포핀스〉,4,감당할 수 있는 수준의 시련만 겪을 수 있기를.,"많은 사람들의 감정을 건드리는, 아동학대를 다룬 작품.  ''블랙''이라는 수식어처럼 어둡고 힘든 내용이 있지만,  각자의 상처를 안고 살아가면서도 함께 극복해 나가려는 네 남매의 이야기가 위로가 된다.     아이들은 몰라야 할 것이 있다고 믿은 누군가의 행동으로 스토리가 진행되지만, 마지막에 ''행복하기 위해서는 불행을 기억해며 함께 간다''는 메시지로 마무리된다.  평상시 나도 ''상처와 함게 가는 것이, 같은 상황이라도 다르게 바라보는 능력을 키우며 성숙하는  것''이 중요하다고 생각했는데.... 정말 끔찍하고 아픈 경험이라면, 때로는 어느 정도 잊는 것이 필요하지 않을까 하는 생각이 작품을 곱씹으며 들었다.  적당 수준의 망각은 인생에 행복일 수도 있으니. 아동이든 성인이든 관계없이, 그 사람의 특성에 맞게, 감당할 수 있을 만큼의 시련만 겪을 수 있다면 좋겠다",2021.02.03
뮤지컬 〈블랙메리포핀스〉,5,뮤지컬 〈블랙메리포핀스〉,뮤지컬 〈블랙메리포핀스〉,2021.02.03
뮤지컬 〈블랙메리포핀스〉,5,슬프도록 아름다운 동화 속 이야기,동화 속 사남매의 아프고도 아픈 이야기 그 속에 숨겨진 따뜻함.,2021.02.02
뮤지컬 〈블랙메리포핀스〉,5,슬프도록 아름다운 동화 속 이야기,동화 속 사남매의 아프고도 아픈 이야기 그 속에 숨겨진 따뜻함.,2021.02.02
뮤지컬 〈블랙메리포핀스〉,5,시작부터 끝까지,긴장감을 놓칠 수 없어요. 안나의 방으로 곧 돌아와주길 바라요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,깊은 여운,공연이 막을 내린지 일주일이 지났는데 계속 생각나요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,감동적인 무대ㅜㅜ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜㅜㅠ  정말 최고의 공연이었습니다,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,감동적인 무대ㅜㅜ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜㅜㅠ  정말 최고의 공연이었습니다,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,감동적인 무대ㅜㅜㅠ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜㅜㅠ  정말 최고의 공연이었습니다,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,재미있어요,재미있어요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,재미있어요,재미있어요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,요나스,가 너무 귀여워요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,석나스짱,우리 요나스 언제나 행복하렴 이제,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블메포,티켓팅을 정말 여러 번 한 극으로 기억에 남을 것 같지만ㅠㅠ 좋았습니다 기회가 되면 안나의 방도 꼭 보고 싶어요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,배우들 연기가 너무 좋았습니다,극도 좋았지만 배우들 연기가 정말 좋았던것같아요. 이 조합 그대로 또 보고싶은데 극이 끝났다니 너무 아쉽네요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,안나버전이 궁금해지네요,요나스버전을 잘 봐서 안나버전은 어떨지 너무 궁금해요. 시국이 시국이라 못보게된게 아쉽네요ㅠ,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,오버츄어 진짜 너무 좋아요,그 넘버 하나에 극의 모든 내용이 들어가있는것같아요. 넘버자체도 좋고 연출도 너무너무 좋아요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,연기가 다들 진짜 좋네요,특히 한스랑 메리 연기가 너무 좋아서 푹 빠져서 봤어요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블메포,6연 기다리고 있을게요 꼭 돌아와주세요:(,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블메포,6연 기다리고 있을게요 꼭 돌아오기ㅜ,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,좋아요,좋아요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,뮤지컬 〈블랙메리포핀스〉,정말 좋은 공연이었어요! 추천합니다♥,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,뮤지컬 〈블랙메리포핀스〉,정말 좋은 공연이었어요! 추천합니다♥,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,추천합니다,배우분들 열연과 중독적인 넘버가 너무 좋았어요 오슷 나왔으면 좋겠네요ㅠㅠ,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,추천합니다,극 시작하자마자 나타난 오버츄어의 분위기와 넘버가 잊혀지질 않네요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,최고!,드림캐 최고였어요!,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,사랑해,너희는 모두 천사 세상을 구할 천사 행복해지는 주문을 외워보자...ㅠ,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,사랑해,우리 천사들,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,관람 잘 했습니다,공연 재밌게 잘 보고나왔습니다 연출이 멋지네요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,멋진 연출과 넘버,첫 오프닝 연출이 멋지고 턴테이블 연출도 멋집니다 그리고 넘버가 정말 좋았어요 어려운 시기에 다들 고생 많으셨습니다,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,진짜 좋았습니다ㅜㅜ,정말 재미있게 봤어요!,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,좋았어요,얼른 다시 보고 싶어요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,잘봤어요,잘봤습니다. 많이 보지 못해서 너무 아쉬워요. 얼른 다시 왔으면 좋겠어요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블랙메리포핀스,좋은 공연이었어요! 넘버도 너무 좋았어요!,2021.02.01
뮤지컬 〈블랙메리포핀스〉,4,안녕,또돌아와줘...,2021.02.01
뮤지컬 〈블랙메리포핀스〉,4,좋았어요,극의 구조와 스토리는 정말 좋았지만 안나의 불행이 꼭 그런 종류의 것이어야만 했는지는 잘 모르겠네요... 그 부분은 너무 낡았다고 생각했어요.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블랙메리포핀스,아이들이 행복하길 바라요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,안녕,굿바이,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,안녕,굿바이,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,천사들 안녕,다시 만나,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,블랙메리포핀스,막은 내렸지만 좋았던 극이었어요,2021.02.01
뮤지컬 〈블랙메리포핀스〉,5,좋았어요,안나의 방이 궁금햇ㅁ는데 아쉬워요다음시즌에는 꼭ㅜㅜ,2021.02.01
뮤지컬 〈블랙메리포핀스〉,4,넘버와 배우분들 연기가 정말 좋았어요.,어두운 넘버가 많았는데 그게 다 참 매력적이었어요ㅎㅎ 그리고 배우분들 연기도 정말 좋았습니다.,2021.02.01
뮤지컬 〈블랙메리포핀스〉,4,넘버가 정말 좋았습니다.,나오는 넘버마다 다 정말 좋더라구요ㅎㅎ 배우분들 연기도 좋고 무대도 심플하지만 전하고자 하는 바를 잘 전달해줄 수 있는 무대였던 것 같아요.,2021.02.01
