musical_title,rate,review_title,review_text,review_date
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,3,굿,노래나 재미 연기는 좋았지만 서사가 아쉬워요,2021.03.21
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,나 좋아하지마,나 좋아하지 말라고,2020.11.28
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재밌었어요,재밌었어요,2020.11.18
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,재미있네요,자첫자막,2020.11.16
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,좋아요,좋아요,2020.11.16
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,ㅇㅅㅇ,ㅇㅅㅇㅅㅇㅅㅇㅅㅇ,2020.11.16
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,잘 봤습니다,블러디~ 사일~런스~,2020.11.13
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,블러디 사일런스,애증 폭발 다음엔 공지도 이벤트도 그 외의 것도 준비 잘해주세요,2020.11.13
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,블러디 사일런스,애증의 존재...,2020.11.13
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블러디 사일런스,다음엔 부디,2020.11.13
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,2020.11.12
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블러디 사일런스,"짜ㅣㅇ짱 재밌었어요ㅠㅠ아쉽,..",2020.11.12
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,&#129430;,또긱 또각,2020.11.10
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,"만성절을 하루 남기고,,,,",막공때 이렇게 웃기기 있냐고요ㅠㅠ,2020.11.10
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,좋았어요,재밌는 공연이었습니다,2020.11.10
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,ㅋㅋㅋㅋㅋㅋㅋ,한참 웃다가 온거 같아요  이런 병맛느낌에 제가 끌리다니  잘 봤습니다. 배우님들 좋은 공연 열연 감사해요!,2020.11.10
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,밍주농,사랑해ㅠ,2020.11.10
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,좋았어요,좋았어요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재밌어요!,이렇게 우울한 코로나시대에 실컷 웃으먼서 볼 수 있는 작품이라 너무 좋았습니다! 또또 공연해주세요~,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블러디 사일런스,더 보고싳엇는데 끝나거 아쉬워요ㅠ,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,다음에는 큰 극장으루,와 주세요 ㅠㅠ 너무 즐겁게 봤어요!,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,독특하고 재밌어요,배우들이 노래 연기 다 잘하네요!,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다,독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재밌었어요,재연 기다릴게요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,좋았어요,다음엔 마케팅 꼭.. 제대로 해주세요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,유쾌한 공연이었어요 ㅠㅠ,배우님들의 찰떡 호흡과  경쾌한 연출  난이도 높은 넘버가 어우러진 유쾌한 뮤지컬 이었습니다.,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,독특한 내용의 작품입니다독특한 내용의 작품입니다,독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다독특한 내용의 작품입니다,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,흐르는피 잠시라도 멈출수있다면,분명 극 취향 아니라고생각했는데 황민수배우님이 너무 취향이었어요. 회차를 거듭할수록 점점 더 잘하고 많이 가져오는거때문에 재밌게 많이 봤습니다.,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,떨린다 가슴이 왜이러는걸까,"황민수, 박한근배우님 페어막이라갔는데 두분은 정말 재미있었는데 박란주배우님이... 더 잘하시는거 아는데 뭐낙 다운되보이고 코미디극에 안어울렸어요. 그러면서 애드립은 조금 과한거같았구요 그래도 전반적으로는 재미있게 보았습니다. 다들 수고 많으셨어요.",2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재미있어요,잘봤습니다,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재밌었어요,재연 기다립니다,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블사 돌아와,OST도 같이 돌아와주세요...ㅠㅠ 넘버 두고두고 듣고 싶어요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,4,언제 다시 오나요,아쉬운 점마저도 즐거웠던 블사였네요 언제 다시 볼 수 있을까요!,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블사류뱀,제목왤케김 재밌어요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,또각또각또각,뚜벅뚜벅 뚜벅....,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,오랜만에 즐거운 공연 관람했어요,오랜만에 공연보니 행복행복,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,진짜 재밌었어요 ㅎㅎ,웃겨서 너무 웃었음,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,잘했어 장류진!,잔잔한 감동과 즐거운 웃음!,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,재연!! 기다립니다,블러디 사일런스 정말 재밌었어요! 이번 시즌에 몇번 못봐서 너무 아쉬워요ㅠㅠ 재연 기다릴게요 꼭돌아와주세요,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,최고의락뮤,신나곧재밋어용,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,최고의락뮤,신나곧재밋어용,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,최고의락뮤,신나곧재밋어용,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,최고의락뮤,신나곧재밋어용,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,최고의락뮤,신나곧재밋어용,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,양승리 배우님 너무 잘하시는 것 같아요,반박안받ㅇ므,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,블러디 사일런스,최애 페어,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,총막까지 너무 재밌었어요,배꼽 튀어나갈뻔,2020.11.09
뮤지컬 〈블러디 사일런스 : 류진 더 뱀파이어 헌터〉,5,양헌식,너무잘생겼는ㄷ 너무 웃겨요,2020.11.09
