musical_title,rate,review_title,review_text,review_date
뮤지컬 〈아킬레스〉,5,아킬레스 앵콜이 왔으면 좋겠어요,아킬레스 보고싶다......잘 있니........,2021.04.01
뮤지컬 〈아킬레스〉,5,아킬레스,보고싶다,2021.02.08
뮤지컬 〈아킬레스〉,5,아킬레스야 잘지내니,돌아와줘 너 없는 댕로는 너무 허전하다,2021.02.08
뮤지컬 〈아킬레스〉,5,그립다 아킬레스,보고싶다 아킬레스,2021.02.08
뮤지컬 〈아킬레스〉,5,아킬레스,아킬레스 보고싶다,2021.02.05
뮤지컬 〈아킬레스〉,5,또 보고싶다,아킬또 보고싶다 언제와 빨리와,2021.02.05
뮤지컬 〈아킬레스〉,5,재미있게 잘 봤어요 고훈정 아킬레스 매우 잘하시고 인상적!,더 볼 수 없다는 게 아쉬운 좋은 공연이었어요,2021.02.04
뮤지컬 〈아킬레스〉,5,이미 끝났지만 정말 좋았던 공연,앵콜 공연이나 재연 빠르게 만나볼 수 있길 바랍니다 :),2021.02.04
뮤지컬 〈아킬레스〉,5,재밌어요,재밌어요,2021.02.03
뮤지컬 〈아킬레스〉,4,아킬레스,아킬레스,2021.02.03
뮤지컬 〈아킬레스〉,5,앵콜,기다릴게요 ㅠ,2021.02.02
뮤지컬 〈아킬레스〉,5,앵콜 기다립니다,ㅠㅠㅠㅠㅠㅠ 꼭 그대로 다 돌아와주세요,2021.02.02
뮤지컬 〈아킬레스〉,5,앵콜..혹은 재연..뭐라도...,꼭 돌아와주세요 이대로 못보낸다 ㅠㅠㅠㅠ,2021.02.02
뮤지컬 〈아킬레스〉,5,많은 생각이 들게하는 극. 좋은 넘버.,공연을 보면서 정말 많은 생각을 하게 되었습니다. 락 넘버들도 진짜 좋았아요. 시국이 이래서 함께 즐기지 못한 시간들이 너무 아쉽네요. 꼭 다시 올려주세요,2021.02.02
뮤지컬 〈아킬레스〉,5,다시 돌아와 노래해줄 날만 기다려요,아킬레스는 다시 돌아올 거라 믿어요,2021.02.02
뮤지컬 〈아킬레스〉,5,이 극과 저는 벽이 있어요,"완벽이란 벽,,,진짜 사랑했다 아킬레스",2021.02.01
뮤지컬 〈아킬레스〉,5,아쉬워요 커튼콜ㅠㅠ,소리지를수 있는 날에 다시 오기를,2021.02.01
