musical_title,rate,review_title,review_text,review_date
뮤지컬 〈알렉산더〉,5,최고의 공연,삶과 죽음에 대해 돌아볼 수 있는 좋은 공연이었습니다.,2020.07.16
뮤지컬 〈알렉산더〉,5,한껏 울고 나온 극,"마지막 공연이라 그랬을까요, 이 날 처럼 운 적이 없는 것 같아요. 손지애, 김이후 배우님을 알렉산더에서 더이상 볼 수 없다니ㅠㅠ앵콜로 꼭 돌아오시길 바라요!",2020.07.13
뮤지컬 〈알렉산더〉,5,따뜻한듯 잔인한,인간이 참 나쁘다는 생각이 들었어요.,2020.07.13
뮤지컬 〈알렉산더〉,5,인생은 서커스,날마다 서커스빨리 재연와서 또 날마다 서커스였으면 좋겠어요이후알렉 꼭 돌아와ㅜㅠㅠ,2020.07.13
뮤지컬 〈알렉산더〉,5,난 달릴 수 있어,인류애 파사삭 행복해 알렉산더,2020.07.13
뮤지컬 〈알렉산더〉,5,끝났다ㅠ,ㅠㅠㅠㅠㅠ 안녕,2020.07.13
뮤지컬 〈알렉산더〉,4,알렉산더 사랑해,알렉산더 사랑해... 내가 보고싶다ㅠㅠㅠㅠ,2020.07.13
뮤지컬 〈알렉산더〉,5,알렉산더,"보는 동안 행복했고, 또 보았으면 합니다.",2020.07.12
뮤지컬 〈알렉산더〉,5,찾아보는 알렉산더,기대 이상이었습니다,2020.07.11
뮤지컬 〈알렉산더〉,5,알렉산더,다시 보고 싶은 알렉산더,2020.07.11
뮤지컬 〈알렉산더〉,5,알렉산더,다시 보고 싶은 알렉산더,2020.07.11
뮤지컬 〈알렉산더〉,5,막공이라니ㅜㅜ,이 페어로만 알렉산더를 관람하였는데 볼 때마다 이 페어가 주는 힘과 감동이 있어서 너무 잘 봤습니다 알렉산더... 가지마...,2020.07.10
뮤지컬 〈알렉산더〉,4,잘봤어요,재밌었어요,2020.07.09
뮤지컬 〈알렉산더〉,5,너무 좋고 아쉬워요,다음에 또 돌아오길 바랍니다,2020.07.09
뮤지컬 〈알렉산더〉,5,알렉산더,돌아와 지애이후 ㅠ,2020.07.09
뮤지컬 〈알렉산더〉,5,알렉산더,또 보고 싶어요!!,2020.07.09
뮤지컬 〈알렉산더〉,5,사랑했어요...,우리세살짜리 말과  열두살짜리 염소...근데...이제 없어여ㅠㅜ,2020.07.09
