musical_title,rate,review_title,review_text,review_date
뮤지컬 〈차미〉,5,나를 위로하는 시간,"보는 내내 따뜻했고 유쾌했으며, 용기를 주었습니다",2021.02.22
뮤지컬 〈차미〉,5,올 해 가장 유쾌했던 공연,웃고 울었던 한 편,2020.11.20
뮤지컬 〈차미〉,5,유쾌한 공연,재밌었습니다. OST 발매를 기다리게 되는 공연.,2020.08.10
뮤지컬 〈차미〉,5,생각보다 좋았어요,즐겁게 관람했습니다,2020.07.30
뮤지컬 〈차미〉,5,최고 ㅠㅠ,차미 재연 어디쯤...? 곧 돌아올거죠?!?!?!ㅠㅡㅜ,2020.07.27
뮤지컬 〈차미〉,5,다시보고싶어요!!,진짜 재밌는거같아요!!신선하고 좋아요~~,2020.07.27
뮤지컬 〈차미〉,5,이거보고난뒤 잊지못하는,보고 또 보고싶은 작품인데 못봐서 너무 슬퍼요ㅠㅠ 또 올려주시면 꼭 보러가겠습니다ㅠㅠ,2020.07.20
뮤지컬 〈차미〉,5,차미,완벽한 막공이었습니다. 아진미호 우연차미 순종고대 성일진혁 보고싶을거에요ㅠㅠㅠ,2020.07.20
뮤지컬 〈차미〉,5,차미,행복했어요~ 다시 돌아와줘 차미... 어딜가... 깨물하트 장인 아진 배우님! 다들 너무 수고하셨습니다ㅠㅠㅠ,2020.07.20
뮤지컬 〈차미〉,5,차미,말그대로 차~~~미한 공연 너무유쾌하고 즐거워요,2020.07.20
뮤지컬 〈차미〉,5,전체적으로 너무 좋았습니다,실황 실시간으로 보고 가서 보고싶어서 잡았는데 다들 너무 잘해주셔서 감사했어요 ㅋㅋㅋ 애드립도 빵빵터졌구 더 보고싶었는데 세미막이여서 아쉬운 마음이였지만 다음에 또 올려주시리라 믿고 저는 존버해보겠습니다 !! 강영석배우님 5진혁 5래5래...해주세요....티비 속에서 나온 백마탄 왕자님 잊지모다구있어요.....,2020.07.20
뮤지컬 〈차미〉,5,차미 최고,재연 기다립니다 안지환 배우님이 또 오시면 좋겠어요,2020.07.18
