musical_title,rate,review_title,review_text,review_date
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),1,왜 유명한지 몰겠음,"스토리도 없고, 뮤지컬 보면서 졸았어요",2021.06.03
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,인생 뮤지컬!,완전 앞자리에서 봐서 더 몰입되고 좋았어요,2021.04.22
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,예전만못함,예술의전당때가 더좋았어요감동부족...ㅠ,2021.03.27
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,좋았어요!,안무와 노래가 좋았어요!!너무 기대를 많이해서 조금 아쉬웠네요ㅠ,2021.03.03
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!,너무 너무 좋았어요!! 이번 년도도 2번이나 관람!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시는 역시!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시는 역시!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시는 역시!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,역시!!!,캣츠 뮤지컬 몇 번을 봤나. 모르겠네요. 역시는 역시!!!,2021.01.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,정말 멋진 공연 :),"뒤늦게 생각나서 써봐요!정말 고양이 같은 섬세한 동작들과 표현력에 감탄했고, 음악이 좋았어요!",2020.12.28
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,잼나게 봤습니다.,무대가 좀다 다양했으면 좋았겠다는 아쉬움 빼고요..,2020.12.27
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,3시간동안 멋진 음악 들으며 고양이 구경하기,무대 위 배우들이 정말 고양이로 보여서 귀엽고 사랑스럽고 멋있고 다 합니다. 3시간동안 행복한 음악을 들으며 귀여운 고양이를 보고 또 소통할 수도 있는 황홀한 기회. 놓치지 마세요!,2020.12.19
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,좋았어요,추천합니당,2020.12.15
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,재밌었습니다,너무 잘 보고 왔습니다,2020.12.14
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,최고에요,너무 재밌었습니다,2020.12.14
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,봐도봐도 재밌음,너무재밌고넘버좋아요,2020.12.14
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,고양이들이 노래부르면서 자기소개 하는데,2시간이 넘게 걸림,2020.12.09
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,memory의 향연~~,memory 역시 인상적이었습니다.  고양이들의 표정과 행동을 너무 잘 묘사해줬어요.  다음에 기회되면 또보고싶습니다,2020.12.09
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,재밌었어요,너무 짱짱입니다 ㅎㅎ,2020.12.08
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,"배우들과 교감하는 느낌,","웨스트엔드를 비롯한 전 세계의 공연장들이 코로나19로 문을 닫고 공연을 올릴 수 없는 상황에 배우들이 연기할 유일한 무대인 한국에서, 세계적인 배우들의 연기를 볼 수 있어서 더욱 뭉클했어요  배우들도 관객들도 같은 마음이었을거라 생각해요",2020.12.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,최고의 뮤지컬인듯,"뮤지컬 중에서도 단연 최고의 즐길 거리를 제공하는 뮤지컬, 즐길 거리가 너무 많아 눈과 귀가 바쁜 뮤지컬이에요  특히, 고양이들의 군무가 굉장히 인상적인데  눈을 깜빡이는 시간도 아까울 만큼 멋있고 재미있었어요",2020.12.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),5,황홀그자체,노래 움직임 배우들 완벽,2020.12.07
뮤지컬 〈캣츠〉 40주년 내한공연 - Seoul (Musical CATS),4,볼때마다 좋다!!,매번 캣츠 내한공연을 빠짐없이 3~4번 보고있지만 이번공연이 뭔가 젤 아쉬움이 큰거같다. 내한공연의 특성이 그날 배우님들 컨디션에 따라 캐스팅이 조금씩 바뀌긴 하지만 관객입장에선 뭐 조금 아쉬운건 사실이다. 그 배우보러 가신 관객들도 있을텐데 못보니 아쉬울 수밖에.. 앙코르 공연은 아쉬움없이 완벽했으면 좋겠다. 코로나상황에서 안전하게 공연을 올리고 볼 수있어서 행복합니다.^^,2020.12.07
