musical_title,rate,review_title,review_text,review_date
뮤지컬 〈풍월주〉,5,풍얼쭈,또올려주세요아라쪄,2020.10.26
뮤지컬 〈풍월주〉,5,풍월주우욱어도 못 보내,"풍월주 총막은 이번 시즌 레전드 페어인 석준열과 준휘담이라서 당연히 티켓팅 쉽지 않을 줄은 알았다. 2층으로 가게 되더라도 입장권만 있으면 감사하겠다고 생각했는데, 다행히 1층 맨 뒷줄 자리를 얻었다- 대신라 선조님들, 저에게 오연 풍월주를 플뷰부터 보게 하시고 회전 돌게 하고 폴라도 점지해 주시고 총막 자리까지 하사하여 주셔서 감사하고 이 은혜를 잊지 않겠다고 제사라도 올리고 싶을 정도였다~ 사이드라도 항상 10열 이내로만 앉다가 맨 뒷자리에 앉으니 역시 운루와 거리감이 느껴지긴 했지만, 기적의 아트원 1관은 진짜 어디 앉아도 시야가 좋아서 나름 보일 것은 다 보였다! 그리고 배우분들 감정선도 최고라서 공연 할 때마다 레전드를 찍는 석쥬니 페어가 총막에 진짜 대레전을 찍으셨으니 정말 풍월주우욱어도 못 보낸다고요; 멀어서 얼굴 표정 자세히 보이지는 않았어도 석준열 앞날에서부터 울먹거리는 소리가 다 들렸다... 그리고 담이의 대사 ""열아, 너는 왜 풍월이 됐어? 나한테 한번도 얘기한 적 없었잖아"" 이거를 원래는 담이가 서랍(?) 앞에 쪼그리고 앉아서 열이 뒷모습을 보고 말하는데, 준휘담이 앉아있는 열이를 서서 가만히 내려다 보다가 술취꿈맆 때처럼 열이에게 기대어서 말하는데 그것도 울음이 말소리에 배어 있어서 그 장면 보면서 진짜 머리 깰 뻔 했다.ㅠㅠㅠㅠㅠㅠ 연기 대천재들 석쥬니 페어 6연에도 돌아와 주세요, 제발.^^",2020.09.03
뮤지컬 〈풍월주〉,4,"잘 가, 금강산으로.","노래도, 음식도, 한 가지만 계속 하다 보면 쉽게 질리는 편이라서 회전을 많이 돌지는 않는다. 그런데 올해 풍월주는 프리뷰 공연부터 세게 치이고, 자둘 때는 거의 오열을 했어서 결국 회전돌게 되었다- 그리고 총막 전의 마지막 관람이자, 자첫 페어인 석준열, 현진담으로 보는 마지막 회차였다; 운 좋게도 공연 전날에 극사이드이기는 하지만 1열을 예매하게 되어서 행복했다~ 객석 기준 오른쪽 사이드이다 보니 관람 전부터 기대를 했던 것이 열이가 진성 여왕의 발을 닦아주는 장면! 극사이드였기 때문에 그 장면도 완전 정면에서 볼 수는 없었지만, 그 전에 열이가 진성의 새를 달래려고 휘파람을 부는 장면에서 심멎사하는 줄 알았다... 석준열 그 큰 키를 숙여서 새에게 눈 맞추고 휘파람 불어서 달래는 것도 왜 그렇게 스윗할 일인지.ㅠㅠㅠ 열이랑 담이도 금강산 가서 잘 살았으면 좋겠지만, 운장과 진성 여왕도 백두산 가서 잘 살았으면 좋겠다.^^",2020.09.02
뮤지컬 〈풍월주〉,3,신라가 아니라 남극인 줄...,"폴라데이라서 금요일부터 3일 연속으로 풍월주를 보았다. 그리고 석준열 준휘담 페어 위주로 돌다 보니 동현담 회차는 처음이었다- 이번에도 자리는 별로 좋지 못해서 사이드이기는 했지만, 아트원 1관 워낙 기적의 시야인데다가 풍월주 무대 자체가 시야방해가 별로 없는 구조라서 잘 보였다~ 문제는 여기가 신라인지 남극인지 모를 정도로 너무 추운 아트원 1관의 냉방; 전날에 깜빡하고 가디건을 안 들고 간 바람에 가방 뒤에다 팔을 꽁꽁 숨겨서 잔뜩 웅크린 채 봤는데, 가디건을 챙겨 갔는데도 불구하고 너무 추워서 여전히 힘들었다... 물론 무대에 오르는 배우분들은 긴 옷을 겹겹이 입으시고 조명도 받아야 해서 더울테지만, 가만히 앉아서 관극하는 입장에서는 그 온도가 너무 적응이 안 된다고요! 뭐, 역시나 공연은 나쁘지 않았고 폴라도 잘 뽑아서 괜찮았지만 평소보다 몰입이 덜 되었던 것 같다.ㅠㅠ 어쨌든 나쁘지 않은 수확의 폴라 위크였다.^^",2020.08.28
뮤지컬 〈풍월주〉,3,술에 취한 꿈,"머글인 후배와 함께 관람을 했는데, 한 장씩 따로따로 예매를 해서 후배의 후기를 따로 쓴다. 이 후배는 뮤지컬을 거의 본 적이 없었는데 지난번에 난이도 높은 렌트를 데리고 가서 조금 미안했다- 그래서 그나마 풍월주는 과거이기는 해도 우리나라 배경이고 가사도 어렵지 않으니 괜찮을 것 같았다~ 그런데 렌트와 마찬가지로 풍월주까지 가사를 알아듣기 어려웠다고 해서 당황스러웠다; 그리고 폴라데이다 보니까 좋은 자리가 없어서 앞쪽이기는 해도 사이드 자리를 줬더니 목이 아팠단다... 이 후배가 뮤지컬 보려는 의욕은 있는데, 취향과 눈높이에 맞는 뮤지컬을 어떻게 찾아줄지 고민이다.ㅠㅠ 그래도 담이의 첫 넘버는 좋았다고 해서 제목이 ''술에 취한 꿈''이라고 알려주었다! 폴라데이라서 일부러 데려가서 비싼 저녁 먹이고 폴라와 도장을 받은 것인데, 폴라는 내 것과 중복된 배우님이 나왔다.^^",2020.08.27
뮤지컬 〈풍월주〉,4,처음 그 느낌처럼,"자첫을 석준열과 현진담으로 했었는데 자둘을 석준열과 준휘담으로 관람한 이후에 계속 그 페어만 골라서 관람을 하고 있었다. 그러고는 오랜만에 현진담으로 보는 것이었는데, 오열하던 자첫의 추억을 떠오르게 했다- 현진담의 디테일 중 좋아하는 것이, 너가길 첫 소절 부르기 전에 열이 이름을 손으로 허공에 써 보면서 횟수를 세고 마지막에 뛰어내리기 전에 ''열''이라고 마지막 획을 부르며, 열이 이름을 부르며 뛰어 내리는 것이었다~ 정말 마음 아프고 슬픈 장면인데 한동안 그 디테일을 잊고 살다가 오랜만에 보니 가슴이 무너져 내렸다; 김현진, 당신이란 사람 정말로 저한테 이러시기 있나요... 원래는 다음 날의 동현담 회차도 처음으로 보고 막공 석준열 준휘담 페어로 자막하려고 했는데, 결국은 현진담 한번 더 보고 싶어서 또 예매를 하게 만든 레전드 회차였다! 그런데 정작 문제는 가디건을 깜박하고 안 챙겨 갔더니 공연 내내 너무 추웠던 아트원.ㅠㅠㅠ 제발 다음부터는 온도 조절 좀 적당하게 해 주셨으면 좋겠습니다.^^",2020.08.18
뮤지컬 〈풍월주〉,5,행복하게 마무리했습니다.,너무 좋은 공연보여주셔서 감사합니다!,2020.08.17
뮤지컬 〈풍월주〉,5,풍월주6연,율열절대돌아와ㅠ,2020.08.17
뮤지컬 〈풍월주〉,5,재밌어요!!,극 자체가 너무 웰메이드네요ㅠㅠ잘 봤습니다!,2020.08.17
뮤지컬 〈풍월주〉,4,풍월주,내 두 눈에 눈물만 흐르고 있는데...,2020.08.17
