musical_title,rate,review_title,review_text,review_date
베어 더 뮤지컬(bare the musical),5,임휘,정말 많은 생각을 하게된 작품이였도 최애 뮤지컬 !!!,2021.07.22
베어 더 뮤지컬(bare the musical),5,학생들의 방황을 잘 그려낸 작품,"학생들의 방황을 그려낸 최고의 작품입니다. 학생들이 고민하는 하나하나가 다 마음 아프게 느껴졌어요,,잘자, 제이슨.",2021.03.08
베어 더 뮤지컬(bare the musical),5,학생들의 방황을 잘 그려낸 작품,"학생들의 방황을 그려낸 최고의 작품입니다. 학생들이 고민하는 하나하나가 다 마음 아프게 느껴졌어요,,잘자, 제이슨.",2021.03.08
베어 더 뮤지컬(bare the musical),5,굿굿,재밌어요ㅠㅠ 배우들 연기도 굿이고 장난없어요,2021.03.03
베어 더 뮤지컬(bare the musical),5,진짜 사랑하는 극,너무 사랑하는 극이에요,2021.01.25
베어 더 뮤지컬(bare the musical),3,괜찮았어요,저한텐 감정선이 좀 안 맞긴 했는데 그래도 한 번쯤 보면 좋은 뮤지컬 같습니당! 피터와 제이슨의 사랑을.. 응원합니다ㅠ.... 서브 커플들이 너무 귀여웠어요ㅋㅋㅋㅋ,2021.01.15
베어 더 뮤지컬(bare the musical),3,자꾸 귀를 울리는 넘버들,"어린시절의 방황같은것들이 남긴 줄거리라, 순간마다 저의어릴때가 생각나더라구요. 극이 길고, 넘버들잊너무 많아서 피곤한극이긴했어요. 줄거리자체는 로미와 줄리엣등 과 어우러져 아름답긴했습니다. 문성일배우는 감수성이 풍부한 배우라.. 피터와 찰떡이였어요. 다시한번 보고싶네요",2020.11.14
베어 더 뮤지컬(bare the musical),4,페어는 상당히 중요,노래를 잘 부르고 연기를 잘해도 페어가 주는 짜릿함이 있다. 페어는 매우 중요함,2020.10.28
베어 더 뮤지컬(bare the musical),5,베어 오연 시급,베어 오연 시급하다ㅠ 21년에 와주세요,2020.10.24
베어 더 뮤지컬(bare the musical),5,베어 오연 시급,베어 오연 시급하다ㅠ 21년에 와주세요,2020.10.24
베어 더 뮤지컬(bare the musical),5,언제나 그랬듯 피터 널 사랑해,돌아와..(˘???ε˘??),2020.10.19
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,5연 올 휘핕 구함,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,돌아와 돌아와 다시 돌아와,2020.10.10
베어 더 뮤지컬(bare the musical),5,돌아와,돌아와줘요........휘핕.....,2020.10.02
베어 더 뮤지컬(bare the musical),5,돌아와,돌아와줘요........휘핕.....,2020.10.02
베어 더 뮤지컬(bare the musical),5,돌아와,돌아와줘요........휘핕.....,2020.10.02
베어 더 뮤지컬(bare the musical),5,얼른 다시 와줬음 좋겠네요,베어ㅠㅠ 너무 사랑하던 작품... 오연 와줬음 좋겠어요ㅠ,2020.09.28
베어 더 뮤지컬(bare the musical),5,얼른 다시 와줬음 좋겠네요,베어ㅠㅠ 너무 사랑하던 작품... 오연 와줬음 좋겠어요ㅠ,2020.09.28
베어 더 뮤지컬(bare the musical),5,얼른 다시 와줬음 좋겠네요,베어ㅠㅠ 너무 사랑하던 작품... 오연 와줬음 좋겠어요ㅠ,2020.09.28
베어 더 뮤지컬(bare the musical),5,얼른 다시 와줬음 좋겠네요,베어ㅠㅠ 너무 사랑하던 작품... 오연 와줬음 좋겠어요ㅠ,2020.09.28
베어 더 뮤지컬(bare the musical),5,얼른 다시 와줬음 좋겠네요,베어ㅠㅠ 너무 사랑하던 작품... 오연 와줬음 좋겠어요ㅠ,2020.09.28
베어 더 뮤지컬(bare the musical),5,지금부터 기다립니다,5연...가다립니다,2020.09.28
베어 더 뮤지컬(bare the musical),5,지금부터 기다립니다,5연...가다립니다,2020.09.28
베어 더 뮤지컬(bare the musical),5,지금부터 기다립니다,5연...가다립니다,2020.09.28
베어 더 뮤지컬(bare the musical),5,기다릴께요,5연 기다립니다...,2020.09.28
베어 더 뮤지컬(bare the musical),5,내 총막 내놔,"베어를 보내줄 마음의 준비도 못한 채 떠나보내야 했던 마음을, 너는 알까?",2020.09.22
