,musical_title,rate,review_title,review_text,review_date
0,아가사 AGATHA,5,재밌었어요,재밌었어요,2022.03.16
1,아가사 AGATHA,5,재밌어요 감동적임,또 와주세요 아가사,2021.12.07
2,아가사 AGATHA,1,이정화 빼고 다 좋았다!!!!,문젠 이정화가 주인공이라는 사실이지... 아오~ 빡쳐!!!!!!,2021.11.29
3,아가사 AGATHA,1,와.... 진짜... 이정화 무대 하지 마라....,아가사 초연 부터 좋아 하면서 돌던 극인데... 진짜 아가사 캐릭터 해석 이렇게 거지 같이 해 온 배우 첨 봄... 다른 배우들 하는거 안 봄?  아가사에 관해 공부 안 함? 그녀에 대해 기록 된 책만 봐도 연기 그렇게 못 했겠다... 진짜... 너무 빡쳐서 공연 중간에 나가고 싶었음...,2021.11.29
4,아가사 AGATHA,5,아가사,짱! 최고 인생극,2021.11.29
5,아가사 AGATHA,4,조명 맛집 뮤지컬,추리소설 기반이래서 내 취향은 아닐 것 같다고 생각했는데 내 취향이었음 이래서 사람은 다 주워먹고 봐야,2021.11.29
6,아가사 AGATHA,5,중독성 있는 넘버가 가득한 아가사,중독성 있는 넘버가 가득한 아가사~  빨리 돌아와요 끝까지 쫒아갈꺼야~~,2021.11.27
7,아가사 AGATHA,5,아가사 아가사 아가사,중독성 있는 넘버가 가득한 아가사~  빨리 돌아와요,2021.11.27
8,아가사 AGATHA,4,재밌어요~~,배우님들 훌륭한 연기와 노래로 잘 보고 왔습니다.,2021.11.26
9,아가사 AGATHA,5,아가사가 갔네요,빨리 삼연 다시 보고싶어요,2021.11.24
10,아가사 AGATHA,5,잘봤어요,근 시일내 얼른 또 올라왔으면 좋겠어요.,2021.11.24
11,아가사 AGATHA,5,범로이....,너무 좋아요.... 네안의독.......,2021.11.23
12,아가사 AGATHA,5,아갓사 삼연,갓극은 빨리 돌아와야되는 법이 있어요,2021.11.23
13,아가사 AGATHA,5,너무 좋았다.,아가사랑 로이 행복해라,2021.11.22
14,아가사 AGATHA,5,아가사,끝나기전 페어막으로 자첫을 한 어리석은 사람 그게 나예요 ost라도 나와서 다행이다~!!,2021.11.22
15,아가사 AGATHA,5,정말 재미있었습니다,다음에도 꼭 다시 돌아오길 바라는 공연입니다,2021.11.22
16,아가사 AGATHA,5,경수로이 사랑해요,너무 좋아요 경수로이 진짜 아 말로 표현할 수 없을정도로 좋아해,2021.11.22
