,musical_title,rate,review_title,review_text,review_date
0,비틀쥬스,3,정성화배우..,팬심으로 결정한 작품 정성화는 매력적,2022.01.07
1,비틀쥬스,4,초연의 재미,재밌었어요! 누구나 이뮤지컬을 즐길 수 있어요!,2021.11.29
2,비틀쥬스,5,무대연출이 정말 환상적이었어요,추천해요~~ 무대연출이 정말 환상적이었어요 미술과 음악 연출 모든것이 훌륭해요,2021.09.07
3,비틀쥬스,5,굿,좋아요오오오오오오오ㅗㅇㅇ,2021.09.06
4,비틀쥬스,5,매우 좋았어요,훌륭한 무대 였습니다정성화 배우 역시 정성화 입니다,2021.09.01
5,비틀쥬스,5,초연 배우 데리고 재연 빨리..,"정비틀, 민제리디아, 신델리아 최고의 캐스팅이었어요!!! 꼭 다시 재연에서 만나고 싶어요ㅠ_ㅠ",2021.08.27
6,비틀쥬스,5,신나는 뮤지컬이에요,진짜 간만에 신나게 즐기고 온것같아요!!얼른 또 다시 돌아오길 바래봅니다!,2021.08.27
7,비틀쥬스,5,볼거리 화려하고,연기도 넘 좋았습니다유준상 홍나현 페어로 보았는데 기대 이상이였고넘버들도 넘 좋았어요좀 길게했음 한번 더 볼뻔 했는데 상영기간이 아쉬웠어요,2021.08.26
8,비틀쥬스,5,끝났는데 뒷북처럼,올리는 관람후기 룰루랄라 즐거운 관극,2021.08.23
9,비틀쥬스,5,총막이란게 아쉬울정도로,너무재밋엇어요 기간이너무짧앗어요ㅠ 재연꼭왓우면좋겟습니다,2021.08.23
10,비틀쥬스,4,비틀쥬스,넘 잼있어요,2021.08.22
11,비틀쥬스,5,오랜만에 신나는 후기!!,"너무나 흥미롭고 즐거운 공연이었어요!! 유령이야기답지않게 가족간의 이야기와 위로, 극복에 대한 공연이었습니다",2021.08.22
12,비틀쥬스,4,비틀쥬스,코로나로 몇번의 취소를 경험하며 힘들게 본 뮤지컬.넓고 화려한 무대에서 최선을 다해 연기하는 배우님들 덕분에 소중한 추어ㄱ쌓고 왔습니다.,2021.08.21
13,비틀쥬스,5,자본주의 짱 짱잼 뮤지컬,무대 너무 예뻐요! 돈 많이 썼다고 생색만 내는 뮤지컬 보다가 찐 자본주의 뮤지컬 보니까 너무 좋네요!,2021.08.18
14,비틀쥬스,5,21세기 뮤지컬!,이렇게 현재 시대를 함께 사는 듯한 뮤지컬은 처음인 거 같아요 원작 영화와는 꽤나 다르지만 훨씬 유쾌하고 귀여운 극입니다! 재연이 빨리 올라왔으면 좋겠어요!,2021.08.18
15,비틀쥬스,4,화려한 무대,독특한 형식과 캐릭터로 호불호가 갈릴 순 있겠으나 배우들의 열연이 돋보였습니다.,2021.08.18
16,비틀쥬스,5,최고였어요!!!,개인적으로 이런 코메디 공포 별로 좋아하지 않는데 무대디자인에 관심이 많아서 한번 봐야겠다고 생각했어요. 생각보다 아주 재미있었어요! 얼마전에 뮤지컬 팟캐스트 들었을때 평소 뮤지컬을 좋아하지 않는 사람들도 비틀쥬스를 좋아한다고 들었어요. 그래서 많이 기대됐는데 결국 와.. 난 비틀쥬스가 특별한 뮤지컬이라는 걸 깨달았어요. 역시 캐스팅 완벽하네요! 정성화배우님 애드리브로 끝없이 웃게 만들었어요. 그리고 신영숙배우님의 매력이 끝이 없다! (엑칼 모르가나 넘 좋아해서 델리라로 밝은 모습을 보는 건 신선했어요~),2021.08.17
17,비틀쥬스,5,최고!!,재연을 애타게 기다립니다.,2021.08.17
18,비틀쥬스,5,조아요,신나고 재밋어요 지루할틈없음아쉬운건 무대가 너무 넓고 스토리전개가 너무 빠름,2021.08.17
19,비틀쥬스,5,우여곡절끝에 본 비틀쥬스,몇번이나 취소되면서 재예매의 늪에 빠져 포기할까했지만 언제 또 이런 화려한 극을 볼까 싶어서 포기하지않았는데 그러길 잘했네요 무대 보면서 저래서 공연이 미뤄졌구나 싶은 연출이었습니다. 유리아배우님의 사랑스럽고 따뜻한 바바로 비틀쥬스 시작이자 마무리 할 수 있어서 좋았습니다,2021.08.17
20,비틀쥬스,5,빨리 돌아와요 비틀쥬스~~~,오래 기다리게 하지말고 얼른 돌아와줘요~~~!,2021.08.16
21,비틀쥬스,5,엠디할인권으로 물품 잘 샀습니다~!,선예매 우대와 엠디할인권까지~!비록 첫공이 좋은 앞자리 놓쳐서 아쉬웠지만 엠디할인권 주셔서 잘 사용했습니다~틴케이스는 다시 재입고 되었으면 좋겠어요ㅠㅠㅠ못산게 한입니다ㅠㅠㅠ,2021.08.16
22,비틀쥬스,5,못보는 줄 알았던 비틀쥬스!,두 번이나 미뤄지고 코로나단계가 높아져서 이번에 못보는거 아닌가 걱정했었는데 보자마자 걱정이 싹 사라지게 만들었던 공연이였습니다!!,2021.08.16
23,비틀쥬스,5,비틀쥬스 비틀쥬스 비틀쥬스~!,비틀쥬스 최고!!!,2021.08.16
24,비틀쥬스,5,너무 재밌는 비틀쥬스!!!,다시 보고싶습니다ㅠㅠㅠㅠ,2021.08.16
25,비틀쥬스,5,비틀쥬스 짱잼!!!!,중독성 쩔어버리는 넘버들ㅠㅠㅠㅠ갓상블들과 배우들의 연기까지!!!꼭 빨리 돌아와주세요~~~~!짧게해서 너무 아쉽습니다ㅠㅠㅠ,2021.08.16
26,비틀쥬스,4,잘봤어요,잘봤습니다.,2021.08.16
27,비틀쥬스,5,재밌었어요,재밌었어요 공연기간이 너무 짧아서 슬프네요,2021.08.16
28,비틀쥬스,5,재미있었습니다.,언제 브로드웨이 뮤지컬을 보겠나 싶어서 봤는데 너무 재밌었습니다. 재연 기다립니다.,2021.08.16
29,비틀쥬스,5,신나는 뮤지컬,막공 바로 전날 본 게 넘 아쉽다 미리 봤으면 다른 캐스팅들도 보고 좋았을 듯,2021.08.16
30,비틀쥬스,5,즐거운 공연이었습니다,화려한 무대와 배우들의 열정적인 모습까지 즐거웠습니다,2021.08.16
31,비틀쥬스,5,즐거운공연이었습니다,화려한 무대와 배우들의 열정적인 모습까지 즐거운공연이었습니다,2021.08.16
32,비틀쥬스,5,재밌어요,재예매를 몇 번씩 다시하고 어렵게 간 공연인데 재밌게 잘 보고 왔습니다.,2021.08.16
