,musical_title,rate,review_title,review_text,review_date
0,캣츠,5,최고,공연장은 생각보다 조금 작은 느낌이었지만 공연 너무 잘 봤어요!,2021.05.10
1,캣츠,5,뮤지컬 캐츠,역시 최고의 공연이었습니다,2021.04.29
2,캣츠,5,공연 너무 좋았어요,생각보다 공연장은 작았고 2층 1열 앞 난간이 시야를 좀 가렸지만공연은 너무너무 좋았습니다!! :),2021.04.22
3,캣츠,5,공연 너무 좋았어요,생각보다 공연장은 작았고 2층 1열 앞 난간이 시야를 좀 가렸지만공연은 너무너무 좋았습니다!! :),2021.04.22
4,캣츠,5,공연 너무 좋았어요,생각보다 공연장은 작았고 2층 1열 앞 난간이 시야를 좀 가렸지만공연은 너무너무 좋았습니다!! :),2021.04.22
5,캣츠,5,행복한 시간,정말 오랜만에 멋진 공연 좋았어요,2021.04.16
6,캣츠,5,너무좋아요  .... 네번봣음,어흑흑 돌아와 부산으로,2021.04.13
7,캣츠,3,캣츠 내한공연,어머니 보여드리려고 끊었는데 오유의 감동까진 아니었다네요ㅎ,2021.04.13
8,캣츠,4,관람후기,VIP 11열 38/39번 원하는 자리는 아니지만 그나마 나은 자리구한게 여기서 예매했어요 우측 통로 쪽이라 배우들이 지나가는 자리라 마음에 드네요 재미있었네요- 원낙 유명한 노래를 깔고 가니.... 울컥 무대의 다양성은 조금 기대이하네요...처음부터 끝까지 똑 같은 무대배경 조명의 색깔차이만 주는..... 고양이들의 율동에 집중하려는 의도인지는 모르겠지만 스토리에 대한 이해도 두세번 봐야 가능할 듯.... 만족합니다.,2021.04.09
9,캣츠,5,정말 생애 한 번은 꼭 봐야하는 뮤지컬!!,세계 4대 뮤지컬인 <캣츠> 내한공연을 정말 기다렸었어요 지방에 살아서 서울공연만 하는 줄 알고 조금 아쉬웠었는데 부산 공연이 생겨서 당장 티켓 예매했어요ㅎㅎ 마냥 재밌는 내용만 있는 줄 알았는데 뮤지컬 마지막쯤에 교훈과 감동이 저한테 크게 다가왔어요 저도 고양이를 키우고 있는 집사여서 공감도 되고 뮤지컬 자체가 눈을 뗄 수 없는 무대였어요 무대 중간 중간 배우들의 한국어도 들을 수 있어서 조금 더 친숙했어요 뮤지컬 <캣츠>를 못 보신 분들은 꼭 한번쯤은 보시길 추천드려요!! 배우분들 수고 많으셨습니다^^,2021.04.09
10,캣츠,5,글로 표현이 안되요,"캣츠 오리지널팀과 같은 공간에 숨결을 같이 할 수 있다는것만으로도 영광이였고,공연은 당연 최고최고 였죠!",2021.04.07
11,캣츠,5,고양이들의 세상 ''캣츠'' 관람후기,친구가 보고 왔길래 예전에 뮤지컬을 자주 보러다녔을 때가 생각나 오랜만에 보는 뮤지컬로 캣츠 내한공연을 선택하였다. 오프닝을 할때 오랜만에 보는 공연장의 느낌과 웅장한 음악에 너무 감동을 먹어 눈물이 날뻔 했다. 내용이 쉽고 무대가 너무 아름다워서 가족단위로 와서 보아도 정말 보기 편한 뮤지컬이라고 생각하였고 중간에 메모리를 한국어로 불러주는데 알고 갔는데도 울컥했다. 캣츠는 호불호없이 모두에게 추천할 만한 뮤지컬이라고 생각한다.,2021.04.07
12,캣츠,5,재미있었어요,무대와 가까운 곳에서 보는걸 추천 드립니다 메모리 노래듣고 감동 받았어요.,2021.04.06
13,캣츠,5,드디어 캣츠 내한공연을 보다니!!,어렸을때 아버지께서 한국에 캣츠 내한공연이 왔다고 하여 CD를 구매하여 보여줬던 기억이 있어요. 그때는 그냥 그저 아버지께서 이거 정말 대단한 뮤지컬이다. 좋은 경험 해봐라 보고 듣고 즐겨봐라고 하셔서 그때는 와~~ 이런게 멋지거고 대단한거구나 라고 생각하며 봤었고 그때도 흰 고양이가 제일 기억에 남았었어요. 어릴때의 기억이 아직도 남아 있어서 그런진 모르겠지만 이번에도 많은 고양이들 중에서도 바로 눈에 띄였던건 흰고양이였어요. 뮤지컬을 보면서 조금씩 기억나는 옛 추억과 또 그때 당시 뮤지컬을  보면서 색 다른 경험을 할수가 있었어요. 정말 고양이의 특징들을 잘 살려서 그것을 하나 하나 다 개성있게 표현을 했고 Memory에서 감탄을 자아낼수가 없었네요!! 너무나도 좋았고 나중에 제 자식들에게 또한 보여주고 싶어요 ^.^,2021.04.05
14,캣츠,5,좋은시간 잘보냈습니다.,감사합니다.,2021.04.05
15,캣츠,5,줄거리 하나 모르고 본 캣츠. 다음 공연은 언제일까요?,"캣츠의 명성을 귀로만 들어왔고, 내용은 1도 모르는 상태로 본 캣츠. 배우분들의 유연한 몸짓과 표정에 한 눈 팔지 못하고 집중했다.  코로나로 인해 양 옆의 좌석이 비워져 있었고, 난 혼자였기에 유연한 몸짓에 나도 모르게 팔을 움직여서 그 안무를 소심하게나마 따라도 해보았다.  하이라이트는 역시 메모리.. 자연스럽게 터지는 음량에 귀도 뚫리고 내 눈물샘도 뚫리고 MD못산 나를 탓해... 진짜 캐릭터의 감정이 내게 전해져오는 느낌에 같이 슬퍼했던 것 같다.  그래서 다음 공연은 언제 한다구요..? 내년에도 오실 거죠? 기다리고 있을게요!",2021.04.05
16,캣츠,5,화려하고 신비로운 고양이들의 무도회,"여자친구랑 우연히 차를타고 지나가다가 아바니호텔에 캣츠 포스터가 붙어있는걸 보고 급히 검색했어요. 평소 뮤지컬을 많이 즐겨보지 않은지라, 다른 작품이었다면 그냥 지나첬을 법한 뮤지컬 하지만 캣츠라면 다르죠, 누구나 알고있고 누구나 한번쯤 보고싶은 뮤지컬아니겠습니까? 얼른 인터넷 뒤져서 예매를 하는데 원래 제가 아날로그적인 사람이라 열두번의 본인인증과 두번의 결제 실패 컴퓨터로 도저히 안되겠다! 인터파크 어플을 깔아서 닉네임에 이름까지 오타내는 기염을 토하며 서둘러 예매 했습니다. 좋은자리에 앉고싶은 마음에 앞쪽자리가 있는 4월 4일로 정했는데요 기다리다가 미처버리는줄 알았습니다.  두근두근 공연 한시간 전 빨리간다고 갔지만 이미 포토존에는 사람들이 줄을 길게 서있었어요 기다렸다가 저도 고양이 흉내를 내며 어색한 사진을 두어장 찍었습니다, 게이트를 입장하는 순간 커다란 보름달을 배경으로 쓰레기더미를 표현한 소품들 푸른 밤을 표현한 것 같은 조명과 드라이아이스 연기들이 흩날리고 있었는데요 황홀하고 오묘한 느낌이었습니다. 캣츠는 원래 고양이들이 객석으로 내려와 곽객들과 교감하기로 유명하잖아요, 옆에서 뒤에서 막 고양이들이 등장하는데 바로앞을 지나가고 나와 눈이 마주치고!! 정말 나도 모르게 꺄악~ 소리가 났지만 여자친구가 급히 입을 틀어 막아줬습니다. 다들 마스크 착용 잘하시고 안전한 공연문화 만들어갑시다!  막이 시작되고 고양이들이 한마리씩(???) 튀어나오는데 제 눈도 같이 튀어나올뻔 했습니다. 정말 어떻게 저렇게 묘사했는지 디테일이 살아있는 움직임이었습니다. 고양이를 키우고 있는 저로서는 배우들의 몸짓하나하나 정말 고양이의 습성과 똑같다고 생각이 들정도더군요, 그리고 정말 서커스를 보는것처럼 덤블링 덤블링 제 여자친구의 표현을 빌리자면 중력이 반에반밖에 작용하지 않는것 같다고 하더군요,  캣츠는 서사가 굉장히 단순하고, 갈등이 적은 내용이더라구요. 고양이들 각자의 캐릭터에 더 비중을 두고 한마리 한마리 살아있는 캐릭터를 느낄수있는 작품이었습니다. 서사가 단순하고 갈등이 적더라도 전혀 지루함을 느낄 수 없는 구조였고, 오히려 각각의 캐릭터에 집중할 수 있는 무대가 되었다고 생각합니다. 이런걸 역시는 역시라고 하는거죠. 정말 황홀하고 즐거운 두시간이었습니다.",2021.04.05
17,캣츠,5,너무재미있었어요,노래도 너무잘하고 내한이라 쫌 걱정했는데 걱정할필요 전혀없었어요 한국말로 중간에 노래해줘서 오잉? 했지만 그래도 이시기아니면 언제들어보겠냐며! 한국말도 정말잘해요,2021.04.05
18,캣츠,5,전율을 느꼈습니다,"우선 음향이 좋아 만족합니다. 배우들의 완벽한 연기와 율동, 노래, 어느 것 하나 부족함이 없었고, Memory 독창은 온 몸에 전율을 일으켰습니다. 오랫동안 여운으로 남을 거 같습니다. 코로나19로 인해 답답한 가슴이 봄꽃이 꽃망울 열리 듯 활짝 폈습니다. 좋은 공연 감사합니다.",2021.04.05
19,캣츠,4,즐거운 공연,볼거리도 많고 즐거운 공연이었습니다.  그런데 예매한 내용과 현장에서 자리가 왜 바뀐건지는 모르겠더라구요; 좌석이 좌우로 옮겨질 수 있다는 공지는 봤었지만  제가 예매했던 번호에 다른분이 앉아계신건 좀 이해되지 않더라구요.,2021.04.05
20,캣츠,5,너무 감동적인 공연이였습니다,"세계 4대 뮤지컬 캣츠를 제 눈 앞에서 직접 보니  너무 황홀한 순간이였고, 2부 시작할 때, 한국어로 부르는 장면은 평생 못 잊을꺼 같습니다. 정말 머리 속에 오래 남아있을 뮤지컬을 보고 와서 너무 기쁩니다.",2021.04.05
21,캣츠,5,오리지날 답게 즐겁게 봤고요  또보고싶어요,2017년도에도 보고 이번에도 오리지널 공연을  봤는데요 역시 외국 뮤지컬은 원어로 들어야 제맛입니다 또  보고싶네요  추천 해요,2021.04.05
22,캣츠,5,완벽한 공연,오랜만에 좋은 공연 봐서 너무 좋습니다. 배우분들 하나하나 열정 가득한 모습에 감동했습니다. 아이도 너무 좋아해서 감동이 두배,2021.04.05
23,캣츠,5,좋은 공연 감사,"직장동료들과 함께 관람했습니다, 가족동반이여 더욱 뜯깊은 공연이였고 노래와 춤 모두 완벽한 공연이였네요~",2021.04.05
24,캣츠,5,넘나 좋은 공연,가족과 함께 오랜만에 공연관람했네요~ 너무나 좋은 공연 감사합니다. 노래와 춤 모두 신나고 배우분들의 열정적인 움직임이 좋았습니다.,2021.04.05
25,캣츠,5,아직까지도 설레는 공연입니다.,내한공연은 무조건 꼭 한번 봐야지 마음 먹고 있던 찰나에 캣츠 공연이 눈에 들어와서 친구랑 둘이 보게 됐습니다.  공연 시작 전부터 얼마나 설레던지 ㅎㅎ 음악 무대 조명 그리고 배우들까지 너무나 perfect^^ 개인적으로 아쉽다면 다음에는 배우들 표정까지도 생생하게 볼수 있는 자리로 꼭 예매해서 봐야지 하는 아쉬움 ㅎㅎ 앞으로는 더 문화인이 되야 겠다는 생각을 하면서 보람차게 끝난 하루였답니다.,2021.04.05
