,musical_title,rate,review_title,review_text,review_date
0,시카고,5,인생 뮤지컬 등극,완전최고였습니다! 앞자리 분의 앉은키가 조금만 작았더라면 더 좋았겠지만..ㅎ,2021.08.25
1,시카고,5,재관람 할만하다,재관람 처음한 공연이었는데 왜 뮤지컬 재관람 하는 사람들이 있는지 이해가는 공연이었고 또보고싶은 공연이다,2021.08.17
2,시카고,5,최고,공주벨마에 매료된채로 공연장을 빠져나왔네요너무 즐거웠어요!,2021.08.16
3,시카고,4,매번보게되는,항상 보게되는뮤지컬 여전히 만족,2021.08.15
4,시카고,5,세번이나 본...,너무 좋아서 세번이나 봤습니다 ㅠㅠ 주연은 민경아님만 못봤는데 아쉬워요.,2021.08.14
5,시카고,5,정말너무 재밋었어요,노랫소리가 머리를 한동안 떠나지않았어요! 최고!!,2021.08.13
6,시카고,5,첫 뮤지컬 성공!,인생 첫 뮤지컬이나 다름없었는데 너어무 행복하고 즐겁게 잘 보고 왔어요!!!!,2021.08.12
7,시카고,5,시카고 정말 최고입니다,갓캐스팅이에요 공주벨마 가장 사랑합니다,2021.08.02
8,시카고,5,시카고는 시카고다~~~~!,너무 좋았숩니다 해외에서 봤을 때보다 좋았어요,2021.08.02
9,시카고,5,아직도 심장 뛰어요,영상으로 봤을 때보다 훨씬 더 큰 전율.. 정말 좋았습니다ㅠㅠ,2021.08.02
10,시카고,5,재밌어요~,재밌게 잘 봤습니다~,2021.08.02
11,시카고,5,지방도 달립시다,화이팅!,2021.07.31
12,시카고,5,좋네요.,아주 재밌어요!,2021.07.30
13,시카고,3,그냥 그저 그랬음,임팩트가 별로.. 내용도 그닥 재미 없었고,2021.07.30
14,시카고,5,뮤지컬 시카고 가지마세요 ㅠㅠ,배우님들...수도권 좀 더 돌아주시깅....시카고 사랑해욤♥,2021.07.29
15,시카고,5,지방공....따라갈게요 ㅠㅠ,시카고가 끝낫다니 안믿겨요지방공연 따라가렵니다!,2021.07.29
16,시카고,4,기대한 것에 비해,서사가 짱짱하진 않네요!하지만 시카고는 넘버 보러 가는 거니까요! 그래도 좋았습니다,2021.07.28
17,시카고,5,좋았습니다,생각보다 뮤대도 가까워서 담배냄새까지도 맡을 수 있었어요표정변화며 입술까지 다 보여서 좋았고 몸매들이 탄탄한데 춤도 잘춰서 좋았어요,2021.07.28
18,시카고,5,시카고,너무 재밌었어요 캐스팅도 완벽 ㅜ.ㅜ,2021.07.28
19,시카고,5,시카고,많이 기대하고 갔는데 그 기대를 충족시키는 공연이었어요 ????,2021.07.28
20,시카고,5,대박이에요,대박이에료,2021.07.28
21,시카고,5,역시,는 역시네요 재밌게 봤습니다.,2021.07.28
22,시카고,5,가장 두렵고 설레고,아름다운 나의 세상~,2021.07.27
23,시카고,5,좋았습니다,좋았습니다,2021.07.26
24,시카고,5,좋았습니다,좋았습니다,2021.07.26
25,시카고,5,서울 막공,제일 좋아하는 페어로 시카고 세미막공 볼수 있어서 넘 좋았어요 시카고 최고...다음 시즌도 꼭 돌아와주세여!!,2021.07.26
26,시카고,5,티파니 록시,티파니 록시 너무 귀엽고 사랑스러웠어요그 시대의 시카고를 풍자하는 뮤지컬 시카고 재미있게 봤습니다!!,2021.07.26
27,시카고,5,그만 유명해져,유튜브 알고리즘이 대단하다 싶으면서도 그만큼 배우님 실력이 뛰어나기에 뜬거니까 후... 내자리남겨주세요,2021.07.26
28,시카고,5,클리셰를 벗어난 소재,"오케가 무대 위에 있는것도, 약간이지만 음감님 연기하시는 것도 신선지방공 무사히 올 수 있기를 바랍니다",2021.07.26
29,시카고,5,좋았어요!,정말 좋았어요!,2021.07.26
30,시카고,5,재미있었습니다!,너무 재미있어요!,2021.07.26
31,시카고,4,시카고,넘버가 중독성 있네요,2021.07.26
32,시카고,5,최고,재밌어요!!,2021.07.26
33,시카고,5,행복했습니다.,막공까지  뉴캐 한분하고는 대차게 싸웠지만  모든 배우들 고생하고  좋았습니다. 어제 청주공연 좋았어요,2021.07.26
34,시카고,5,명불허전,여러 시즌을 거쳐도 여전히 재미있고 핫하네요  유쾌한 풍자가 가득합니다~,2021.07.26
35,시카고,4,음악이 주는힘,넘버가 중독성있어요,2021.07.26
36,시카고,5,잼낫어요,또 오면 좋겟네여,2021.07.26
37,시카고,5,시카고,시카고 재밌어요,2021.07.26
38,시카고,5,너무나 즐거웠습니다,완벽한 캐스팅이었다는 생각이 드네요,2021.07.26
39,시카고,5,시카고,벌써 끝나다니요 ㅠ,2021.07.26
40,시카고,5,좋아요,좋아요,2021.07.26
41,시카고,4,시카고,너무나 멋져요!!!,2021.07.26
42,시카고,4,시카고,역시 최고예요~잘 봤습니다!!!!,2021.07.26
43,시카고,5,최고임 너무 재밌음,넘버 다 너무 좋아서 흥얼거리고 다니고 춤도 춰요 저..이게 다 어렸을 때 애정결핍으로 인한거겠죠,2021.07.26
44,시카고,5,시카고 마지막 서울 공연,서울 막공이라 그런지 배우들 텐션이 아주~~ 관객 반응도 좋고 배우님들 텐션도 너무 좋고 완벽했어요.. 파니 록시의 발전이 빛이 나던 순간이었어요.ㅜㅜ 최잶 빌리 마지막 래즐대즐도 최고ㅜㅜ 무대인사때 그동완 뵜던 모든 배우들을 볼 수 있어서 넘 좋았어요,2021.07.26
45,시카고,5,시카고 세미막,세미막 너무 완벽하고 실수없이 잘 끝내서 관객인 저도 너무 쀼듯했어요 그냥 너무 완벽했던 공연이에요,2021.07.26
46,시카고,5,강추합니다,아이비최고 사랑해요 ㅠㅠㅠ,2021.07.26
47,시카고,5,강추합니다,아이비최고 사랑해요 ㅠㅠㅠ,2021.07.26
48,시카고,5,"살고 싶은 인생 찾아, 원하는 대로 살아요","시카고를 보신, 보실 모든 분들 그리고 시카고의 모든 배우 스탭분들 살고싶은 인생찾아 원하는대로 즐겁고 행복하게 사시기를.",2021.07.26
49,시카고,5,강추합니다,아이비최고 사랑해요 ㅠㅠㅠ,2021.07.26
50,시카고,5,최고의 공연,정말 즐거웠습니다. 훌륭한 공연 감사합니다,2021.07.25
51,시카고,5,벌써 네 번째 관극,진짜 백번도 더 볼 수 있는 작품입니다. 뭔가 현실 탈피 하고 싶을 때 보면 속 시원해지는?? 넘 재밌네요,2021.07.25
52,시카고,5,완벽했던 공연,"배우님들 에너지가 어마어마했어요특히 공주벨마 아이비록시,, 합 너 무 좋았습니다",2021.07.25
53,시카고,5,W,All that jazz,2021.07.25
54,시카고,5,시카고 너무 재밌었어요,배우분들 다들 너무 잘하셔요,2021.07.24
55,시카고,5,최고의 뮤지컬,하... 지방공 가고 싶어요...,2021.07.24
56,시카고,5,최고의 뮤지컬,재미있어요,2021.07.24
57,시카고,5,자막,시간이 빠른거 같아요 ㅠㅠ 벌써 끝나다니 ㅠㅠ시카고 덕분에 행복했습니다,2021.07.24
58,시카고,5,앞자리 행복,원래 뒷자리 였는데 예대떠서 앞자리로 가게 되었어요 역시 앞자리 몰입이 더 잘 되고 관크도 없어서 너무 행복한 시간이였습니다,2021.07.24
59,시카고,5,신나는 무대 <시카고> 강력 추천합니다,"티파니영, 윤공주, 박건형씨가 나오는 시카고 회차 관람했습니다.  영화 시카고를 좋아하기 때문에 어느 정도 기대를 하고 갔었는데, 기대 이상으로 재밌었던 무대였습니다.  모두들 열정적이고 흥겨운 무대를 해주셔서 감사합니다.  다음에 기회가 된다면 또 보고 싶네요!",2021.07.23
60,시카고,5,완벽한 마무리를 한 자막!,민경아 배우님 팬으로서 서울공연 자막!!!!  마지막까지 최선을 다 하신 배우님들 모두 멋져요!!! 전 배우와 앙상블 배우분들까지 덕분에 행복했던 서울공연이었습니다 ㅎㅎ,2021.07.22
61,시카고,5,최애 페어 막공!!,너~~~무 재밌게 봤어요!!! 특히 민경아 배우님!!! 역시 세미막공은 역대급이라는 법칙 이번에도 이어가네요!!!! 평생 록시해주세요ㅜㅜ,2021.07.22
62,시카고,5,시카고 최고,최재림 잘하네용,2021.07.22
63,시카고,5,시카고 최고,너무재밋너요,2021.07.22
64,시카고,4,시카고,재즈풍의 음악과 배우들의 연기가 좋았음,2021.07.22
65,시카고,5,경아록시 최고!,보면서 감탄하고 독백으로 큰 무대 이어나가는 모습에 반했어요 최고!!,2021.07.21
66,시카고,5,명불허전이네요,코로나가 끝나면 꼭 다시 되돌아와주시길..,2021.07.21
67,시카고,5,지방투어 마치고 또 돌아와주세요...,막공까지 너무 좋았습니다. 어려운 시국에 큰 힘이 되었네요! 지방 투어도 탈 없이 건강하게 잘 마치고 다음 시즌으로 만날 수 있길 바랍니다,2021.07.21
68,시카고,5,눈과 마음이 즐겁고 행복한 시간이였습니다.,"배우들의 노래부터 무대의상, 무대를 활용하는 구도까지 모든 것이 눈과 마음을 즐겁게 했습니다. 일부 배우들의 의상이 수영복에 가까워서 미성년 자녀들과 보기가 민망하다는 의견이 있었는데, 야하다는 생각은 안 들었네요. 영상으로만 보던 최재림배우님의 실력을 직접 확인하니, 실력이 엄청 나다는 것을 몸으로 느꼈습니다. 내 눈으로 직접 봐야하는 공연이기에 적극 추천합니다",2021.07.21
69,시카고,5,세번 봤어요,"주연 민경아 빼고 다 봤는데 너무 좋아서 세번이나 관람했습니다 ㅠㅠ 특히 티파니, 최정원, 박건형 캐릭터 너무 잘어울리고 최고였습니다",2021.07.21
70,시카고,5,세번 봤어요 ㅎ,"주연 민경아 빼고 다 봤는데 너무 좋아서 세번이나 관람했습니다 ㅠㅠ 특히 티파니, 최정원, 박건형 캐릭터 너무 잘어울리고 최고였습니다",2021.07.21
71,시카고,5,세번 봤어요,"주연 민경아 빼고 다 봤는데 너무 좋아서 세번이나 관람했습니다 ㅠㅠ 특히 티파니, 최정원 캐릭터 너무 잘어울리고 잘해서 두번봤습니다...!",2021.07.21
72,시카고,5,윤공주 티파니 영 최재림,시카고 (서울) 마지막 공연이었는데저는 시카고 처음 보는 거라 잔뜩 기대하고 봤습니다!그리고 1막에서 유명한 넘버들 다 나오길래 깜짝 놀랐어요또 이번 시카고에서 최재림 배우님의 인기가 급상승 하면서 최재림 배우님에 대한 기대가 컸는데 역시 성량이 엄청나시더라구요그렇게 성량이 큰 뮤지컬이 아닌데도 독보였던 것 같아요!그리고 제가 개인적으로 소녀시대를 좋아해서 티파니 배우님도 꽤 큰 기대를 했는데 기대에 충족했어요!유튜브 댓글 보면 악플이 많길래 걱정도 좀 됐지만 왜 그렇게까지 욕을 먹었는 지 이해가 안 가요연기도 잘 하고 발성도 나쁘지 않고 정말 잘했다고 생각해요 ?? 제 개인적 견해입니다!그리고 윤공주 배우님도 시카고에서 처음 봤는데 뮤배이신 만큼 연기도 잘하시고 노래도 잘 부르셔서 보기 좋았어요 ??,2021.07.21
73,시카고,5,최정원 아이비 박건형 김영주 페어,"4번째 보는 시카고입니다.처음엔 인순이님이 홍보하셔서 봤는데, 그 후로는 아이비 록시에 빠졌어요.우스갯소리로 록시가 아이비를 연기하는 거라던데.. 꼭 맞아요.",2021.07.21
74,시카고,5,윤공주 배우님 멋있어요,노력하시는게 공연에서 다 보입니다. 멋있어요!,2021.07.21
75,시카고,5,아이비 최고,진짜 앞으로 10년은 더 해도될거같아요.최고였어요,2021.07.21
76,시카고,3,잘 봤습니다.,디큐브아트에서 봤는데 좋은 사람과 의미있는 날 좋은 공연을 보게 되어서 뿌듯합니다.,2021.07.21
