,musical_title,rate,review_title,review_text,review_date
0,개와 고양이의 시간,5,너무 고마웠어요 잘가요 사랑했던 내 댕냥시,"모든 넘버가, 모든 가사가, 모든 장면이 너무 좋았던 작품이었어요   정말로 세상을, 작은 동물들을, 사람을 사랑하는 사람만이 만들 수 있는 작품  그리고 배우님들 정말 다들 고생 많이 하셨어요   너무 좋았고 너무 잘봤어요   다음에 또 만나요",2021.12.13
1,개와 고양이의 시간,4,안녕잘가,즐거웠고 다음에..다시보자,2021.12.13
2,개와 고양이의 시간,5,좋았어요,최고최고,2021.12.13
3,개와 고양이의 시간,5,너뮤 좋아요,배랩터와 함께해서 너무너무 행복했어요,2021.12.13
4,개와 고양이의 시간,5,최고,올해 제 최고의 작품입니다 댕냥시를 만나 너무 행복해요,2021.12.13
5,개와 고양이의 시간,4,검은 고양이와 검은 개,밤새 골목을 달리던 너와 나,2021.12.13
6,개와 고양이의 시간,5,최고에요,추천합니다,2021.12.13
7,개와 고양이의 시간,5,그 날 서로를 알아본건 검은 고양이와 검은 개,막공까지 고생하셨터여,2021.12.13
8,개와 고양이의 시간,5,감동적인 이야기,처음 보고 엔딩에 충격받고 다시 또 마음에 드는 배우들로 캐스팅 조합 맞춰서 보러 왔는데 후회없어요 너무 아름다운 것 같아요,2021.12.12
9,개와 고양이의 시간,5,강력추천합니다,너무...슬퍼요...랩터 꽃길만 걷길...,2021.12.10
10,개와 고양이의 시간,5,재밋어요,재밌어요,2021.12.10
11,개와 고양이의 시간,5,참 따뜻한 공연이에요,"개와 고양이의 시간을 통해 위로도 얻고, 길가의 개와 고양이들에게 또 다른 생각을 들게 해준 공연입니다 감사합니다",2021.12.08
12,개와 고양이의 시간,5,정말 소중한 막공이였습니다,꼭 이 조합 삼연 사연 또 만나요,2021.12.08
13,개와 고양이의 시간,5,좋았어요!,마지막 관람이었는데 너무 좋았어요ㅜㅜ나중에 다시 만날 때까지... ㅠㅠㅠ,2021.12.07
14,개와 고양이의 시간,5,어머니와 함께,"초연에도 보여드리고 이번 재연에도 기회가 되어 어머니와 같이 관람하게 되었습니다. 어머니의 감상평을 빌리자면 ''고양이같은 배우가 고양이를 보여주고, 강아지같은 배우가 강아지를 보여주니까 몰입이 잘 되고 멋진 극을 잘 보았다.''라고 하신만큼 연기와 넘버, 무대 그 무엇하나 부족함 없는 좋은 극 잘 보았습니다. 삼연으로 얼른 돌아왔으면 좋겠습니다ㅎㅎ",2021.12.06
15,개와 고양이의 시간,5,"안녕, 랩터. 안녕,플루토","개와 고양이의 시간이라는 극은 막을 내렸지만 우리들의 인생에서의 많은 반려견, 반려묘를 비롯한 반려동물들의 시간은 계속 흐르고 있고, 많은 것을 느낄 수 있게 해주었습니다. 좋은 공연 올려주셔서 감사했습니다.",2021.12.06
16,개와 고양이의 시간,5,뮤지컬 〈개와 고양이의 시간〉,뮤지컬 〈개와 고양이의 시간〉,2021.12.06
17,개와 고양이의 시간,5,잘봤습니다!,끝난게 너무 아쉽네요 즐겁게 봤습니다,2021.12.06
18,개와 고양이의 시간,4,개와 고양이의 시간,동물들과 인간이 교감하는 따뜻한 이야기인데 노래들도 좋고 무대도 귀엽네요,2021.12.06
19,개와 고양이의 시간,4,동화같은 이야기,초연에 비해서 무대 세트 동화같이 아기자기 변했는데 귀엽네요 ㅎ 내용은 후반에 호불호 있을 수 있지만...,2021.12.06
