,musical_title,rate,review_title,review_text,review_date
0,광화문연가,5,광연,내용 좀 바뀌어서 돌아온 광연 강력추천!! 넘버도 넘 조아요,2021.12.23
1,광화문연가,4,엄마랑 즐거운 관람했어요~,"이전에 <팬텀>을 보여 드렸는데, 엄마가 광화문연가는 무대가 너무 단촐하다고 하셨지만,ㅎ 줄거리가 많이 공감하실만한 내용이었고, 아는 노래도 많아서 재밌게 보셨다고 하셨어요. 윤도현, 김호영 배우님 공연은 처음이었는데 두분 배우님 너무 잘하시더라구요~ 큰 서사적인 연기는 없는것 같다가도 윤도현님 노래 한소절 시작하시자마자 아~ 이래서 윤도현! 했고 김호영 배우님은 공연 내내 너무 유쾌하고 좋았습니다. 이날, 밀접접촉 격리로 인해 어린 명우역 캐스팅 변경이 있었는데. 이분 특히 인상 깊었습니다. 황순종 배우님, 흥하세요~ :)",2021.10.20
2,광화문연가,4,재밋게 잘봤습니다.,재밋게 잘봤습니다.,2021.09.27
3,광화문연가,5,멋진 마무리!,"마지막 공연 신나게 잘 봤습니다~ 차지연, 엄기준 배우님 역시 최고예요 ^^",2021.09.20
4,광화문연가,4,서울 총막,"잘 안보일거라 생각했던 자리였지만 생각보다 잘보여서 좋았어요 명우,, 다시 돌아올껀가요ㅠ 엄명우도 차월하도 막공에 다 불태워버린거처럼 너무 잘하고 너무 좋았습니다!!",2021.09.19
5,광화문연가,5,좋은 공연 감사했습니다.,"다음 번에는 예술의전당 말고 제발 다른곳에서, 다음 번에는 다함께 소리쳐 부를수 있는 시간이기를...",2021.09.16
6,광화문연가,5,즐거웠습니다.,"다음번에는 예술의 전당 말고, 다른데서 만나요 다음번에는 꼭 함께 소리쳐 부를수 있기를",2021.09.16
7,광화문연가,5,너무 좋았습니다.,친구와 함께 즐겁게 잘 봤습니다.,2021.09.15
8,광화문연가,5,정말 재밌는 공연이었습니다.,멋진 배우들의 멋진 연기와 노래 좋았습니다. 지방공연도 예매해서 가려고 합니다.,2021.09.15
9,광화문연가,5,재밌어요,동생 추천으로 봤는데 엄청 재밌게 봤습니다. 월하 배역의 열연을 잊을 수가 없네요.  부모님들이 보시기에도 좋을 것 같습니다.,2021.09.14
10,광화문연가,5,최고의 뮤지컬,꽤나 긴 시간이였으나 시간 가는줄 모르고 봤어요 ㅎㅎ  연기자분들도 화이팅 넘치게 하시구 재밌었습니다! 다음번엔 꼭 앞자리 예매해서 볼거에요!!!,2021.09.13
11,광화문연가,5,감동 그 자체,"코로나 이후 오랜만에 공연 감상을 할 생각에 기대에 잔뜩 부풀어 공연장으로 갔어요. 캐스팅 배우에 대한 기대감도 무지 있었네요. 주옥같은 노래들을 엮어 눈물이 흐르는 감동으로 가슴 먹먹한 공연이었습니다. 특히 차지연 배우님의 처음부터 끝까지 변함없는 열정과 에너지는 정말 잊을수가 없네요. 좋은 공연을 준비해주신 무대와 음악, 배우님들 정말 감사합니다.",2021.09.13
12,광화문연가,5,엄마가 너무 좋아하셨어요!,재미도 있고 감동도 있는 뮤지컬,2021.09.13
13,광화문연가,5,윤도현 차지연 페어 짱이에요,귀호강 제대로 했습니다 이 페어 지방공연에서 또 보고싶어요,2021.09.13
14,광화문연가,5,차지연은 신입니다,차월하는 무대를 찢어,2021.09.13
15,광화문연가,5,차지연 디너쇼,차지연의 모든 것을 볼 수 있음 그 외 나머지는 다 별로임,2021.09.13
16,광화문연가,5,너무 잘 봤습니다!!!!,엄기준 배우님 처음 맞으셨다더니연기 너무 잘하시고노래랑 목소리 너무 잘 어울려서 홀랑 빠졌어여ㅠㅠ차지연 배우님 카리스마 너무 짱이고ㅠㅜ또 보고싶네요~!,2021.09.13
17,광화문연가,5,노래좋네요ㅎㅎ,막공이라 아쉬워요ㅠㅜ지방공이라도 보러가야겠어욯ㅎ,2021.09.13
18,광화문연가,5,재미있어요,엄명우짱!!!연기 미쳤어여ㅠㅜ노래랑 목소리도 잘 어울리고..다음에도 와주세요!!!!,2021.09.13
19,광화문연가,5,^^,다시 만날 광화문연가 기다리겠습니다!!!!!!,2021.09.11
20,광화문연가,5,역시 믿고 보는 차지연,"첫 등장부터 차지연 배우가 이 공연 휘어잡았다. 어느 방송에 나와서 아들에게 엄마 사냥 다녀온다는 말이 뮤지컬 보는 내내 생각났다... 나는 사냥 당한 기분,,, 노래는 약간 낯선 화음을 제외하고는 다 아는 노래라서 너무 좋았다. 진짜 커튼콜 때 같이 부르면 참 좋을 텐데 싶었다... 얼마나 몸을 들썩이고 싶었는지 몰라ㅜㅜ 다시 함께 노래부르는 그 날까지!!! 광화문 연가 화이팅!!",2021.09.10
21,광화문연가,5,처음 본 뮤지컬입니다!,그동안 시간이 없다거나 돈이 없다는 핑계로 미루고 미루다 광화문연가 뮤지컬을 보러가게 되었습니다. 생각했던 것보다 너무 재미있었어요! 뮤지컬이다 보니 중간중간 계속 나오는 노래들도 너무 좋았고 배우님들도 너무 멋있게 잘 해주셔서 집중 잘 하면서 볼 수 있었습니다. 이제 앞으로 뮤지컬을 조금씩 더 보게 될 것 같아요 감사합니다!,2021.09.09
22,광화문연가,5,이채민님 꼭 무대에서 다시 뵙기를,"총 4회 관람했습니다. 워낙 이문세님 노래를 좋아해서  (극중에 나오는 넘버들 대부분 다 따라 부를 수 있을 정도) 작품 자체가 저에겐 선물같았는데요.  이채민님 새로운 발견이었습니다. 첫관람때부터 잘하신다는 생각 들었는데, 마지막 관람할때는 이채민님 위주로 보게 되었습니다.  특히 사랑이 지나가면 넘버 진짜 잘 하시는거 같아요.  꼭 다른 무대에서 다시 뵙기를 간절히 바래봅니다.",2021.09.09
