,musical_title,rate,review_title,review_text,review_date
0,하데스타운,5,하데스타운 진짜 최고,친구들과 같이 봐도 너무 즐거운...,2023.02.08
1,하데스타운,5,마지막 공연 좋았습니다.,너무 재미있었습니다.  재연 기다릴게요!,2022.06.13
2,하데스타운,4,그럼에도 다시 쓰는 이야기,타임루프,2022.05.16
3,하데스타운,5,재밌어요,재밌어요,2022.04.25
4,하데스타운,5,최고예요,완전 추천,2022.04.13
5,하데스타운,5,최고의 페어,제가 가장 좋아하는 배우님들 페어로 이루어진 공연이였습니다!!  재미있게 잘 보구 왔습니다,2022.03.22
6,하데스타운,5,하데스 타운 말모,말해 뭐해요 어서 가서 보세요ㅠ 대구라도 가서 얼른 보세요!!,2022.03.21
7,하데스타운,5,역시하타,재밌었어요,2022.03.21
8,하데스타운,5,너무 재밌었어요,잘 봤습니다,2022.03.16
9,하데스타운,5,다시보고싶은,서울 앵콜 해주세요,2022.03.14
10,하데스타운,5,하데스타운 진심 갓극..!!,넘버도 너무 좋고 배우들 합도 최고고 앙상블들도 최고에요ㅠㅠㅠ 기다려줘~ 내가갈게!!,2022.03.14
11,하데스타운,5,막공 재밌었어요,6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다 6개월간의 총막공 너무나 재밌었습니다 빨리 재연이 돌아오길 빌구요 이 캐스팅 그대로 돌아왔음 좋겠습니다,2022.03.14
12,하데스타운,5,이제 봄이 왔네요,가을부터 추운 겨울까지 슬픈 사랑 노래 감사했습니다! 이제 봄이네요 우리 모두 또 다시 노래해요!,2022.03.14
13,하데스타운,5,아... 막공... 엘아센 안녕 ㅠ,하데스의 총막이자 엘지아트센터의 마지막 공연... 너무나 감동적인 시간이었어요...,2022.03.14
14,하데스타운,5,서울 막공!!,커튼콜에 스윙배우님들까지 함께해서 감동적이었어요,2022.03.14
15,하데스타운,5,하데스타운 최고,"하데스타운 한국 초연을 본 거는 정말 두고두고 자랑할 일로 남을 것 같습니다 최고의 대본, 최고의 연출, 그리고 최고의 배우들이었어요",2022.03.14
16,하데스타운,5,보는 재미 듣는 재미 둘다 잡는 극!,재즈풍 넘버들과 무대 구성이 너무 잘 어울렸던 공연이었습니다~!,2022.03.14
17,하데스타운,5,감동적인 무대ㅜㅜ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜㅜㅠ  정말 최고의 공연이었습니다!!,2022.03.14
18,하데스타운,5,갓극,"배우님들 연기, 넘버, 무대, 스토리, 연출 모든게 완벽",2022.03.14
19,하데스타운,4,멋진 공연이었어요,눈과 귀가 즐거웠습니다~,2022.03.14
20,하데스타운,5,재미있게 잘 봤습니다.,서울 마지막 공연을 볼 수 있어서 정말 좋았습니다.,2022.03.14
21,하데스타운,5,기다려줘.... 내가 갈게...,너어ㅓ를 찾을거어ㅓ야ㅜㅜㅜㅜ쌀 중의 쌀 웨잇포미...너무 그립고...어서 빨리 재연으로 돌아와...지방 공연 따라가고싶다...,2022.03.13
22,하데스타운,5,가지마…,이제는 볼 수 없어서 너무 슬픈 인생 뮤지컬 하타 ㅠㅠ 기다려줘~ 내가 갈게~,2022.03.10
23,하데스타운,5,초연 자셋 관람 완료,기대 이상의 즐거움을 선사받았습니다. 재연 삼연도 보고 싶네요,2022.03.09
24,하데스타운,5,하데스타운,최재림 배우님 보려고 예매했습니다. 역시나 최재림 배우님 최고였고 다른 배우님들도 누구 한명 빠짐 없이 잘 하셨어요. 그 중 조형균 배우님이 제일 기억에 남아요. 배우님이 가성으로 노래할 때 정말 아름다웠습니다!! 다음에도 오르페우스로 뵐 수 있었으면 좋겠어요.,2022.03.09
25,하데스타운,5,Wait for me,이런 뮤지컬 처음이에요. 너무 좋았어요.,2022.03.08
26,하데스타운,5,하데스타운 관람후기,최고의 캐스트와 함께하는 하데스타운이었어요,2022.03.08
27,하데스타운,5,하데스타운 관람후기,강홍석 배우님에 입덕하게 된 작품이에요. 신이지만 인간과 함께 울고 웃고 행복해하고 아파하는 모습을 보며 많이 행복했고 위로받았던 것 같습니다.,2022.03.08
28,하데스타운,5,진짜 꼭 봐야만,인생뮤지컬이에요 진짜 다 보여주고싶어요 꼭 봐야되는거......ㅜㅜ 또 보고 싶어요,2022.03.08
29,하데스타운,5,다시 돌아올 수 밖에 없는 공연!,"굿나잇 형제여, 굿나잇결말을 알면서도 다시 노래를 시작하는 것.이번에는 다를 거라 믿는 것.서울에서 보는 마지막 공연까지 함께 이 마음으로 늘 공연장을 찾아갔습니다. 모든 배우님들께 감사합니다!!",2022.03.07
30,하데스타운,1,하게스타운 출연진,어쩌면 이 뮤지컬을 선택한 대다수가 최재림을 보기 위해 이날 이시간을 예약하지 않았을까(?) 그러나 그의 활약은 넘 적었고 그날 주인공의 목소리와 연기는 실증 나고 쩌증스러웠다 진주에서 금용 ㄹ 출발해서 오직 그 시간을 기대하며 갔것만 하지만. 구성이며 사운드 무대연출은 만족스러웠다,2022.03.07
31,하데스타운,5,하데스타운,그럼에도 우린 또 다시 부르리라,2022.03.07
32,하데스타운,4,아임커밍~~~~,"근데 왜 트럼본 오프닝 로투헬 음 변주 안하고 4번째 마디만 하시나요....? 언젠가부터 도대체 왜,,,,,, 시작넘버를 왜 ...???",2022.03.07
33,하데스타운,5,벌써 그립네요,정말 아름다운 극이었습니다,2022.03.07
34,하데스타운,5,좋은공연 감사합니다.,좋은공연 감사합니다.,2022.03.07
35,하데스타운,5,막공 굿바이,하데스 명작이예여,2022.03.07
36,하데스타운,5,ㅠ,"220226,, 낮공 진짜 ㅠㅠ,,,, 레전,, 보낼 수 없어요,, 오르페우스 처음 나왔을 때 그 웃음과 헤르메스에게 보내는 평소보다 길었던 그 박수 소리와 하데스의 눈물, 페르세포네의 따뜻함 그리고 일꾼들의 행동 하나하나까지 너무 완벽했던 공연입니다,,! 이제 대구 부산 가겠지만 ㅠㅠ,, 너무 멀어서 살짝 고민이 되네요,, 하데스타운~! 중간에 표가 없어져서 생각한 것 만큼 많이는 못봤지만 정말 고마웠습니다! ㅎㅎ",2022.03.07
37,하데스타운,5,멋진 공연!,다음 시즌도 기다릴게요!,2022.03.07
38,하데스타운,5,대구도 기다릴게요,그 동안 덕분에 너무 행복했습니다!!,2022.03.07
39,하데스타운,5,좋았던 공연,ㅠㅠ 또 와주세요 하데스타운,2022.03.07
40,하데스타운,5,좋았다.,"넌 또 출근해 , 또 출근해 , 또 출근해, 퇴근은 없어  운명의 세 여신이 부른 잔혹한 넘버가 기억에 남고,  운명의 수례바퀴인지 첫장면으로 다시 돌아가 끝나는 것이 인상깊었다",2022.03.07
41,하데스타운,5,하데스타운,반년이 정말 빠르게 흘러갔습니다,2022.03.07
42,하데스타운,5,하데스타운,막 내리기 전에 막차를 탔습니다. 이걸 왜 더 빨리 보지 않았을까 하는 제 자신을 원망하며 공연 내내 색다른 전개와 연출에 감탄했죠ㅠㅠ 알고 있던 유명한 신화속 등장인물들의 이야기라 더 흥미진진했어요 송스루로 진행하는 대사도 신선했고.. 매력적인 캐릭터들을 배우들이 또 멋지게 표현해주어 더 재밌고 감동적으로 감상했습니다 다음에 재연 올라오면 더 자주 보러 갈거에요! 빨리 또 와줘요,2022.03.07
