,musical_title,rate,review_title,review_text,review_date
0,어쩌면 해피엔딩,5,따듯한 사랑이야기,사랑이야기이지만 또 슬픈 현실을 느낄수있네요 넘버 진짜 좋고 배우분들 사랑스러워요,2021.09.20
1,어쩌면 해피엔딩,5,그럼에도 불구하고 괜찮을거야..,내 문을 두드려줘서 정말 고마웠던 올리버 클레어 제임스.. 막공까지 함께 할 수 있어서 너무너무 행복했어요! 이번시즌도 무사히 잘 볼 수 있음에 감사하고 다음시즌에 만나요!,2021.09.20
2,어쩌면 해피엔딩,5,어쩌면 해피엔딩,극 자체의 텍스트와 음악이 가진 힘이 엄청난 작품. 배우들 연기에 실망하기도 하지만 극이 너무 좋아서 포기할 수가 없는 작품입니다. 이미 막공 해버렸지만 앞으로도 클레어 역에 이미지 캐스팅은 그만 보고 싶네요.,2021.09.17
3,어쩌면 해피엔딩,5,너무 좋아요,***** 추천해요!!,2021.09.15
4,어쩌면 해피엔딩,5,ㅠㅠ 다시 보고싶다,어쩌면 해피엔딩 넘 좋았고 ㅠㅠ또 보고 싶네요,2021.09.15
5,어쩌면 해피엔딩,5,어쩌면 행복하겠죠?,매번 볼 때마다 많이 울고 나오는 행복한 극입니다,2021.09.14
6,어쩌면 해피엔딩,5,올리버와 클레어,"오래오래 행복해라 제발 벌써 끝나버렸네 시원섭섭하지만 안 온다면 더 섭섭할듯,,",2021.09.14
7,어쩌면 해피엔딩,5,재밌습니다,2n번 봤습니다.... 더 보고 싶습니다...,2021.09.13
8,어쩌면 해피엔딩,5,재밌어요,다시 오면 또 이만큼 볼 듯,2021.09.13
9,어쩌면 해피엔딩,5,어햎,욱리버를 다시 만날수 있어서 정말 행복했습니다 :),2021.09.13
10,어쩌면 해피엔딩,5,2021.09.01 : 뮤지컬 <어쩌면 해피엔딩>,"★★★★★★ (2021.09.01 15:30, Cast: 정욱진, 홍지희, 성종완)",2021.09.13
11,어쩌면 해피엔딩,5,감동과 재미가 있는 뮤지컬,감동과 재미가 있는 뮤지컬,2021.09.13
12,어쩌면 해피엔딩,5,정말 좋았어요,정말 좋았어요,2021.09.13
13,어쩌면 해피엔딩,5,어쩌면 해피엔딩,언제봐도 눈물나고 마음이 찡한 극. 사랑스런 헬퍼봇들의 사랑이야기는 매 시즌 찾아올때마다 거를 수가 없어요. 또 빠른 시일 안에 돌아오길 바래요.,2021.09.13
14,어쩌면 해피엔딩,5,너무 좋은극...,빨리 다시.보고싶어요...,2021.09.13
15,어쩌면 해피엔딩,5,우린 왜 사랑했을까...,첫 넘버부터 의문형... 그리고 마지막의 대사까지도 의문형... 그만큼 이 극의 결말은 볼때마다 생각하기 나름으로 올리버와 클레어의 결말을 생각해볼수 있어서 좋았고 비록 눈물 터지는 오열극이지만.... 그들이 절대 새드엔딩이라고 생각하진 않아요... 빨리 다시 돌아왔으면 좋겠어요...,2021.09.13
16,어쩌면 해피엔딩,5,잘 봤습니다.,덕분에 웃다가 울다가 했습니다. 슬프지만 마음 한켠이 따뜻해지는 작품 같아요. 다음에 다시 무대 위에 올려지면 또 보러 갈 겁니다~!!^^,2021.09.13
17,어쩌면 해피엔딩,5,추천합니다,마지막공연 엄청 울다 왔어요ㅠㅠ,2021.09.13
18,어쩌면 해피엔딩,5,마지막공연 엄청 울다 왔어요ㅠㅠ,마지막공연 엄청 울다 왔어요ㅠㅠ,2021.09.13
19,어쩌면 해피엔딩,5,어햎덕분에 행복했어요,진짜 인생극 이렇게 볼 수 있어 행복했고 빨리 오연 오면 좋겠네요?? 어햎 다시 오기 전까지 기다리기 괜찮을까요..? 어쩌면요..??,2021.09.13
20,어쩌면 해피엔딩,5,따뜻하고 감성적인 극,볼 때마다 눈물납니다··· 심장이 메말랐다? 어햎을 보면 치유 가능 ㅠㅠ 올리버 클레어 행복해야해···,2021.09.13
21,어쩌면 해피엔딩,5,어햎,Ost 제발 내주세요ㅠㅠㅠㅠㅠㅠ 안 내주시는 거 불법,2021.09.13
22,어쩌면 해피엔딩,4,막공,"528호 입주봇, 올리버 531호 입주봇, 클레어 그리고 제임스 外... 따스했어요.고맙습니다.",2021.09.13
23,어쩌면 해피엔딩,5,우린,왜사랑했을까,2021.09.13
24,어쩌면 해피엔딩,5,재밌어요,벌써 끝이라니 아쉽 ㅠㅠㅠㅠ 또 볼 수 있기를 바랍니다,2021.09.13
25,어쩌면 해피엔딩,5,아직도 예사가면,어햎이 있을거 같은데ㅠㅠㅠ벌써 끝났다니 믿을수가 없다ㅠ 전캐 다 봐서 행복했어,2021.09.13
26,어쩌면 해피엔딩,5,막공이라니ㅠㅠㅠㅠ,막공이라니ㅠㅠㅠㅠ 모든 배우들 스탭들 수고하셧습니다 좋은 극 감사해요 또 볼 수 있기를,2021.09.13
27,어쩌면 해피엔딩,5,뮤지컬 〈어쩌면 해피엔딩〉 2021,♥ ♥ ♥ ♥ ♥,2021.09.13
28,어쩌면 해피엔딩,5,〈어쩌면 해피엔딩〉 2021,〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021〈어쩌면 해피엔딩〉 2021,2021.09.13
29,어쩌면 해피엔딩,5,어햎 막공이라니!!,미니리버 지희클레어 그동안 수고에 감사드립니다 ♡,2021.09.13
