,musical_title,rate,review_title,review_text,review_date
0,몬테크리스토,5,자첫했어요!! 꿀잼♡,"처음 몬테크리스토를 봤는데 진짜 반했어요... 평소에 넘버는 자주들었지만 정말 현장에서 라이브로 듣는게 다른 것 같아요ㅜㅜ 신성록 배우, 옥주현 배우로 봤는데 역시... 진짜 너무 잘하시고 최고였습니다ㅜㅜ",2022.01.13
1,몬테크리스토,5,너무 재밌었어요!!!,10주년 기념공연이라 봤는데 너무 재밌었고 주변분들에게 꼭 추천하고 싶어요!!!! 카이 배우님 진짜 최고입니다ㅜㅜ 반했어요 린아 배우님도 너무 잘하시고 모든 배역분들이 다 열정적인게 보여서 몰입도 잘 되었습니다!,2022.01.13
2,몬테크리스토,5,개존잼,내용 막장이지만ㅋㅋㅋ잼써용,2021.08.30
3,몬테크리스토,5,재밌어요,노래가 좋아요,2021.08.30
4,몬테크리스토,4,역시 최고,무대가 잘안보여서 아쉬웠지만 너무 재밌고 역시 배우들 짱,2021.07.21
5,몬테크리스토,5,멋짐..,첫 관극..친구들과 함께한 잊지못할 첫 뮤지컬~,2021.06.29
6,몬테크리스토,4,아슙,무대가 잘려서 안보인 단점이 아슙네요,2021.06.24
7,몬테크리스토,5,너무나 멋진 공연,다른 뮤지컬 볼 때마다 잤는데 이번 뮤지컬은 감동입니다.꼭 보세요.,2021.06.18
8,몬테크리스토,5,최고ㅠㅠ,진짜 최고였어요,2021.06.14
9,몬테크리스토,5,한국형뮤지컬 ㅎㅎ,CG랑 뮤지컬의조합 ㅎㅎㅎ너무좋아여배우진들도너무멋잇고,2021.05.20
10,몬테크리스토,5,재밌어요,화려한 복수극 존멋 신성록 ㅋㅋㅋㅋ,2021.05.20
11,몬테크리스토,5,너무 재밌었어요!,하루전에 아무생각없이 인터파크 들어왔다가 막공 다와가길래 궁금해서 다음날 꺼로 예매하고 봤는데 너무 재밌었어요. 배 모형 무대 너무 멋있었고 유튜브로 보고 몬테크리스토 역 배우님 너무 목소리가 너무 좋아서 봤는데 역시 현장에서 들으니 더 멋있으셔서 재밌게 봤습니다!,2021.05.05
12,몬테크리스토,5,재미있어요,재미있게 잘 보고 왔어요~~~^^,2021.04.21
13,몬테크리스토,5,좋았어요!,강추합니다!   잼 있어요!,2021.04.20
14,몬테크리스토,5,좋았어요!,강추합니다!   잼 있어요!,2021.04.20
15,몬테크리스토,5,좋았어요!,강추합니다!   잼 있어요!,2021.04.20
16,몬테크리스토,5,좋았어요!,강추합니다!   잼 있어요!,2021.04.20
