,musical_title,rate,review_title,review_text,review_date
0,노트르담드파리,5,굿굿,대박이네요,2022.01.20
1,노트르담드파리,5,익숙한 노래들을 오리지널 팀의 무드로,콰지모도를 연기한 배우의 중저음에 호소력 짙은 목소리가 가장 인상깊었고 한 여자를 둘러싼 여러 계층 남성들의 욕망이 묻어나는 무대 연출도 멋있었어요. 웅장한 노래가 나올 때마다 소름돋는 한 편의 뮤지컬 완성도 높게 느껴졌던 공연이었습니다.,2022.01.13
2,노트르담드파리,1,불만족스러웠어요,마지막 공연까지 얼터파티에 여러 트러블에 스탭분 태도문제까지 말 많고 문제도 많았네요 이사태로 보상받으려면 오히려 재예매하라는 홍보까지 하다니 어이가 없습니다,2021.12.25
3,노트르담드파리,5,만족스러웠어요,마지막 공연에 여러 트러블에 스탭분 태도문제까지 말 많고 문제도 많았지만 그래도 제가 본 첫 공연은 만족스러웠어요.,2021.12.24
4,노트르담드파리,1,10%? 1년?,1년이 걸리면 그렇게 하면되지왜 기획사에서 10% 보상으로 최종결정을 해요?10% 보상과 20% 할인쿠폰ㅎㅎ 하나를 보면 열을 안다고초기대응이 그런 회사가 제대로 될리가 없죠~,2021.12.24
5,노트르담드파리,1,마스트는 앙코르공연 기획 자격 없습니다 ,1년 후에 분쟁조정 결과가 나오면 그때 다시 공지 한다는겁니까?10% 환불 결정은 마스트가 임의로 한 것 이지요?결정된것도 없는데 왜 함부로 10%따위 환불을 진행 하나요?110% 아니고 10% 맞나요?제 눈이 의심스럽습니다.마스트측은 우리가 그토록 사랑한 <노담>을 이렇게 가볍게 쓰레기통에 처박아도 되는 겁니까?앙코르 기획하지 마세요.자격 없습니다.<태양의 서커스>부터 참 좋아하는 공연 많이도 가져와 줘서 고맙게 생각했는데 이렇게 실망스럽고 참담한 날이 올 줄이야...이 링크 보시고 정신 차리세요.https://m.blog.naver.com/ijoao/222402240433,2021.12.24
6,노트르담드파리,1,막공 보상 10% 진짜 웃기지도 않네,소비자 우롱 제대로 하네 진짜10% 환불 ? 겨우 이정도 가치를 두고십수만원 하는 공연을 보러간 사람들이라고 생각하나?뮤지컬 십수년 봤지만 이정도 수준의 무대사고도처음이거니와 이렇게 더럽고 치사한 경우도 처음 봄개쳐망해놓고 ㅋㅋㅋㅋㅋㅋㅋ 10% 환불이라니기름값도 안나온다 거지들아,2021.12.23
7,노트르담드파리,1,"마스트의 잔머리, 쪼잔함의 극치","오늘 막공 보상 안내를 받고 내가 어쩌다 이런 호구가 되었는가 생각하며 다소 화가 난 상태에서 글을 쓴다.. 진짜 난 노담 너무 좋아하고 몇번씩 봐왔기에 왠만하면 마스트도 좋게 보려고 노력했다 그런데 오늘 공지를 보니 니들에게는 반말로 해야 그나마 속이 좀 풀리겠다. 내가 막공 사고 글 올리면서도 사고 가운데서도 어떡하든 만회하려고  몸을 불살라 공연해준 배우들 생각해서 평점 줬는데... 오늘은 별 하나도 아깝지만 선택이 없어 별 하나 던진다..  1. 니들 잔머리 대단하다 정말 막공 사고 터진 이후에 관람객들이 난리치니 니들은 소보원 어쩌고 변호사 자문 어쩌고  미리 밑밥 잘 깔았지? 그게 니들 잔머리 수준이다. 니들은 그때부터 막공 사고에 최대한 피해 적게 보고 모든 피해는 고스란히  관람객들에게 전가하려고 잔머리 굴린게 다 보였다. 그래도 혹시나 오늘까지 참아본거였는데 역시나네.. 그래서 법적으로 완벽하게 자문을 다 받아보니..현금 10%에 앵콜공연 20% 할인만 해주면 된다고 하디? 그 자문을 토대로 관람객들보고 몇천원에서 최대 1만7천언 먹고 떨어지라고 이렇게 멸시를 주냐? 니들은 관람객들이 최대 17만원짜리 공연보면서 그거 먹고 떨어질줄 알았니? 어찌되었든 니들 잔머리는 우릴 호구 인증하며 아주 제대로 한방 먹였다.ㅋㅋㅋㅋ  2. 잔머리 굴리기 전에 서울공 관람객이 어떤 사람들인지 먼저 검토했어야 했다.. 작년 공연 코로나로 망하고 이번에 단 3주의 기회라며 열심히 홍보하고 떠들어댔지? 그리고 막상 열어보니까..거리두기의 가변석 까지 취소없이 다 나갔고,  막판으로 갈수록 거의 모든 좌석이 나갔지...니들 대박 쳤다고 좋아했지? 거기에는 니들이 얼터라고 소개해놓고 실제로 더블캐스트해서 3주동안의 공연 기간 중 베스트가 나온게 4번(내가알기로,,더되도 몇번 안될듯)이다.. 그럼에도 노담에 미친 호구들은 공연 좋다고 헤벌레 하면서 몇번씩 더 봐줬고, 동네방네 떠들고 다니면서 니들 홍보해줬지... 지금 대구나 부산은 좌석이 많이 남아 할인 팡팡 때리더라... 니들 서울공 추가 할인없이 무사히 마친게 다 누구덕인지...최소한 이것만 먼저 검토했더라도 관람객들한테 이렇게 엿먹이진 않았을 거다..  3. 마스트의 속좁은 쪼잔함이 아주 극치구나.. 아마 니들은 서울공 대박 치면서 앵콜공연 카드를 만지작 거리지 않았을까 싶다.. 그리고 막공 사고 터지고 보상 논의하는 가운데 앵콜 공연이 확정되었고,  뭔가 선심쓰듯이 20% 할인을 던져주었다. 근데 니들은 니 생각밖에 하지 않는 이기적인 놈들이다.. 대구나 부산 공연 봐라.. 그들이 하는 추가 할인을 보면 니들이 떡밥던진 20%할인은 정말 우리를 얼마나 호구로 생각하는지 뻔히 보이는 작전이다.. 이걸로 무마하려고 머리 굴린건지, 아님 정말 우린 호구이니까  저렇게 해도 된다라고 판단한건지 모르겠는데  앵콜공연을 확정했다면 이런식의 보상 안내는  니들 사이에서 논의 아니 거론조차 되지 말아야 했다.  나 사실 넘 쪽팔린다.. 몇천언 먹고, 20%할인 줄테니 개인정보 빨리 넣으라는 니들 문자 할수만 있다면 쓰레기통에 던지고 싶다..  오늘 니들이 행태가 니들 손해 덜보면서 이대로 마무리될지... 어떤 일이 펼쳐질지 아무도 모른다.. 근데 니들이 오늘 날린 문자는.. 노담을 보면서 그 시대 에스메랄다를 마녀사냥 하여 처형하고, 집시들 몰아내며 권력을 휘두르던 그놈들이 연상되는 아주 나쁜 행위인것만은 분명하다..  이런 글 올리면 니들은 조금 불편해하며 날 욕하겠지? 그리고 빨리 작업해서 이 글은 금방 묻히겠지? 그렇다고 모든게 끝난것은 아니야... 이 어려운 시기에 있는 돈 없는 돈 모아가며 혼자서, 가족들과, 연인들과, 지인들과 시간투자하며 찾아오는 관람객 한명한명이 얼마나 소중한 존재인지를 먼저 알아야 진정한 예술인 또는 기획사가 되는거야..이게 먼저야...정말 안타깝다..",2021.12.23
8,노트르담드파리,1,10% 장난합니까?,앵콜공연? 좋다 이거에요. 근데 앵콜은 앵콜이고 환불은 환불이지. 앵콜공연 할인 20퍼도 웃긴데 그냥 그 날 딱 하루만 보고 오기로 한 관객들은 어떻게 됩니까? 또 앵콜 보러 오라구요? 그러면 그때 있었던 사고는 없던게 된답니까. 정말 기가 차네요.,2021.12.23
9,노트르담드파리,1,내한이라도 캐스팅 공지 미리해야한다고 봅니다,한국관객 호구좀 그만 잡으세요,2021.12.23
10,노트르담드파리,1,10% ㅋㅋㅋㅋ,얼마나 한국인을 우습게 봤으면,2021.12.23
11,노트르담드파리,1,10%보상 재예매 20%할인,"공연1,2막 다 망쳐놓고 10%할인 장난합니까? 거기다 앵콜공연 할인?ㅋㅋㅋㅋ 앵콜 공연 돈벌어야 되니까 할인해준다는 말인가요. 심지어 부산공 1+1 해놓고 20%퍼 할인해준다고 하면 사람들이 잘도 가겠네요. 일처리에 진절머리 납니다",2021.12.23
12,노트르담드파리,1,어케든 적게 주려는 보상 성공하셧네요^^,요구하신 분들이 할인쿠폰이 아닌 보상으로 말씀하셧는데 그것도 무시하셧군요^^또 서울엔 캐슷도 무시하고얼터파티 하실껀가요?,2021.12.23
13,노트르담드파리,1,서울막공보상안말이되는지,10프로 환불해주고 80프로 금액으로 재예매받으면 170프로 이득아니냐상상도 못한 보상안이네요 동의못합니다,2021.12.23
14,노트르담드파리,1,ㅋ막공 10%환불 장난하나,그것도 개인정보 입력한 사람들 대상으로 주겠다 ㅋ 고작 10% ㅋ 다음공연은 무려 20%나 할인^^ 망극해라 너네가 주최하는 공연 다시는 안봐요 착각마시고 10%보상 절대 수긍못하니 소송을 걸든 내식대로 해결하겠습니다 우롱 잘봤구요 어디한번 저랑 해보죠,2021.12.23
15,노트르담드파리,1,공연은 반가웟지만,최악의 기획사 대처에 넘 화나요,2021.12.20
16,노트르담드파리,4,프렌치오리지널,작년에 예매한 공연이 취소되서 너무 아쉬웠는데 다시 돌아와서 반가웠습니다,2021.12.20
17,노트르담드파리,1,거짓후기 도배,아이디만 다르고 내용은 아무말로 같네요?막공문제가 덮어서 될일 같으세요?,2021.12.20
18,노트르담드파리,2,재를 뿌린 무대사고,보상은 어찌?,2021.12.20
19,노트르담드파리,4,구관이 명관,감동~,2021.12.20
20,노트르담드파리,4,구관이 명관,진리입니다,2021.12.20
21,노트르담드파리,1,여전히 별다섯개 도배로 감추려하네요,거짓후기로 막공날 공연 망친거 감추려하지마세요,2021.12.19
22,노트르담드파리,1,별 5개짜리 후기들..,대구공연 본 사람들인가요?.. 여긴 서울공연 평가창인데 대구공연 평가창 가서 5점 주시죠... 서울공연의 마지막 공연은 정말 별 5개 주기도 아까웠으니까. 배우들에게만 따로 별을 주고 싶을 정도로 배우들 외에는 전부 최악이었습니다. 어디 회사는 배우가 한번 실수했다고 바로 전액환불하던데.. 음악 안 나오고 인터미션 아닌데도 공연 끊기고 조명 실수하고 하이라이트 장면이 안 나오는게 배우 한명 실수보다 가벼운가봐요?,2021.12.19
23,노트르담드파리,5,최고의 뮤지컬,내한공연으로 처음 봤는데 너무 좋았어요,2021.12.19
24,노트르담드파리,5,최고였던 뮤지컬,너무너무 잘 봤어요,2021.12.19
25,노트르담드파리,1,정말 최악의 기획사였습니다!,한달뒤 대처가 어떨런지,2021.12.18
26,노트르담드파리,5,정말 최고의 뮤지컬이었습니다,사실 뭐 1998년 초연이 너무 유명하고 이미 DVD 영상도 본적이 있어서 다 아는 내용이었는데도 정말 감동적이네요ㅎㅎ 다니엘 라부에를 못본게 조금 아쉽지만 그래도 최고였습니다,2021.12.18
27,노트르담드파리,1,기획사 대처에 정말 실망했어요!,관객을 돈으로만 보는 회사,2021.12.17
28,노트르담드파리,5,진짜 너무 감동 받았어요!,첫 극 시작부분음악부터 마지막까지 모든게 다 좋았어요!계속 소름 돋은 상태로 봤습니다!그리고 아크로 바틱 부분이랑 댄서분들의 춤사위도 너무 넋을 잃고 봤네요! 다음에 내한공연 오면 또 보고싶습니다!,2021.12.16
29,노트르담드파리,1,배우분들은 흠잡을데가 없는 공연이었지만,기획사는 최악이었습니다,2021.12.15
30,노트르담드파리,5,넘버와 배우님들 최고입니다,코로나 시국에 걱정도 했고 생각보다 사람도 많아서 놀랐지만  넘버들은 정말 최고이고 배우들. 댄서분들 다 최고네요 흠 잡을 곳이 없는 공연이었습니다,2021.12.15
31,노트르담드파리,1,한달걸릴일은 아니라고 확인받으셨다는데,인스타댓글보니 어느분께서 확인해보니 한달 걸릴일은 아니라하시는데 왜자꾸 시간 끄나요?,2021.12.14
32,노트르담드파리,5,중학생이 된 아들에게 생일선물~,"뮤지컬을 좋아하는 엄마때문에 어렸을 때부터 함께 했는데 이번에 생일이고 노트르담 드 파리 프렌치 오리지널팀이 들어온다고 해서 미리 예약하고 설레이는 맘으로 기다렸어요~ 남자다운 그랭그와르, 프롤로역에 다니엘라부아 나이가 72세라는데 믿기지 않는 힘있는 음성과 열정이 느껴지고 안타까운 에스메랄다 목소리도 너무 여성스럽고 몽환적인 여성, 성당의 종지기로 괴물로 불리며 부모에게 버림받고 사랑하는 여인을 바라만 볼 수 밖에 없는안타까운 콰지모도. 열정적으로 춤췄던 댄스팀들 정말 너무 인상적이고 전반적으로 보면서도 또 보고픈 뮤지컬을 관람했다 아들도 무지 만족스러웠는지 너무 재미있게 잘 봤다고 박수를 끊임없이 쳤었다 2021년에 아들과 좋은 추억을 만들 수 있어서 행복했습니다. 한 몇일을 노트르담 드 파리 음악을 들으며 빠져 나올 수가 없었습니다.",2021.12.14
33,노트르담드파리,2,음..,무대세트 진짜 엉망이었고.. 캐스팅보드도 달랐다.. 아진짜 배우들안다친게 어디냐 하고봤다고 진짜..내 최애뮤지컬을...ㅠㅜㅠ실망이었어요...,2021.12.14
34,노트르담드파리,1,어떻게든 보상 안해주려는 못된 행태,마스트 기획사 아주 정 떨어지네요,2021.12.14
35,노트르담드파리,1,노트르담이 아니어도,마스트엔터가 기획사로 있는 공연은 더이상 소비하지 않겠습니다.. 하루빨리 노트르담 판권이 다른 기획사로 넘어갔으면 좋겠고... 마스트는 망하던지...,2021.12.14
36,노트르담드파리,1,문자 어이없음,마스트 불매합니다,2021.12.13
