,musical_title,rate,review_title,review_text,review_date
0,노트르담 드 파리,5,또 봐야하는 작품,진짜 감동의 여운이 정말 짙습니다   n차관람이 괜히 나오는 말이 아니네요  강추합니다  처음 보시기 전에 가사 많이 보구 오시면 자막 없이 들을 수 있어 더 좋아오,2022.02.07
1,노트르담 드 파리,5,노트르담 드 파리를 보고나서,기대하던 내한 공연을 보게 되어 너무나 좋았습니다   ♡_♡,2022.01.24
2,노트르담 드 파리,5,너무 좋았어요,너무 좋았어요,2022.01.24
3,노트르담 드 파리,4,뮤지컬의 매력,"무용, 노래음악, 연기가 어우러진 뮤지컬의 매력 요즘 우울한 일상의 그늘을 헤쳐놓기에 충분한 공연작품이었다. 노트르담의 곱추 영화가 연상되기도 한 내용에 이해하기 쉬운 진행 즐거운 하루를 만끽하였다.",2022.01.24
4,노트르담 드 파리,5,즐거운 하루,"60대 남성으로 뮤지컬을 접하는 기회가 별로 없었는 바, 코로나19 후유증으로 가족사이도 서먹하던 차 같이 관람한 본 공연은 매우 적절한 효과가 있었다. 작품 내용이 이해하기도 쉬웠고 무대 구성도 재미가 있었다. 이러다간 뮤지컬 매니아가 될까 두렵다 ㅎ",2022.01.24
5,노트르담 드 파리,5,노담,관극 너무 재밌었어요,2022.01.24
6,노트르담 드 파리,2,아쉬운 마무리,"참여한 창작진들, 배우분들 모두 고맙고 감사한 마음이지만,  개인적으로는 마지막 공연의 캐스트가 올메인이 아니어서 아쉬웠습니다.  코로나 끝나면 다시 부산 공연 와주세요!",2022.01.24
7,노트르담 드 파리,5,영상으로는 현장의 감동을 10%도 담을 수 없어요,"오리지널 뮤지컬은 처음 봤어요.   잘 모르니, 그냥 잘하겠거니 생각했는데   집중하느라 저도 모르게 숨도 참아가면서 봤어요 ㅋㅋㅋㅋㅋㅋ  끝나고 나서 보니까 유튜브에 오리지널 팀 내한했다고 영상이 올라온게 있더라구요?.  그걸 봤는데.. 현장에서 느껴졌던 느낌이 하나도 안느껴졌어요   이건 반드시 봐야 합니다. 분노, 슬픔, 기쁨 등등 사람의 감정이 너무 잘 느껴졌고   웅장함에 압박이 되더라구요~~  꼭 vip석 구해서 앞에서 보세요. 절대로 후회하지 않습니다",2022.01.21
8,노트르담 드 파리,5,"전율의 도가니, 보물같은 내 인생의 뮤지컬","상징적이어서 더욱 압도적이었던 무대미술 하나의 목소리 위에 쌓여가는 또 하나의 목소리에서 느껴지던 전율 노래만으로도 충분했던 무대에 펼쳐지던 또 하나의 예술, 춤, 퍼포먼스  아직도 그날의 감동에서 헤어나오지 못한 듯 이 글을 쓰고 있는내내 심장이 거세게 뛴다. 페뷔스가 고뇌하면서 부르던 괴로워는 뇌리를 떠나지 않고, 압도적인 무대는 머릿속에서 계속 재생된다. 프랑스 뮤지컬이 가지는 장점을 가장 잘 보여주는 무대가 아닐까. 완성도 높은 무용수들의 몸짓에서 페뷔스의 고뇌를 고스란히 경험했다. 비호감일 수 있는 프롤로에게 마저 빠져들게 하는 넘버 파멸의 길로 나를 프랑스어가 이렇게 매력적이었었나 스스로에게 계속 물어보게되는 순간이었다.  알아들을 수 없는 프랑스어 따라부르고 싶은 욕망에 자꾸만 다시 찾아보게되는 영상들~ 나는 오늘도 노트르담 드 파리의 넘버들을 흘려들으면서 대문호 빅토르 위고의 파리의 노트르담을 읽고 있다.",2022.01.20
9,노트르담 드 파리,5,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산,뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산뮤지컬 ‘노트르담 드 파리’ 프렌치 오리지널 - 부산,2022.01.20
