,musical_title,rate,review_title,review_text,review_date
0,팬텀,5,규현 최고,최고입니다,2022.04.28
1,팬텀,5,재밌어요,자첫 팬텀… 너무 행복하고 좋았습니다…,2021.12.26
2,팬텀,5,여자친구랑 재밌게 봤어요,시간 돈 아깝지 않은 하루였습니다 감사합니다,2021.09.04
3,팬텀,5,계속 생각나는 뮤지컬,팬텀 본지 50일이 넘었지만아직도 생생한 그날의 넘버와 무대장치그리고 배우들의 열연,2021.08.31
4,팬텀,5,멋있어요 박은태 배우님!,반했어요 완전 앞으로도 계속 박은태님 나오신 작품들 응원하려 보러 가기!,2021.08.17
5,팬텀,5,"카릭 최고다,,,",카이 밴님 감정 노선이며 연기며 노래며 완벽합니다 ㅠㅠ,2021.08.16
6,팬텀,5,올 상반기 최고의 뮤지컬,다채롭고 짜임새있는 구성 그리고 감동적인 스토리 최고의 작품입니다,2021.08.05
7,팬텀,5,오랜만에 뮤지컬 관람 감동받았습니다,오랜만에 큰맘먹고 표 끊었는데 정말 감동받고 왔습니다. 대학생이고 지방에 있다보니 뮤지컬 보기 힘들었는데 규릭 보려고 갔다가 산영숙배우님하고 이지혜배우님께 반하고 왔습니다 정말 감동이었어요..ㅠ,2021.07.28
8,팬텀,4,규릭 안녕 ㅜㅜ,모든 에릭들은 다 볼 정도로 애정했던 팬텀! 마지막까지 모든 배우님들 수고하셨고 아직도 여전히 마음속에 모든 장면들과 넘버들이 남아있습니다,2021.07.27
9,팬텀,5,좋았습니다,좋았습니다,2021.07.26
10,팬텀,5,팬텀은 카릭 그 자체!,"카이, 이지혜 배우님 공연을 보고 너무 좋아서 작품 끝나기 전에 다시한번 카이, 김수 배우님 공연으로 보고 왔습니다. 이번 공연도 너무 좋았습니다. :) 팬텀으로 카이 배우님 팬이 되어버려 이곳 뮤지컬 팬분들 말씀따라 카이 배우님 회전문을 돌게 될 것 같습니다.ㅎㅎㅎ",2021.07.25
11,팬텀,5,이게 그 소문난 카졔페어!,"팬텀 공연은 처음이었는데 카이, 이지혜 배우님 정말 최고네요! 카이 배우님은 물론이고, 이지혜 배우님의 비스트로 정말 압도적으로 최고의 장면이었습니다. 같이 보러 간 초2 조카는 공연 이후 <내고향>만 듣습니다. 자기는 이 노래가 너무 좋답니다. <비스트로>의 이지혜 배우님 라라라라라~ 부분은 콕 찝어 자기가 제일 좋아하는 부분이랍니다.  이번 공연으로 카이, 이지혜 배우님 팬이 되었어요. :) 다음 팬텀에도 카졔페어를 만날 수 있기를 바라며, 더 늦어지기 전에 올시즌 마지막 카졔페어를 성남으로 보러 갑니다~",2021.07.25
12,팬텀,5,너무 재밌었어요,진짜 카이 짱!!,2021.07.24
13,팬텀,5,은태님 팬텀은 최고입니다,"첫 뮤지컬의 시작을 뗀 작품. 박은태 배우님의 열정과 강인한 목소리, 김소현 배우님의 섬세함. 웅장한 앙상블. 카리스마 넘치시는 김문정 감독님. 화려한 샹들리에 연출, 아름다운 색감, 사운드, 연기력 넘치는 아역배우까지 뭐 하나 빠지는 것 없이 만족스럽고 행복했습니다. 정말 행복했어요. 멋진 작품 해주셔서 감사합니다. 영광이었어요.",2021.07.24
14,팬텀,4,열정적인 연기와 노래가 최고!,"규현 배우님 막공으로 남편과 보고왔어요. 사전 지식이 전무한 채 보러갔는데 목소리와 노래에 놀라고 연기에 또 놀라고! 지혜 배우님도, 카를로타 연기하신 배우님도 모두 정신을 쏙 빼놓을 정도로 노래를 참 잘하시더라구요. 다만 작품 자체가 조금 아쉽다고나 할까... 연출이 다이나믹하고 현대적인데 스토리는 너무나 전형적이라 아쉬움이 남았어요. 배우분들은 정말 마지막 인사까지 인상적이고 매력적이었어요~!! 열정이 넘쳐흐르는 무대 감사합니다!",2021.07.24
15,팬텀,3,다음에는 제발,발레씬 줄이든지 없애든지 연습을 더 시키든지 하세요 두번 봤는데 두번다 실수하시고(한둘이 아님) 심지어 막공인데도 그렇게 하시는 거면 솔직히 빼는 게 나을 거 같아요,2021.07.19
16,팬텀,5,첫 뮤지컬,첫 뮤지컬이었는데 엄청 재밌게 봤어요!! 은릭으로 또 보러갈갑니다,2021.07.19
17,팬텀,5,여러번 봐도 안질리는 몇 안되는 작품,누구는 2막 발레 공연이 지루하다고 하던데...  난 소름돋게 좋았음~,2021.07.18
18,팬텀,5,인생 첫 뮤지컬,인생 첫 뮤지컬이었는데 그걸 팬텀으로 고른건 좋은 선택이었어요,2021.07.15
19,팬텀,5,지혜배우님,졔크리 사랑해요,2021.07.12
20,팬텀,5,지혜배우님,졔크리 사랑해요,2021.07.12
21,팬텀,5,조아요,조아요,2021.07.12
22,팬텀,5,카팬텀 정말 최고,카팬텀 강추 더 볼 걸 진짜 강추합니다,2021.07.12
23,팬텀,5,총막공!!!,팬텀 마지막 공연!!만일  이날  오지  않았다면 정말  후회했을거에요.모든 배우님들 수고 많으셨습니다.마지막  무대인사도  감동 감동!!,2021.07.12
24,팬텀,5,3개월동안 20번 넘게 볼만큼 최고의 공연이었어요,"카이, 임선혜 배우님 공연 좋았습니다 앙상블과 원캐 배우님들 발레리나 리노분들도 좋았어요 무엇보다 팬텀극이 감동적이고 재밌었습니다 가장 좋아하는 배우님들로 자막하려고 이 회차를 마지막으로 봤어요 다음에도 이 배우님들 모두 그대로 왔으면 좋곘습니다 석달동안 팬텀을 보러 다니면서 행복했습니다",2021.07.12
25,팬텀,5,올해의 최고작,코로나로 우울했던 거 팬텀이 다 날려 줬어요이 공연이 세 번째 관람이었는데 매 번 새롭고 점점 더 좋네요또 보려구요,2021.07.10
26,팬텀,5,지방공에서 기다릴게요,3개월 넘는 서울공연 수고 많으셨습니다!지방공연에서 무사히 만날 수 있기를 바랄게요지방에서 만나요!!,2021.07.08
27,팬텀,5,박은태배우님 천상의 목소리,박은태배우님 천상의 목소리입니다. 김소현배우님과 너무 아름다운 시간이었어요  감동 그 자체이며 눈물이 3번이나 났네요,2021.07.07
28,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
29,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
30,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
31,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
32,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
33,팬텀,5,감동이 있는 공연,꼭 돌아와요 기다릴께요,2021.07.06
34,팬텀,5,좋아요,카팬텀선크리짱,2021.07.05
35,팬텀,5,"최고의 배우, 최고의 공연",박은태 배우님의 서울 막공을 현장에서 직접 볼 수 있어서 공연 시간 내내 행복했습니다^^,2021.07.05
36,팬텀,4,팬텀 너무 좋아요,팬텀 너무 좋아요 ㅎㅎ 근데 가격이 넘 비싸요 ㅎㅎ,2021.07.05
37,팬텀,5,박은태 배우님 최고,최고였ㅇ요,2021.07.05
38,팬텀,5,최고였어요!!,지방공 기다립니다 ㅠㅠ,2021.07.05
39,팬텀,5,팬텀,볼거리가 많은 뮤지컬이라 잘 보고 왔습니다 :),2021.07.05
40,팬텀,5,배우님들 연기 짱!,"캐슷별로 회전돌고 있는데, 볼수록 더 빠져들게 되는  마력의 극이예요 ^^",2021.07.05
41,팬텀,5,멋진 마무리!!,"캐슷별로 회전돌았는데, 볼수록 더 빠져들게 되는  마력의 극이었어요!",2021.07.05
