,musical_title,rate,review_title,review_text,review_date
0,해적,5,오픈런존버탑니다,일년내내해주세요저도찐해적될수있게,2021.09.27
1,해적,5,넘버와 스토리의 하모니,배우들의 열연과 중독적인 넘버 스토리까지 완벽한 뮤지컬,2021.09.18
2,해적,4,해적,보고싶어요,2021.09.15
3,해적,5,멋진 용병이 되어,앉혔습니다 다행이죠 너무 힘들었습니다,2021.09.13
4,해적,5,최고의 무대,잠시 쉬어가는 해적! 그 항해까지 함께 할 수 있어서 너무 좋았습니다 모두 고생하셨어요,2021.09.13
5,해적,5,넘버가 넘 좋아요,넘버가 넘 좋아요ㅎㅎ 진짜 마약같아요 ㅋ,2021.09.13
6,해적,5,좋았어요,잘  봤습니다,2021.09.13
7,해적,5,잊지못할 기억 10번의 승선!,정말 따듯하고 아름다운 극.넘버들의 가사와 음악이 정말 예쁘고배우님들 모두 사랑할수밖에 없는 인물들을 그려주셨어요.,2021.09.13
8,해적,5,뮤지컬 〈해적〉,재밌게 관람했습니다!,2021.09.13
9,해적,5,얼른 다시 만나고 싶어요,ㅠㅠㅠㅠㅠㅠ빨리 보고싶어요,2021.09.13
10,해적,5,굿바이 해적들,또 만납시다!!,2021.09.13
11,해적,5,해적,왜때문에 해적이 오픈런이 아니죠??!!!!,2021.09.13
12,해적,5,안녕 해적들~,만나서 방가웠어~,2021.09.13
13,해적,5,보고싶다,이 해적들아!,2021.09.13
14,해적,5,끝나서 아쉬워요,웰댕이 남긴 했지만 본 공연이 끝나서 너무너뮤 아쉽습니다,2021.09.13
15,해적,5,해적 정동화 주민진 관람후기입니다,해적 정동화 주민진 관람후기입니다 제가 제일 좋아하는 넘버는 우리 모두의 기억나지 않는 꿈 입니다 그리고 무대인사도 정말 너무너무 재밌었던 것 같아요 감사합니다,2021.09.13
16,해적,5,잘 봤어요,잘 봤습니다,2021.09.12
17,해적,5,언제나 재밌어요,강추합니다~,2021.09.12
18,해적,5,언제나 재밌어요,강추합니다~,2021.09.12
19,해적,4,좋아요,너무좋아요  ㅠ 잘봤습니다ㅠ,2021.09.12
20,해적,5,굿바이 마이 캡틴,이제 스콘에서 봐여ㅜ,2021.09.10
21,해적,5,해적이 내 인생극이었구나..,표 구하긴 넘 힘들었지만 갈때마다 너무 행복했어요.배우들도 최선을 다해서 연기하고 노래했고 저도 최선을 다해서 봤습니다.힘든 시기지만 덕분에 즐거운 추억이 생겼어요.배우분들 제작진분들 모두모두 감사합니다!!,2021.09.10
22,해적,5,아직 웰댕이 남아있지만 ㅠㅠㅠㅠㅠ,벌써 그립습니다 해적선 ㅠㅠㅠㅠㅠ  루이스랑 같이 밤하늘도 보고싶고 밤바다도 보고싶고  앤이랑 술한잔도 하고싶고   잭정뱅이들이 메리한테 호온나는것도 보고싶고 ㅋㅋ   ㅠㅠㅠㅠㅠㅠ 오슷딥디가 안나와서 너무슬픈데  웰댕때 깜짝하고 나왔으면 좋겠고...,2021.09.10
23,해적,5,뮤지컬 해적!!,넘 좋아여 ㅠㅜ 끝이란게 넘 아쉽네요 ㅠㅜ,2021.09.09
24,해적,5,항해일지를 쓰는 거야,어떻게 쓰는 거지,2021.09.08
25,해적,5,재밌었어요,해적 너무 재미있어요,2021.09.08
26,해적,4,재밌어요!!,재밌어요!!,2021.09.08
27,해적,5,좋아요,넘버맛집,2021.09.08
28,해적,5,감사 매우감사,돌려줘!!!,2021.09.08
29,해적,5,해적,너무 좋았어요,2021.09.08
30,해적,4,재밌어요,재밌어요,2021.09.07
31,해적,4,잘봤어요,잘봤습니다,2021.09.07
32,해적,5,해적,우리 마을에서 가장 잘생긴 사람은 해적이였어.,2021.09.07
33,해적,5,뮤지컬 〈해적〉,뮤지컬 〈해적〉,2021.09.07
34,해적,5,뮤지컬 〈해적〉,뮤지컬 〈해적〉,2021.09.07
35,해적,5,뮤지컬 〈해적〉,뮤지컬 〈해적〉,2021.09.07
36,해적,5,뮤지컬 〈해적〉,뮤지컬 〈해적〉,2021.09.07
37,해적,5,해적들의 황금시대 이야기...,넘버도 좋고 1인 2역인 2인극의 캐릭터 스토리적절한 역할 분담... 캐에 따른 톤변화... 정말 매력넘치는 극이 아닐리없다... 실존하던 해적들을 모티브로 만든 창작 뮤지컬인 만큼 창작만의 그런 매력도 너무 좋아요...벌써 그리워요... 몇 주 안남았지만.. 빨리 보고싶습니다..,2021.09.07
38,해적,5,빨리 다시보고싶어요,멀지않은미래에 다시 또 해적선에 탈 수 있겠죠?,2021.09.06
39,해적,5,너무 좋아요,배우님들 연기가&#128077;&#128077;&#128077;,2021.09.06
40,해적,5,해적,잘봤어요!,2021.09.06
41,해적,5,너무 재밌어요ㅠ,웰컴대학로에서도 볼 예정입니다,2021.09.06
42,해적,5,잘가요,올 여름 행복했어요!!,2021.09.06
43,해적,5,겨우 잡아서봤어요ㅜㅜ,해적 이렇게 대메이저라니ㅜㅜ,2021.09.06
44,해적,5,해적들과 항해하고 왔어요,ㅠㅠ 항해가 벌써 끝나서 아쉽네요ㅠ 다음에 또 돌아올때에는 초반부터 티켓팅 참여해서 1층에서 보고 싶어요!! 공연 보고 온 지 한참됐는데 넘버가 아직도 멤돌아요!!,2021.09.06
45,해적,5,해적 넘버 ... 최고 ...,쩌리석에서 봤지만 그렇게라도 본 걸 정말 다행이라고 생각했던 공연 ..  OST만 백번째 듣는 중 .. 웰컴대학로 왜 내 표 없냐 ㅠ 또 보고 싶다 하 ..,2021.09.06
46,해적,5,정날 재미있어요,넘버 좋고 배우님 다 넘 잘하시고...이재 웰컴 대학로 기다립니다,2021.09.06
47,해적,5,해적,배우들의 에너지가 참 좋다 보고나면 힘을 얻는다,2021.09.06
48,해적,5,해적은 울지 않아,나는 짭해적이라 울어,2021.09.06
49,해적,5,사랑한다,해적 사랑한다 꼭 다시 와줘,2021.09.06
50,해적,5,너무 재밌어요,웰댕해적 언제 기다리죠?ㅠㅠ 너무재밌어요ㅠㅠㅠ,2021.09.06
51,해적,5,너무 좋았어요,삶과 사랑에 대해 많이 생각하게 해주고 그 끝에 밀려오는 감동도 큽니다 정말 좋은 극이니까 오슷이랑 딥디 바랍니다ㅎㅎ!!,2021.09.06
52,해적,5,재밌어요,노래도 좋고 배우들 연기도 엄청 잘하고 여러모로 재밌게 봤어요,2021.09.06
53,해적,5,잘 봤습니다,"김이후, 김려원 페어 너무 좋았어요~~ 가벼움과 진지함의 밸런스가 적절해서 극이 너무 가볍지도 너무 무겁지도 않고 너무 좋았습니다. 역시 믿보배 두분!!!",2021.09.06
