,musical_title,rate,review_title,review_text,review_date
0,레베카,5,재밌어요,재밌어요,2022.05.16
1,레베카,5,한 껏 부품 마음을 가지고~,매 번 올라올 때마다 한 껏 기대를 하고 갑니다.  역시나 흠 잡을 곳 없는 연기와 노래로  한번도 실망하며 나온 적이 없네요~  오히려 다음에도 또 봐야 겠다!!하면서   예매를 하고 있는 자신을 발견합니다,2022.03.23
2,레베카,3,..............ㅎ,일단 레베카가 끝나기 전에 봐야겠다는 의지하나로 오늘 예매한건데 진짜 캐스팅....임혜영배우님 처음 뵙는거였는데 생각보다 발음도 불명확하시고 진성으로 뱉어야 이쁜 부분을 그냥 가성처리 하시더라구요...음색은 진짜 좋으신 것 같은데 ...네..........,2022.03.15
3,레베카,5,역시 페어막공 명불허전,옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다 옥주현 민영기 임혜영 페어막공 재밌었습니다 앙상블과 더블캐슷 배우님들도 모두 잘하셔서 너무 재밌게 봤습니다,2022.03.14
4,레베카,4,최고의 공연,그리울거야ㅠㅠㅠ,2022.03.11
5,레베카,5,역시 레베카 ,"몇년 전부터 꼭 봐야겠다고 생각했는데 이번에 보구 왔어요 스페셜 커튼콜 데이라서 넘 좋았어요 ! 역시 옥댄,, 소름끼치게 좋았습니댜",2022.03.11
6,레베카,5,역시 옥댄버,매번 볼 때마다 감탄합니다 그리고 박지연 배우님은 믿보배세요ㅠㅠ 이장우 배우님은 자첫했는데 엄청 좋았어요 확실히 공연장에서 봐야 느낌이 확 달라요 다음 시즌 때 또 뵙겠습니다~,2022.03.10
7,레베카,5,역시는 역시,너무 궁금했던 뮤지컬이었는데 진짜 재밌게 봤어요!! 예매가 늦어서..비록 VIP에서의 관람은 실패했지만.. 진짜 기대이상이었네요. 계속 공연이 이어지는 이유가 있는거 같아요. 언젠가 뮤지컬 1열 관람에 성공하는 날이 오길 바라며ㅠㅠ,2022.03.10
8,레베카,5,자셋 관람 완료!,서울 막공까지 너무 재미있게 잘 봤습니다,2022.03.09
9,레베카,5,서울 총막공 ㅜㅜ,"끝나기 전 옥댄버의 레베카를 다시 들을 수 있어서 정말 행복했습니다!! 총막공의 무대인사도 배우님들의 감상을 들을 수 있어 감동이었고,  커튼콜 촬영 덕분에 소중한 영상과 추억으로 간직하며 다시 돌려보는 중이네요!   또 다시 보고 싶어지는 저, 정상이겠죠? ^^",2022.03.09
