,musical_title,rate,review_title,review_text,review_date
0,검은사제들,5,ㄹㅇ 제대로된 오컬트뮤지컬,오컬트 장르로 성공한 유일무이 뮤지컬,2021.08.30
1,검은사제들,5,짱잼,나무 잼써요,2021.07.05
2,검은사제들,5,짱잼,나무 잼써요,2021.07.05
3,검은사제들,5,대존잼,대존잼,2021.06.25
4,검은사제들,5,좋았습니다,좋았습니다,2021.06.21
5,검은사제들,5,공연 좋았어요,공연 초반엔 영화랑 비교돼서 별로였는데 노래랑 배우들 연기가 좋았습니다 그래도 중간중간 되도 않는 개그씬은 별로였고 수컷악마를 여자앙상블이 안무하는 것도 아쉬웠습니다 무대세트장도 아쉬웠습니다 그외에는 공연은 재밌었습니다,2021.06.14
6,검은사제들,5,네 여기 있습니다,영화도 좋아했었고 뮤지컬도 좋았어요 여러가지를 생각해볼 수 있게 하는 극,2021.06.14
7,검은사제들,5,또 보고 싶어요,정말 너무 좋은 극,2021.06.14
8,검은사제들,5,재밌어요,넘버도 좋고 배우분들이 연기를 정말 잘하세요 특히 마귀역할하신 배우님 정말 좋았어요,2021.06.14
9,검은사제들,5,정말 재밌게 봤습니다!!,넘버도 좋고 무엇보다 배우님들이 춤을 정말 흥겹게 추셔서 즐겁기 본것 같아요!!,2021.06.13
10,검은사제들,4,관람후…..,줄거리는 영화와 동일하게 퇴마신부와 신학생이 악마가 깃든 여학생을 구하기 위해 고군분투 하는 이야기이다.공연장이 좁고 높아 일반적인 뮤지컬 공연과 달리 무대의 변형없이 다양한 조명효과로 이야기를 전개하는데 배우들의 전달력이 매우 중요해보였다. 기대했던 이건명의 발성이 조금은 약해 의미전달이 떨어져 보이긴 했지만 신학생역활의 장지후라는 분이 뛰어난 가창력과 정확한 발음으로 스토리를 받쳐주는 듯 했다. 중간중간 퇴마를 위해 외래어와 한국어를 혼용해서 사용하고 배우들의 대사 속도가 빨라 긴장하고 들었는데 아쉽게도 다 이해를 하지 못했다. 기존의 영화를 본 입장에서 고정관념이 있어서 그런지스토리의 전개나 대사전달력에서 공감을 덜받아 약단 아쉬운 공연이였지만 다음엔 더 개선되길 기대해본다.,2021.06.10
11,검은사제들,5,너무 최고,마지막공연이라니 너무 아쉽습니다ㅠㅠ 얼른 다시 보고싶네요,2021.06.10
12,검은사제들,5,너무 최고입니다,얼른 다시 보고싶네요ㅠㅠ,2021.06.10
13,검은사제들,5,검은사제들,재밌어요,2021.06.09
14,검은사제들,5,정말 캐슷 한 명 한 명 소중했던 극이었습니다,김신부 최부제 영신이는 물론이고 원캐스트 분들의 연기와 표현에 더욱 즐거웠던 극이었습니다 재연 기다리겠습니다 다들 수고많으셨어요,2021.06.09
15,검은사제들,5,힐링극,10번째 보는 건데 매번 볼 때마다 힐링하고 나옵니다 ㅠㅠ,2021.06.08
16,검은사제들,5,뮤지컬 〈검은 사제들〉,뮤지컬 〈검은 사제들〉,2021.06.07
17,검은사제들,5,영화와 다른 새로운 매력!,영화를 정말 재미있게 봐서 뮤지컬을 한다기에 기대를 많이 했는데 크 너무 멋있었습니다 배우분들 연기 진짜 멋있어요!!!!!!,2021.06.07
18,검은사제들,5,마지막까지 즐거웠습니다,그간의 기간동안 행복했습니다,2021.06.07
19,검은사제들,5,연출도 음악도 좋아요,배우들 연기도 너무 좋았구요,2021.06.07
20,검은사제들,5,좋은시간보내고왔습니다,다음에 또 빨리오면 좋겠습니다,2021.06.07
